date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median ('91-'20),Median (POR),Median Peak SWE
10-14,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.9,0.0,0.0,7.9
10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,7.9
10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,7.9
10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,7.9
10-18,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,7.9
10-19,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,7.9
10-20,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,7.9
10-21,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,7.9
10-22,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,7.9
10-23,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,7.9
10-24,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,7.9
10-25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,7.9
10-26,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.5,,0.0,0.0,0.0,0.1,0.4,0.6,0.0,0.0,7.9
10-27,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.3,,0.0,0.0,0.0,0.1,0.2,0.4,0.0,0.0,7.9
10-28,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,,0.0,0.0,0.0,0.0,0.2,1.2,0.0,0.0,7.9
10-29,1.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,,0.0,0.0,0.0,0.0,0.2,1.4,0.0,0.0,7.9
10-30,1.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,0.0,0.0,0.0,0.0,0.2,1.4,0.0,0.0,7.9
10-31,1.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,1.3,0.0,0.0,7.9
11-01,1.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,1.2,0.0,0.0,7.9
11-02,1.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,1.2,0.0,0.0,7.9
11-03,1.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,0.0,0.0,0.0,0.0,0.4,1.2,0.0,0.0,7.9
11-04,1.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.0,0.6,1.2,0.0,0.0,7.9
11-05,1.1,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.3,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.2,0.6,1.1,0.0,0.0,7.9
11-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.2,0.6,1.0,0.0,0.0,7.9
11-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,0.0,0.0,0.0,0.1,0.5,1.0,0.0,0.0,7.9
11-08,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.3,0.0,0.3,,0.0,0.0,0.0,0.2,0.5,0.9,0.0,0.0,7.9
11-09,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.1,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.6,,0.0,0.0,0.0,0.4,0.7,0.8,0.0,0.0,7.9
11-10,0.8,0.0,0.0,0.0,0.4,0.0,0.4,0.8,0.4,0.3,0.4,0.1,0.0,0.0,0.0,0.0,0.8,0.0,1.3,,0.0,0.0,0.0,0.4,0.8,1.3,0.0,0.1,7.9
11-11,0.8,0.0,0.0,0.0,0.4,0.0,0.5,0.7,0.6,0.3,0.4,0.5,0.0,0.0,0.0,0.0,0.8,0.0,1.3,,0.0,0.0,0.0,0.5,0.8,1.3,0.1,0.3,7.9
11-12,0.8,0.0,0.0,0.0,0.4,0.0,0.5,0.7,0.6,0.3,0.4,0.5,0.0,0.0,0.0,0.0,0.8,0.0,1.3,,0.0,0.0,0.0,0.5,0.8,1.3,0.1,0.3,7.9
11-13,0.8,0.0,0.0,0.0,0.4,0.1,0.5,0.8,0.6,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.8,0.0,1.3,,0.0,0.0,0.0,0.5,0.8,1.3,0.2,0.3,7.9
11-14,0.9,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.6,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.8,0.0,1.3,,0.0,0.0,0.0,0.5,0.8,1.3,0.2,0.3,7.9
11-15,0.9,0.0,0.0,0.0,0.2,0.3,0.6,0.8,0.6,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.7,0.0,1.3,,0.0,0.0,0.0,0.5,0.8,1.3,0.2,0.3,7.9
