date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-10,19.4,62.0,54.1,66.1,19.6,16.1,56.2,6.6,17.0,74.4,63.2,,6.6,16.1,19.4,62.0,66.1,74.4,54.1
11-11,18.8,63.9,55.2,66.2,19.6,15.9,55.1,6.4,16.8,74.8,65.3,,6.4,15.9,18.8,63.9,66.2,74.8,55.1
11-12,18.6,64.1,55.7,66.5,19.9,16.0,54.4,6.3,16.7,74.7,65.9,,6.3,16.0,18.6,64.1,66.5,74.7,54.4
11-13,19.1,64.9,57.9,66.9,19.6,15.9,52.5,6.1,16.7,75.0,66.1,,6.1,15.9,19.1,64.9,66.9,75.0,52.5
11-14,18.7,64.1,58.0,66.9,19.1,15.6,49.8,6.2,16.1,75.3,65.9,,6.2,15.6,18.7,64.1,66.9,75.3,49.8
11-15,18.7,63.6,58.0,67.4,18.7,15.4,48.9,6.4,15.8,75.1,66.4,,6.4,15.4,18.7,63.6,67.4,75.1,48.9
11-16,18.9,62.4,58.2,67.5,18.9,15.5,48.6,6.6,15.4,75.0,66.4,,6.6,15.4,18.9,62.4,67.5,75.0,48.6
11-17,18.9,62.1,57.9,67.9,19.6,15.4,49.7,6.7,15.7,74.7,65.9,,6.7,15.4,18.9,62.1,67.9,74.7,49.7
11-18,18.9,61.7,58.2,68.1,19.3,15.2,48.7,6.6,15.7,74.2,65.5,,6.6,15.2,18.9,61.7,68.1,74.2,48.7
11-19,18.4,61.5,57.8,68.2,18.7,15.1,47.6,6.4,16.6,73.2,65.4,,6.4,15.1,18.4,61.5,68.2,73.2,47.6
11-20,18.3,61.0,58.0,68.1,18.9,14.6,43.3,6.7,20.2,73.2,65.4,,6.7,14.6,18.9,61.0,68.1,73.2,43.3
11-21,18.7,60.1,57.3,68.3,18.4,14.1,42.1,5.7,22.4,72.9,65.1,,5.7,14.1,18.7,60.1,68.3,72.9,42.1
11-22,18.8,60.4,57.1,68.3,28.7,14.0,40.7,6.6,24.4,72.7,64.5,,6.6,14.0,24.4,60.4,68.3,72.7,40.7
11-23,18.7,60.6,56.8,68.2,28.9,14.5,40.8,6.3,24.1,72.1,64.6,,6.3,14.5,24.1,60.6,68.2,72.1,40.8
11-24,18.6,60.6,56.9,68.0,29.7,14.9,39.7,6.4,24.2,71.6,64.2,,6.4,14.9,24.2,60.6,68.0,71.6,39.7
11-25,18.6,60.5,56.9,68.0,29.3,14.5,39.0,6.3,24.5,71.0,64.3,,6.3,14.5,24.5,60.5,68.0,71.0,39.0
11-26,18.7,60.5,56.5,67.8,30.1,14.6,33.6,6.3,23.3,70.4,63.7,,6.3,14.6,23.3,60.5,67.8,70.4,33.6
11-27,18.6,61.0,56.9,68.0,29.8,14.6,32.9,6.1,22.4,69.8,63.7,,6.1,14.6,22.4,61.0,68.0,69.8,32.9
11-28,18.4,60.4,56.5,67.6,29.7,14.6,33.1,6.3,22.6,69.5,63.7,,6.3,14.6,22.6,60.4,67.6,69.5,33.1
11-29,18.7,60.6,56.4,67.5,29.9,14.6,33.1,6.1,21.5,69.1,63.7,,6.1,14.6,21.5,60.6,67.5,69.1,33.1
11-30,18.4,60.7,56.4,67.5,30.4,14.6,33.2,6.4,21.7,69.0,63.5,,6.4,14.6,21.7,60.7,67.5,69.0,33.2
12-01,18.3,60.5,56.3,67.6,30.0,13.9,33.0,6.5,20.9,68.9,63.0,,6.5,13.9,20.9,60.5,67.6,68.9,33.0
12-02,19.0,60.7,56.3,67.6,30.0,14.2,32.4,6.4,17.3,68.9,62.9,,6.4,14.2,19.0,60.7,67.6,68.9,32.4
12-03,18.1,60.3,56.0,67.5,30.4,14.3,32.7,6.7,9.8,68.9,63.0,,6.7,9.8,18.1,60.3,67.5,68.9,32.7
12-04,18.5,60.2,55.7,67.0,29.9,13.9,32.9,6.8,10.0,68.6,62.9,,6.8,10.0,18.5,60.2,67.0,68.6,32.9
12-05,18.4,59.9,57.5,67.3,30.7,14.3,33.3,7.0,10.4,68.8,63.5,,7.0,10.4,18.4,59.9,67.3,68.8,33.3
12-06,18.9,60.5,58.7,67.5,30.9,13.6,33.0,7.2,9.7,68.1,63.1,,7.2,9.7,18.9,60.5,67.5,68.1,33.0
