date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-06,51.4,33.5,20.8,40.2,27.0,49.9,43.1,26.6,44.8,14.0,14.2,47.0,23.1,,14.0,15.5,25.2,43.8,49.3,51.4,33.5
11-07,49.9,33.9,20.9,39.0,26.2,49.0,43.1,26.2,44.1,14.1,14.3,46.7,23.7,,14.1,15.6,25.2,43.5,48.6,49.9,33.9
11-08,49.8,33.0,20.9,38.3,26.5,48.5,43.4,26.1,43.9,14.2,14.0,46.6,24.5,,14.0,15.5,25.5,43.6,48.1,49.8,33.0
11-09,50.6,33.5,21.2,38.7,26.1,48.5,43.2,25.8,43.1,14.1,13.9,46.2,24.6,,13.9,15.5,25.3,43.1,48.1,50.6,33.5
11-10,49.4,33.2,20.1,39.1,26.1,48.0,42.7,25.7,42.4,13.8,13.7,46.0,24.9,,13.7,15.1,25.4,42.6,47.6,49.4,33.2
11-11,49.0,33.3,21.0,40.0,25.8,47.9,42.6,26.0,41.1,14.0,13.8,45.9,25.0,,13.8,15.4,25.5,41.7,47.5,49.0,33.3
11-12,48.2,31.9,20.7,41.5,25.3,48.2,42.1,25.7,39.6,14.4,13.6,46.0,25.4,,13.6,15.6,25.4,41.7,47.7,48.2,31.9
11-13,48.3,31.8,19.7,43.1,25.5,48.0,41.2,25.4,38.6,13.9,13.5,46.0,25.5,,13.5,15.0,25.5,42.0,47.6,48.3,31.8
11-14,46.6,31.8,19.5,43.1,25.2,47.4,39.1,26.0,36.2,14.5,13.3,46.1,25.7,,13.3,15.5,25.5,40.7,46.5,47.4,31.8
11-15,46.7,31.5,19.4,42.6,25.4,47.6,38.7,25.6,34.8,14.2,13.3,45.5,25.9,,13.3,15.2,25.5,40.2,46.4,47.6,31.5
11-16,46.8,30.9,19.1,42.0,25.4,47.2,38.8,25.0,32.9,14.7,13.3,45.5,25.8,,13.3,15.6,25.3,40.1,46.5,47.2,30.9
11-17,46.3,29.8,19.2,41.2,24.8,47.1,38.2,25.2,32.0,14.6,13.4,45.7,25.6,,13.4,15.5,25.0,39.4,46.2,47.1,29.8
11-18,45.6,27.4,19.5,41.3,24.8,47.1,37.4,25.0,31.2,14.3,13.2,45.3,25.5,,13.2,15.3,24.9,38.9,45.5,47.1,27.4
11-19,46.0,27.4,19.6,41.0,24.5,47.2,36.9,24.4,30.2,14.4,13.8,44.7,25.5,,13.8,15.4,24.5,38.5,45.7,47.2,27.4
11-20,46.1,27.1,19.9,39.8,24.5,46.7,36.6,24.5,27.9,14.6,13.5,44.0,25.3,,13.5,15.6,24.5,37.9,45.6,46.7,27.1
11-21,45.9,27.2,19.3,39.3,24.1,46.9,37.0,24.9,26.3,14.6,13.2,43.4,25.0,,13.2,15.6,24.6,37.9,45.4,46.9,26.3
11-22,45.8,27.7,18.4,39.5,23.8,46.7,36.8,24.5,26.1,14.6,13.1,42.4,24.1,,13.1,15.4,24.0,37.9,45.1,46.7,26.1
11-23,45.3,26.2,20.0,39.1,22.7,46.5,37.4,24.6,26.3,14.1,13.2,41.3,23.8,,13.2,15.3,23.4,38.1,44.5,46.5,26.2
11-24,45.6,25.1,18.8,39.3,22.3,46.9,36.5,24.9,26.4,14.8,13.0,41.4,23.4,,13.0,15.6,23.0,37.7,44.7,46.9,25.1
11-25,45.4,25.7,19.0,39.5,22.2,47.0,36.4,25.3,26.2,14.6,12.9,40.3,21.8,,12.9,15.5,22.0,37.7,44.4,47.0,25.7
11-26,44.7,25.1,18.1,39.4,21.1,47.5,36.4,25.2,25.8,14.6,13.3,37.8,20.4,,13.3,15.3,20.8,36.9,43.6,47.5,25.2
11-27,45.6,25.1,18.4,39.2,21.2,46.8,36.3,25.1,25.4,14.5,12.7,37.0,19.6,,12.7,15.3,20.6,36.6,44.3,46.8,25.1
11-28,44.9,24.5,18.9,39.6,21.3,46.5,36.0,25.2,25.5,14.4,12.0,36.0,19.3,,12.0,15.3,20.5,36.0,43.8,46.5,25.2
11-29,45.5,24.7,17.8,39.2,21.4,46.0,35.9,24.9,25.6,15.0,12.0,35.5,19.0,,12.0,15.5,20.5,35.7,44.2,46.0,24.9
11-30,44.9,23.9,18.4,37.5,21.4,45.5,36.3,25.0,25.9,14.6,11.9,35.4,19.0,,11.9,15.3,20.5,35.8,43.4,45.5,25.0
12-01,44.5,24.3,18.0,37.6,21.4,45.2,35.6,24.8,25.9,14.4,11.5,35.0,18.7,,11.5,15.1,20.4,35.2,43.1,45.2,24.8
12-02,44.4,23.9,18.9,36.7,20.7,43.4,36.0,24.7,26.0,14.7,11.2,34.6,18.8,,11.2,15.5,20.0,35.2,42.1,44.4,24.7
12-03,44.1,24.1,18.4,36.4,21.0,42.6,35.9,24.2,25.6,14.6,10.8,34.9,18.9,,10.8,15.4,20.2,35.3,41.3,44.1,24.2
12-04,43.7,24.4,18.5,36.1,21.0,41.9,35.0,24.2,25.9,14.8,10.5,34.7,19.0,,10.5,15.5,20.2,34.8,40.7,43.7,24.4
12-05,44.0,24.2,18.6,36.8,21.8,41.6,35.2,24.2,25.4,14.8,11.0,34.8,18.9,,11.0,15.5,20.7,35.0,40.7,44.0,24.2
12-06,43.9,23.4,18.0,36.6,21.1,41.3,35.1,21.8,25.2,14.9,11.1,33.9,19.1,,11.1,15.5,20.3,34.4,40.4,43.9,23.4
12-07,43.6,23.4,18.5,36.5,21.8,40.5,35.0,19.3,25.8,15.1,10.6,34.0,19.2,,10.6,15.8,19.3,34.4,39.7,43.6,23.4
12-08,44.0,22.9,18.3,36.4,21.4,40.1,34.4,17.7,25.5,15.1,11.0,34.0,19.2,,11.0,15.6,18.8,34.2,39.4,44.0,22.9
12-09,43.6,23.1,17.4,36.1,20.8,40.0,34.5,17.3,25.5,14.8,10.7,33.7,19.1,,10.7,15.3,18.4,34.0,39.2,43.6,23.1
12-10,43.8,23.2,17.1,36.1,21.2,39.6,34.0,16.9,25.0,15.3,11.3,33.5,19.1,,11.3,15.6,18.3,33.7,38.9,43.8,23.2
12-11,43.4,22.8,17.6,36.2,20.6,39.5,33.7,15.9,25.1,15.1,10.7,33.4,19.1,,10.7,15.2,18.5,33.5,38.9,43.4,22.8
12-12,42.9,23.0,16.7,35.8,20.9,39.4,34.0,16.0,25.2,15.1,10.5,33.3,19.0,,10.5,15.3,18.1,33.6,38.7,42.9,23.0
12-13,43.4,22.8,16.3,35.9,20.9,39.7,33.7,16.2,24.8,15.3,10.6,33.1,19.1,,10.6,15.4,18.0,33.3,38.9,43.4,22.8
12-14,43.2,23.0,15.9,35.6,20.9,38.8,33.2,15.4,24.3,15.1,10.7,32.5,19.1,,10.7,15.2,17.8,32.8,38.2,43.2,23.0
12-15,43.0,22.4,15.3,35.3,21.0,39.4,32.6,15.7,24.2,15.2,11.0,32.4,19.1,,11.0,15.2,17.8,32.5,38.6,43.0,22.4
12-16,42.6,22.1,15.9,35.4,20.4,39.4,32.6,15.0,24.5,15.3,10.8,32.4,19.1,,10.8,15.1,17.8,32.4,38.6,42.6,22.1
12-17,42.0,22.2,15.8,34.9,20.4,38.7,32.7,15.0,24.0,15.6,11.0,33.0,19.0,,11.0,15.1,17.8,32.8,37.9,42.0,22.2
12-18,40.6,22.3,15.3,34.9,20.5,38.6,32.8,13.9,24.0,15.4,11.3,32.6,19.0,,11.3,14.2,17.6,32.7,37.9,40.6,22.3
12-19,41.2,22.7,15.4,34.7,21.2,38.1,32.7,13.5,23.5,15.5,11.1,32.5,18.9,,11.1,13.9,17.6,32.5,37.4,41.2,22.7
12-20,41.2,22.4,15.6,34.8,19.8,37.7,32.8,13.5,23.4,15.6,11.3,32.7,18.7,,11.3,13.9,17.5,32.8,37.1,41.2,22.4
12-21,41.8,21.9,15.3,34.6,20.6,37.5,31.8,13.9,23.8,15.2,11.2,31.7,18.5,,11.2,14.1,17.2,31.8,36.9,41.8,21.9
12-22,41.7,21.4,15.2,34.5,20.3,37.7,31.3,13.5,23.2,15.2,11.1,31.9,18.5,,11.1,13.9,17.2,31.5,37.0,41.7,21.4
12-23,42.3,21.5,14.7,34.9,20.4,37.7,30.8,12.7,22.9,15.6,11.3,31.4,18.5,,11.3,13.1,17.3,31.1,37.1,42.3,21.5
12-24,41.8,21.8,14.7,34.2,20.0,37.3,31.0,13.3,22.7,15.3,10.8,31.2,18.4,,10.8,13.5,17.2,31.1,36.7,41.8,21.8
12-25,41.8,21.4,15.0,34.1,20.1,37.4,30.9,13.3,22.5,15.6,11.0,31.5,18.4,,11.0,13.6,17.3,31.1,36.7,41.8,21.4
12-26,42.3,21.4,14.5,34.0,19.9,38.4,31.2,13.2,22.7,15.5,10.9,32.0,18.5,,10.9,13.4,17.3,31.5,37.5,42.3,21.4
12-27,42.6,21.3,14.5,34.2,19.4,37.9,30.8,13.6,22.2,15.4,11.2,31.4,18.5,,11.2,13.8,17.3,31.0,37.2,42.6,21.3
12-28,43.2,21.1,14.8,33.7,19.2,37.9,31.1,13.2,21.9,15.6,10.7,31.9,18.6,,10.7,13.5,17.4,31.4,37.1,43.2,21.1
12-29,42.5,20.7,13.9,33.6,19.8,38.2,31.0,13.0,21.9,15.6,11.0,32.0,18.6,,11.0,13.2,17.4,31.4,37.3,42.5,20.7
12-30,43.7,21.3,14.0,33.4,19.2,37.8,31.1,13.4,21.5,15.7,10.9,32.1,18.7,,10.9,13.5,17.5,31.5,36.9,43.7,21.3
12-31,43.5,20.6,14.0,32.9,19.8,37.6,31.1,12.9,21.1,15.6,10.8,32.3,18.9,,10.8,13.1,17.6,31.6,36.6,43.5,20.6
01-01,44.0,20.7,13.8,32.7,19.1,37.4,31.0,13.8,21.0,15.5,11.0,32.6,19.1,,11.0,13.8,17.7,31.6,36.5,44.0,20.7
01-02,44.0,20.3,13.4,32.4,18.9,37.3,31.2,13.3,20.4,15.5,11.2,32.5,19.1,,11.2,13.4,17.5,31.7,36.4,44.0,20.3
01-03,43.7,20.9,13.2,32.6,18.8,36.5,30.8,12.8,20.3,15.4,11.0,32.8,19.1,,11.0,12.9,17.4,31.5,35.7,43.7,20.3
01-04,43.6,20.3,12.3,33.1,19.1,36.4,30.8,12.4,20.3,15.3,11.3,33.1,19.4,,11.3,12.4,17.6,31.7,35.7,43.6,20.3
01-05,43.3,20.1,13.3,32.8,18.8,36.2,30.6,12.4,19.9,15.5,11.0,32.9,19.8,,11.0,12.6,17.5,31.5,35.5,43.3,19.9
01-06,43.5,19.9,12.2,32.1,19.2,36.4,30.6,12.5,19.9,15.7,11.2,33.0,19.8,,11.2,12.3,17.8,31.2,35.7,43.5,19.9
01-07,43.4,19.6,12.4,32.0,19.5,36.3,30.4,12.3,20.4,15.6,11.1,33.1,19.8,,11.1,12.4,17.9,31.1,35.7,43.4,19.8
01-08,43.3,19.9,12.0,32.1,19.5,36.6,30.7,12.7,20.4,15.7,11.4,33.5,20.1,,11.4,12.2,18.0,31.2,36.0,43.3,20.1
01-09,43.4,19.0,12.2,31.5,19.4,36.5,30.8,13.0,20.4,15.9,11.1,33.6,20.1,,11.1,12.3,17.7,31.1,36.0,43.4,20.1
01-10,43.2,19.2,11.5,31.6,18.7,37.0,30.8,13.6,20.0,15.4,11.6,33.6,20.2,,11.5,12.0,17.4,31.1,36.3,43.2,20.0
01-11,42.8,19.0,11.4,31.6,19.0,37.0,30.4,13.7,20.1,15.4,11.3,33.2,20.3,,11.3,11.9,17.5,30.9,36.2,42.8,20.1
01-12,43.5,19.1,10.5,31.5,19.4,36.8,30.6,13.9,20.1,15.2,10.8,33.2,20.6,,10.5,11.4,17.5,31.0,36.1,43.5,20.1
01-13,43.0,18.4,10.5,31.8,19.4,36.3,30.9,13.5,19.9,15.6,10.6,32.9,20.4,,10.5,11.1,17.3,31.2,35.6,43.0,19.9
01-14,42.6,17.9,10.7,31.8,20.3,36.6,31.1,13.3,19.5,15.1,11.1,32.9,20.8,,10.7,11.5,16.8,31.3,35.9,42.6,20.3
01-15,42.4,18.1,10.5,31.5,20.0,36.8,30.9,13.2,19.7,15.3,11.2,32.7,20.9,,10.5,11.6,17.0,31.2,35.9,42.4,20.0
01-16,41.9,16.9,9.3,31.7,20.0,36.2,31.0,13.2,19.9,15.4,11.0,32.7,21.3,,9.3,11.5,16.3,31.3,35.5,41.9,20.0
01-17,42.3,16.5,9.1,31.5,20.0,36.3,30.8,13.1,20.0,15.6,11.1,32.9,21.7,,9.1,11.5,16.1,31.1,35.7,42.3,20.0
01-18,42.6,15.4,8.6,31.1,20.0,36.1,30.8,13.1,20.2,15.7,11.4,32.3,21.8,,8.6,11.7,15.6,30.9,35.3,42.6,20.2
01-19,43.4,15.3,8.2,31.3,20.2,36.3,31.0,13.4,19.7,15.5,11.5,31.9,22.1,,8.2,11.9,15.4,31.1,35.4,43.4,20.2
01-20,43.2,14.6,8.1,30.7,20.3,36.2,31.0,13.5,20.1,15.7,11.4,31.6,22.4,,8.1,11.8,15.2,30.8,35.3,43.2,20.3
01-21,43.2,14.7,7.5,31.2,20.3,35.8,30.9,13.7,19.7,15.2,11.3,31.9,22.4,,7.5,11.8,15.0,31.0,35.0,43.2,20.3
01-22,43.8,14.8,7.7,31.2,19.9,35.9,31.3,14.0,20.2,15.3,11.3,31.8,22.6,,7.7,11.9,15.1,31.2,35.1,43.8,20.2
01-23,44.1,14.6,7.7,30.6,19.6,35.8,31.7,13.5,20.3,15.2,11.3,31.6,22.7,,7.7,11.7,14.9,31.0,35.0,44.1,20.3
01-24,44.4,14.8,7.3,30.2,20.2,35.5,31.3,13.3,19.9,15.7,11.3,31.4,22.7,,7.3,11.7,15.4,30.6,34.7,44.4,20.2
01-25,43.4,14.5,7.6,30.1,19.3,35.9,31.7,13.5,19.9,15.5,11.3,31.7,22.7,,7.6,11.7,15.1,30.7,35.0,43.4,19.9
01-26,43.6,15.4,7.4,30.6,19.5,35.9,31.5,13.0,20.2,16.0,11.3,31.2,22.6,,7.4,11.6,15.7,30.9,35.0,43.6,20.2
01-27,42.8,14.9,8.2,29.8,19.8,35.3,31.5,12.9,20.2,15.7,11.1,31.3,22.7,,8.2,11.5,15.4,30.4,34.6,42.8,20.2
01-28,42.4,15.8,8.1,30.1,19.3,34.7,31.7,13.1,19.9,15.1,11.6,30.7,22.7,,8.1,11.9,15.5,30.4,34.1,42.4,19.9
01-29,41.3,14.8,8.1,30.0,19.5,35.1,31.2,13.1,19.9,15.5,11.2,30.8,22.5,,8.1,11.6,15.2,30.4,34.4,41.3,19.9
01-30,40.9,15.3,8.7,29.6,19.8,35.4,31.3,13.1,20.2,15.5,11.3,30.9,22.3,,8.7,11.6,15.4,30.1,34.6,40.9,20.2
01-31,39.5,14.9,8.1,30.2,19.7,34.6,31.4,13.3,19.4,15.5,11.6,30.4,22.2,,8.1,11.9,15.2,30.3,34.0,39.5,19.7
02-01,39.6,14.9,11.1,29.9,19.8,34.7,31.2,13.7,19.9,15.3,11.4,29.9,22.2,,11.1,11.8,15.1,29.9,34.0,39.6,19.9
02-02,39.5,14.7,8.9,30.2,20.1,34.8,31.6,13.2,19.5,15.6,11.5,29.6,22.1,,8.9,11.8,15.2,29.8,34.1,39.5,20.1
02-03,39.5,14.7,8.8,30.2,19.9,35.0,31.7,13.9,19.0,15.4,11.8,29.9,22.0,,8.8,12.2,15.1,30.0,34.3,39.5,19.9
02-04,38.1,14.6,9.0,29.9,20.0,34.9,31.2,13.9,19.0,15.4,11.7,29.5,21.9,,9.0,12.1,15.1,29.7,34.2,38.1,20.0
02-05,37.6,15.1,8.8,29.9,19.7,34.7,32.0,13.9,18.7,15.5,12.1,29.0,21.8,,8.8,12.5,15.3,29.4,34.2,37.6,19.7
02-06,36.9,14.5,9.0,29.2,20.2,34.5,31.5,14.0,19.1,15.6,11.9,28.5,21.8,,9.0,12.3,15.2,28.8,33.9,36.9,20.2
02-07,37.1,15.2,9.4,29.2,20.2,34.6,31.6,14.5,19.0,15.7,12.1,28.4,21.7,,9.4,12.5,15.5,28.7,34.0,37.1,20.2
02-08,37.3,14.9,10.0,29.1,20.4,34.5,31.8,14.0,19.5,15.7,12.2,27.5,21.7,,10.0,12.5,15.4,28.1,33.9,37.3,20.4
02-09,37.2,14.6,9.5,29.5,21.2,34.3,31.9,14.0,19.9,15.3,12.0,27.6,21.6,,9.5,12.4,15.0,28.4,33.8,37.2,21.2
02-10,36.9,14.8,9.7,30.0,21.2,34.4,31.7,14.0,19.8,15.2,11.9,27.6,21.7,,9.7,12.3,15.1,28.5,33.9,36.9,21.2
02-11,36.8,14.6,9.6,29.7,22.2,34.4,32.0,14.1,19.4,15.4,12.1,27.4,21.7,,9.6,12.5,15.1,28.3,33.9,36.8,21.7
02-12,36.7,14.5,9.4,30.0,22.7,34.6,32.0,13.6,19.8,15.7,12.2,27.4,21.6,,9.4,12.5,15.2,28.4,34.1,36.7,21.6
02-13,36.2,15.1,9.1,29.4,22.0,34.4,31.8,13.5,19.7,15.7,12.4,27.3,21.6,,9.1,12.6,15.4,28.1,33.9,36.2,21.6
02-14,36.1,15.0,9.2,29.3,21.7,34.8,32.1,13.4,19.2,15.4,12.3,26.3,21.6,,9.2,12.5,15.2,27.5,34.3,36.1,21.6
