date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-06,47.8,60.8,48.6,40.8,58.2,30.6,67.6,53.2,56.4,45.6,21.0,49.0,21.7,,21.0,23.5,43.7,54.5,60.3,67.6,48.6
11-07,,60.1,49.6,40.8,58.1,30.7,67.3,53.1,56.7,45.4,21.6,49.6,21.7,,21.6,22.6,42.2,55.6,59.9,67.3,49.6
11-08,47.7,59.4,49.9,40.6,58.3,30.7,67.0,52.9,56.2,44.8,20.8,50.1,21.5,,20.8,23.3,43.1,54.2,59.2,67.0,49.9
11-09,47.5,58.5,49.5,40.8,57.9,30.6,67.7,53.3,55.1,44.8,21.7,50.3,22.0,,21.7,23.7,43.2,54.0,58.4,67.7,49.5
11-10,47.7,56.8,49.4,40.7,58.3,30.8,67.2,53.1,53.1,44.4,21.1,51.2,21.7,,21.1,23.5,42.9,53.1,58.0,67.2,49.4
11-11,47.2,55.1,49.1,40.3,57.8,31.2,67.0,53.3,42.8,44.2,21.1,51.6,21.7,,21.1,23.6,41.8,52.3,57.3,67.0,47.2
11-12,47.6,53.6,48.8,40.8,57.8,31.4,67.0,53.4,38.4,43.9,21.1,52.5,21.7,,21.1,23.7,39.9,52.9,57.0,67.0,47.6
11-13,47.7,54.0,48.4,40.3,58.1,31.5,67.0,52.6,37.1,43.8,21.0,52.9,21.6,,21.0,23.6,39.0,52.7,57.3,67.0,47.7
11-14,46.5,54.4,48.3,40.3,58.1,31.9,66.5,52.8,37.5,43.2,21.0,53.5,22.2,,21.0,24.2,39.2,53.1,57.3,66.5,46.5
11-15,46.7,54.3,48.4,40.6,57.5,31.9,66.2,52.8,37.1,42.3,20.9,53.9,22.0,,20.9,24.0,39.2,53.3,56.8,66.2,46.7
11-16,47.1,53.5,48.0,40.1,57.6,32.3,66.0,53.1,37.2,42.6,21.0,54.8,22.1,,21.0,24.1,38.9,53.3,57.0,66.0,47.1
