date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-06,63.7,44.3,47.7,35.4,51.1,36.4,69.5,41.0,49.7,44.2,26.8,72.3,37.6,,26.8,35.6,39.6,50.3,68.3,72.3,44.3
11-07,63.4,44.5,47.5,35.2,51.2,36.9,68.6,41.4,49.9,44.3,27.5,71.7,38.0,,27.5,35.6,40.0,50.4,67.6,71.7,44.5
11-08,63.4,44.6,48.2,35.2,51.1,36.6,68.6,41.9,49.9,44.4,27.6,71.4,39.4,,27.6,35.4,40.9,50.4,67.6,71.4,44.6
11-09,65.8,44.0,47.8,35.9,50.8,37.1,67.9,42.4,49.4,45.5,27.9,70.9,41.1,,27.9,36.2,41.9,50.0,67.5,70.9,45.5
11-10,65.6,43.1,48.4,36.7,51.1,37.0,67.6,42.3,48.4,46.9,28.4,73.0,41.5,,28.4,36.8,42.0,49.5,67.2,73.0,46.9
11-11,65.0,42.1,49.7,37.7,51.2,36.8,67.3,42.8,48.1,46.9,28.5,72.8,42.0,,28.5,37.0,42.1,50.3,66.8,72.8,46.9
11-12,64.6,41.7,50.7,37.6,51.3,37.5,67.0,42.0,47.3,46.7,28.8,72.5,42.0,,28.8,37.5,41.9,50.9,66.6,72.5,46.7
11-13,64.3,42.6,52.1,37.7,50.7,37.4,66.5,42.7,46.2,46.5,29.7,73.7,42.4,,29.7,37.5,42.5,51.2,66.1,73.7,46.2
11-14,64.4,43.0,52.7,37.4,50.6,36.9,66.3,42.6,44.9,46.3,29.4,73.1,42.6,,29.4,37.0,42.6,51.5,65.9,73.1,44.9
11-15,64.0,43.5,53.6,37.4,50.5,36.8,66.1,42.1,43.5,46.1,30.0,72.7,43.1,,30.0,36.9,42.7,51.7,65.7,72.7,43.5
11-16,63.9,43.8,53.4,36.9,50.3,36.7,65.5,42.1,42.7,46.5,29.9,72.1,43.7,,29.9,36.7,42.5,51.6,65.2,72.1,43.8
11-17,64.5,44.2,53.7,37.4,50.4,36.8,65.4,47.1,41.7,46.4,31.1,72.6,43.8,,31.1,37.0,43.0,51.7,65.3,72.6,46.4
11-18,64.8,44.4,54.3,37.2,50.6,36.9,65.3,48.2,41.4,46.6,31.6,71.4,43.9,,31.6,37.0,42.9,52.1,65.2,71.4,46.6
11-19,65.0,45.3,56.1,37.7,50.4,36.2,64.7,48.4,39.9,45.6,35.8,69.8,43.9,,35.8,36.5,42.3,52.7,64.9,69.8,45.6
11-20,64.7,45.8,56.0,37.6,49.5,36.2,64.6,48.2,38.2,45.4,36.5,69.3,43.9,,36.2,36.7,41.6,52.1,64.7,69.3,45.8
11-21,64.6,45.9,56.3,38.0,49.6,35.8,64.9,48.3,36.3,45.9,35.0,69.2,43.9,,35.0,35.9,41.5,52.3,64.8,69.2,45.9
11-22,65.0,46.7,56.7,38.5,49.8,35.9,67.5,51.1,35.1,45.9,35.8,68.7,43.7,,35.1,35.8,41.6,53.3,67.0,68.7,46.7
11-23,64.9,47.1,56.3,38.4,49.7,35.8,67.8,52.3,36.2,46.2,35.2,67.7,43.5,,35.2,35.9,41.4,53.9,67.1,67.8,47.1
11-24,64.9,47.4,55.9,38.9,49.8,35.5,67.4,53.6,37.4,46.0,35.8,67.0,42.6,,35.5,36.2,41.1,54.5,66.6,67.4,47.4
11-25,65.3,48.2,55.8,39.2,50.1,34.9,67.5,54.6,40.4,45.6,36.6,66.2,41.4,,34.9,37.1,41.0,55.1,66.0,67.5,48.2
11-26,65.7,48.5,55.5,39.0,50.0,34.9,67.0,55.1,41.2,45.8,36.9,65.0,40.3,,34.9,37.3,40.8,55.3,65.6,67.0,48.5
11-27,66.2,48.5,55.3,39.6,50.9,35.2,66.8,55.7,41.5,44.8,36.8,64.2,40.1,,35.2,37.4,41.0,55.4,65.8,66.8,48.5
11-28,66.3,49.2,54.6,39.3,50.9,34.7,66.4,57.0,41.8,44.8,36.8,63.4,40.3,,34.7,37.3,41.2,55.5,65.7,66.4,49.2
11-29,66.4,48.8,54.2,40.0,51.4,34.5,66.5,57.0,42.9,45.2,37.2,63.0,40.4,,34.5,37.8,41.9,55.3,65.7,66.5,48.8
11-30,66.2,49.3,53.9,39.3,51.3,33.7,66.2,56.7,42.9,45.1,36.7,62.6,40.6,,33.7,37.2,42.0,55.0,65.4,66.2,49.3
12-01,66.7,49.2,54.2,38.8,51.4,33.1,66.0,56.3,43.4,45.3,37.1,61.9,40.3,,33.1,37.5,42.2,55.1,65.2,66.7,49.2
12-02,66.4,50.0,54.4,38.6,51.5,32.6,66.1,56.1,43.5,45.3,36.7,61.5,40.4,,32.6,37.1,42.3,55.1,65.1,66.4,50.0
12-03,66.8,49.9,56.7,39.2,51.6,32.8,66.1,55.6,44.1,45.5,36.7,60.9,40.3,,32.8,37.2,42.6,56.0,65.1,66.8,49.9
12-04,67.0,49.7,56.9,39.7,51.6,32.5,66.1,56.1,44.6,45.8,36.8,60.4,40.1,,32.5,37.4,42.8,56.4,65.0,67.0,49.7
12-05,67.1,49.3,56.4,40.5,52.3,32.9,66.0,56.3,44.6,45.9,36.8,60.1,40.1,,32.9,37.5,43.0,56.3,64.8,67.1,49.3
