date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-06,35.3,35.4,18.6,39.6,29.7,33.5,40.8,43.0,59.5,18.8,14.4,60.8,42.6,,14.4,18.7,32.0,41.5,56.2,60.8,35.4
11-07,34.8,35.7,18.5,39.7,29.6,32.0,40.9,42.6,59.1,18.6,14.8,61.1,45.8,,14.8,18.6,31.1,41.6,56.4,61.1,35.7
11-08,35.2,35.4,17.3,39.7,29.2,32.2,40.8,42.0,58.5,18.7,15.0,60.7,48.0,,15.0,17.5,31.0,41.3,56.4,60.7,35.4
11-09,35.1,37.0,16.9,39.6,30.6,31.2,40.8,41.6,56.8,18.9,14.8,60.7,57.4,,14.8,17.3,31.0,41.1,57.3,60.7,37.0
11-10,35.5,36.7,17.6,39.4,31.0,30.3,40.2,41.5,52.4,18.5,14.8,62.0,60.6,,14.8,17.8,30.7,40.7,59.0,62.0,36.7
11-11,36.1,36.5,17.8,39.5,31.4,29.9,39.9,41.5,48.0,18.1,14.6,62.7,60.7,,14.6,17.8,30.8,40.5,58.2,62.7,36.5
11-12,36.4,37.2,18.4,39.0,29.0,30.1,39.7,41.3,45.0,18.5,14.5,62.2,60.1,,14.5,18.4,29.7,40.4,57.1,62.2,37.2
11-13,37.3,36.4,18.3,39.1,28.5,30.1,39.2,41.0,43.1,18.0,14.6,62.3,59.4,,14.6,18.1,29.5,39.9,56.1,62.3,37.3
11-14,37.4,37.1,18.6,39.2,28.9,29.5,38.9,40.9,41.5,18.1,14.1,62.2,59.1,,14.1,18.2,29.3,39.9,55.6,62.2,37.4
11-15,37.5,36.6,20.6,38.8,28.8,29.7,38.4,40.7,40.6,18.4,14.4,61.8,58.5,,14.4,18.9,29.3,39.5,55.0,61.8,37.5
11-16,38.4,37.1,21.5,38.4,29.1,29.6,38.1,40.3,39.5,18.2,14.6,62.3,58.2,,14.6,18.8,29.4,38.8,54.6,62.3,38.1
11-17,39.4,36.7,22.6,37.5,29.2,29.6,38.1,40.5,38.0,18.4,14.3,62.7,58.0,,14.3,19.2,29.5,38.6,54.5,62.7,37.5
11-18,40.0,36.3,28.6,37.4,28.6,30.7,37.4,40.1,37.4,18.2,14.0,62.4,57.2,,14.0,20.3,29.8,38.5,53.8,62.4,37.4
11-19,39.5,35.7,30.9,36.4,28.3,30.7,37.3,40.2,35.8,18.0,16.8,61.7,56.7,,16.8,20.1,30.8,38.2,53.4,61.7,35.8
11-20,40.7,36.0,32.1,36.1,28.8,30.9,37.1,40.1,33.8,18.7,16.6,61.3,56.4,,16.6,20.7,31.6,38.3,53.2,61.3,36.0
11-21,40.8,36.1,32.4,36.1,28.9,32.5,37.5,39.6,31.6,19.2,16.5,61.4,55.8,,16.5,21.1,32.1,38.4,52.8,61.4,36.1
11-22,40.5,36.5,33.4,36.5,28.2,32.0,39.5,39.8,30.8,19.0,16.5,60.7,55.3,,16.5,20.8,31.5,39.6,52.3,60.7,36.5
11-23,39.9,36.6,33.3,36.4,28.4,32.6,40.7,39.8,31.1,19.6,15.4,58.9,54.6,,15.4,21.3,32.0,39.9,51.8,58.9,36.4
11-24,40.2,37.3,32.6,36.7,28.5,33.3,41.5,39.5,30.8,19.5,15.0,58.6,54.1,,15.0,21.3,31.9,39.8,51.6,58.6,36.7
11-25,40.1,36.6,32.1,37.0,28.8,33.0,42.3,41.7,31.9,18.9,14.6,56.9,53.3,,14.6,20.9,32.0,40.7,51.1,56.9,36.6
11-26,39.4,36.5,29.4,37.3,28.4,33.2,42.3,42.9,31.7,19.1,13.8,53.2,51.6,,13.8,21.0,30.8,40.6,49.9,53.2,36.5
11-27,39.5,36.9,28.0,37.5,28.6,33.8,42.4,44.6,31.5,19.2,13.6,49.7,51.1,,13.6,21.0,30.3,40.6,48.6,51.1,36.9
11-28,39.2,36.9,27.0,37.2,28.8,33.4,42.9,45.4,31.4,19.2,13.8,47.8,50.5,,13.8,20.8,30.4,40.7,47.3,50.5,36.9
11-29,40.2,36.1,26.9,37.3,29.0,33.5,43.5,46.0,31.9,19.3,13.0,47.5,50.5,,13.0,20.8,30.7,41.5,47.2,50.5,36.1
11-30,39.7,36.1,26.7,37.1,28.6,33.2,43.8,46.4,33.2,19.6,13.7,46.7,50.0,,13.7,21.0,31.4,41.3,46.7,50.0,36.1
12-01,40.7,36.1,27.4,37.1,29.5,34.1,43.3,45.7,33.7,19.3,13.5,46.4,49.8,,13.5,20.9,32.0,41.7,46.3,49.8,36.1
12-02,40.7,35.8,28.7,34.9,29.4,33.2,43.8,43.7,34.8,19.8,13.3,45.8,49.8,,13.3,21.6,31.7,41.9,45.4,49.8,34.9
12-03,41.1,36.2,29.5,34.3,29.3,31.8,44.5,42.6,34.6,19.8,12.9,45.9,49.9,,12.9,21.7,30.9,41.7,45.6,49.9,34.6
12-04,41.6,35.6,30.4,34.3,29.6,31.5,44.5,43.2,34.6,19.9,12.4,45.7,50.2,,12.4,21.9,31.0,42.2,45.4,50.2,34.6
12-05,41.5,36.2,30.5,34.7,31.7,31.8,44.6,42.3,35.3,21.1,12.3,44.7,50.2,,12.3,22.9,31.7,41.8,44.7,50.2,35.3
12-06,42.8,36.4,31.4,34.0,32.9,31.6,44.4,39.6,35.4,21.8,12.4,43.1,50.5,,12.4,23.7,32.4,40.9,44.1,50.5,35.4
12-07,43.3,36.0,32.2,33.9,33.7,30.9,44.9,38.5,35.5,22.2,11.7,42.7,51.8,,11.7,24.0,33.1,40.2,44.5,51.8,35.5
12-08,42.3,36.1,31.4,33.6,33.5,31.0,45.0,37.5,36.7,23.2,12.5,42.8,51.9,,12.5,24.8,32.7,39.4,44.5,51.9,36.1
12-09,42.9,36.7,30.9,33.4,32.3,31.2,45.5,36.5,36.5,24.2,11.9,41.9,52.3,,11.9,25.6,31.8,38.8,45.0,52.3,36.5
12-10,42.6,35.5,30.1,33.9,31.8,31.6,45.2,35.0,36.9,25.3,11.9,42.9,52.1,,11.9,26.3,31.7,39.1,44.8,52.1,35.0
12-11,43.4,35.6,29.8,33.6,31.9,32.3,46.7,29.6,37.4,26.2,11.6,43.8,52.5,,11.6,26.9,31.0,39.8,46.1,52.5,33.6
12-12,43.3,35.4,29.5,33.4,31.4,33.0,47.4,27.1,37.3,26.9,11.9,44.4,52.2,,11.9,26.9,30.7,39.7,46.8,52.2,33.4
12-13,44.0,35.2,30.1,33.3,31.2,33.3,48.0,25.6,37.5,27.7,12.0,45.1,52.6,,12.0,26.0,30.8,40.1,47.4,52.6,33.3
12-14,43.2,35.0,29.7,32.9,31.3,33.1,47.9,24.7,37.6,27.6,12.3,45.1,52.6,,12.3,25.2,30.6,39.9,47.3,52.6,33.1
12-15,44.3,35.3,29.6,33.3,31.9,33.5,48.8,22.7,37.8,27.9,12.1,45.6,53.2,,12.1,23.8,31.0,40.4,48.2,53.2,33.5
12-16,44.3,35.2,29.3,33.2,31.8,34.2,49.2,20.7,37.7,28.3,12.1,46.3,53.2,,12.1,22.2,30.8,40.4,48.7,53.2,34.2
12-17,43.5,35.3,29.1,33.1,31.9,33.9,50.8,18.6,38.4,28.7,12.0,46.2,53.9,,12.0,20.6,30.8,40.4,49.9,53.9,33.9
12-18,43.7,34.8,29.0,32.7,31.4,34.3,55.0,17.5,38.7,28.2,12.5,46.9,54.0,,12.5,19.6,30.5,40.7,52.6,55.0,34.3
12-19,43.3,34.7,29.4,32.9,31.6,34.2,55.9,17.1,39.0,28.3,13.0,46.8,54.4,,13.0,19.3,30.7,40.7,52.9,55.9,34.2
12-20,44.8,33.9,29.1,32.9,31.2,34.0,56.4,16.4,39.5,27.8,12.9,46.8,54.4,,12.9,18.7,30.4,41.6,52.9,56.4,33.9
12-21,45.9,34.7,29.3,33.4,31.0,34.2,56.9,16.7,40.2,27.9,12.6,46.8,54.5,,12.6,19.0,30.3,42.5,52.9,56.9,34.2
12-22,46.1,34.5,29.1,33.8,31.6,34.5,57.2,17.3,40.6,27.8,12.5,46.8,54.3,,12.5,19.4,30.6,42.8,52.8,57.2,34.5
12-23,46.5,33.6,29.0,34.0,33.3,34.5,57.0,17.8,40.7,28.0,13.7,46.4,54.8,,13.7,19.8,31.6,43.0,53.2,57.0,34.0
12-24,47.1,33.5,29.1,34.3,33.9,34.4,57.8,17.7,41.5,27.8,12.6,46.7,55.1,,12.6,19.7,31.8,43.6,53.5,57.8,34.3
12-25,47.7,33.3,29.0,34.4,33.6,35.1,57.4,17.2,41.5,28.3,12.5,47.0,55.4,,12.5,19.4,31.6,43.7,53.8,57.4,34.4
12-26,47.0,33.4,29.1,34.5,33.5,34.6,57.6,17.5,41.9,27.8,12.9,47.6,55.4,,12.9,19.6,31.7,43.9,53.8,57.6,34.5
12-27,47.3,32.7,29.3,34.5,34.2,34.8,57.6,17.7,42.4,28.2,12.6,48.2,56.1,,12.6,19.8,31.4,44.3,54.5,57.6,34.5
12-28,47.8,32.6,29.3,34.4,33.6,35.1,57.6,17.6,42.6,28.3,13.3,48.6,58.3,,13.3,19.8,31.3,44.7,55.8,58.3,34.4
12-29,47.0,32.9,29.4,33.8,34.2,34.7,57.9,18.4,43.0,28.3,12.8,48.7,58.9,,12.8,20.3,31.5,44.6,56.1,58.9,34.2
12-30,48.3,32.1,29.2,33.7,33.9,34.7,57.9,18.3,43.1,28.5,13.0,49.6,59.8,,13.0,20.3,31.0,45.1,56.3,59.8,33.9
12-31,47.4,32.6,29.3,33.6,34.6,34.8,57.8,18.3,43.3,28.4,13.0,49.7,60.0,,13.0,20.4,31.3,44.9,56.2,60.0,34.6
01-01,46.8,32.3,29.9,33.0,34.1,34.9,58.2,17.5,43.1,28.9,13.2,49.8,61.2,,13.2,19.8,31.3,44.6,56.5,61.2,34.1
01-02,47.6,32.8,29.8,33.2,34.3,34.5,57.9,17.5,43.1,29.1,12.8,50.1,61.9,,12.8,19.8,31.6,44.9,56.3,61.9,34.3
01-03,48.6,32.5,29.7,32.6,34.4,34.9,58.1,17.8,43.4,28.9,13.7,50.4,62.2,,13.7,20.0,31.4,45.5,56.6,62.2,34.4
