date,2020,2021,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
05-07,83.1,73.7,71.0,,71.0,71.5,72.6,77.4,81.2,83.1,73.7
05-08,82.1,75.1,72.0,,72.0,72.6,73.8,77.9,80.7,82.1,75.1
05-09,82.6,73.6,73.0,,73.0,73.1,73.4,77.2,80.8,82.6,73.6
05-10,83.1,72.6,75.2,,72.6,73.1,74.2,78.4,81.5,83.1,75.2
05-11,82.8,72.3,77.9,,72.3,73.4,75.7,79.9,81.8,82.8,77.9
05-12,83.8,73.5,79.8,,73.5,74.8,77.3,81.4,83.0,83.8,79.8
05-13,83.8,75.0,82.0,,75.0,76.4,79.2,82.7,83.4,83.8,82.0
05-14,83.7,76.8,83.5,,76.8,78.1,80.8,83.6,83.6,83.7,83.5
05-15,82.3,78.9,85.5,,78.9,79.6,80.9,83.6,84.8,85.5,82.3
05-16,81.8,77.7,86.5,,77.7,78.5,80.2,83.7,85.5,86.5,81.8
05-17,81.3,75.0,87.4,,75.0,76.2,78.7,83.7,86.1,87.4,81.3
05-18,80.3,74.5,87.8,,74.5,75.6,78.0,83.3,86.3,87.8,80.3
05-19,79.6,72.6,87.8,,72.6,74.0,76.8,82.9,86.2,87.8,79.6
05-20,78.3,71.1,88.7,,71.1,72.5,75.4,82.4,86.6,88.7,78.3
05-21,76.7,69.8,88.4,,69.8,71.2,73.9,81.4,86.0,88.4,76.7
05-22,75.6,70.9,88.7,,70.9,71.8,73.7,80.8,86.1,88.7,75.6
05-23,74.3,69.4,90.0,,69.4,70.4,72.3,80.6,86.8,90.0,74.3
05-24,74.7,70.4,90.3,,70.4,71.3,73.0,81.0,87.2,90.3,74.7
05-25,74.6,71.9,90.3,,71.9,72.5,73.5,80.9,87.1,90.3,74.6
05-26,74.7,70.9,90.4,,70.9,71.7,73.2,81.0,87.3,90.4,74.7
05-27,74.3,70.0,90.3,,70.0,70.8,72.6,80.7,87.1,90.3,74.3
05-28,74.0,69.1,90.2,,69.1,70.1,72.0,80.5,87.0,90.2,74.0
05-29,73.4,68.4,90.5,,68.4,69.4,71.4,80.2,87.1,90.5,73.4
05-30,72.5,67.5,90.6,,67.5,68.5,70.5,79.7,87.0,90.6,72.5
05-31,71.7,66.7,90.4,,66.7,67.7,69.7,79.2,86.7,90.4,71.7
06-01,70.8,66.2,90.5,,66.2,67.1,69.0,78.7,86.6,90.5,70.8
06-02,70.0,65.1,90.3,,65.1,66.1,68.0,78.1,86.3,90.3,70.0
06-03,69.4,64.4,90.2,,64.4,65.4,67.4,77.7,86.1,90.2,69.4
06-04,68.5,63.7,90.5,,63.7,64.7,66.6,77.3,86.1,90.5,68.5
06-05,67.4,62.7,90.2,,62.7,63.6,65.5,76.5,85.6,90.2,67.4
06-06,66.3,61.7,90.3,,61.7,62.7,64.5,75.9,85.5,90.3,66.3
06-07,68.3,60.9,90.9,,60.9,62.4,65.3,77.4,86.4,90.9,68.3
06-08,68.8,59.8,89.6,,59.8,61.6,65.2,77.1,85.5,89.6,68.8
06-09,70.6,58.1,88.5,,58.1,60.6,65.6,77.8,84.9,88.5,70.6
06-10,74.9,57.0,88.1,,57.0,60.5,67.7,80.2,85.4,88.1,74.9
06-11,77.9,56.6,87.8,,56.6,60.8,69.3,81.8,85.8,87.8,77.9
06-12,76.4,55.5,87.9,,55.5,59.7,68.0,81.0,85.6,87.9,76.4
06-13,74.2,54.1,87.9,,54.1,58.1,66.2,79.7,85.1,87.9,74.2
06-14,72.9,52.2,87.3,,52.2,56.3,64.6,78.6,84.4,87.3,72.9
06-15,71.6,50.0,86.2,,50.0,54.3,62.9,77.4,83.3,86.2,71.6
06-16,70.5,47.9,86.9,,47.9,52.4,61.4,77.1,83.6,86.9,70.5
06-17,69.5,45.7,86.2,,45.7,50.5,60.0,76.2,82.9,86.2,69.5
06-18,68.7,44.1,84.9,,44.1,49.0,58.9,75.2,81.7,84.9,68.7
06-19,68.2,42.3,83.8,,42.3,47.5,57.8,74.4,80.6,83.8,68.2
06-20,67.4,40.3,82.3,,40.3,45.7,56.6,73.4,79.3,82.3,67.4
06-21,66.7,38.3,83.6,,38.3,44.0,55.3,73.4,80.2,83.6,66.7
06-22,65.5,36.8,82.5,,36.8,42.5,54.0,72.3,79.1,82.5,65.5
06-23,64.4,35.0,80.9,,35.0,40.8,52.6,71.0,77.6,80.9,64.4
06-24,63.7,33.1,79.2,,33.1,39.2,51.4,69.9,76.1,79.2,63.7
06-25,62.2,33.0,77.7,,33.0,38.9,50.5,68.4,74.6,77.7,62.2
06-26,60.6,32.6,76.0,,32.6,38.2,49.4,66.7,72.9,76.0,60.6
06-27,59.8,31.8,74.2,,31.8,37.4,48.6,65.5,71.3,74.2,59.8
06-28,57.9,30.6,72.9,,30.6,36.1,47.0,63.9,69.9,72.9,57.9
06-29,57.0,25.5,71.3,,25.5,31.8,44.4,62.7,68.5,71.3,57.0
06-30,56.7,24.7,70.3,,24.7,31.1,43.9,62.1,67.5,70.3,56.7
07-01,56.2,24.2,68.8,,24.2,30.6,43.4,61.3,66.3,68.8,56.2
07-02,56.0,23.3,67.1,,23.3,29.8,42.9,60.4,64.9,67.1,56.0
07-03,54.7,22.8,64.3,,22.8,29.2,41.9,58.6,62.4,64.3,54.7
07-04,53.4,22.4,62.7,,22.4,28.6,41.0,57.1,60.8,62.7,53.4
07-05,51.7,21.3,60.4,,21.3,27.4,39.5,55.2,58.7,60.4,51.7
07-06,50.0,20.4,57.9,,20.4,26.3,38.2,53.1,56.3,57.9,50.0
07-07,48.7,19.9,55.9,,19.9,25.6,37.2,51.6,54.5,55.9,48.7
07-08,47.1,19.7,53.1,,19.7,25.2,36.1,49.5,51.9,53.1,47.1
07-09,45.6,19.1,51.0,,19.1,24.4,35.0,47.8,50.0,51.0,45.6
07-10,43.9,18.6,48.4,,18.6,23.7,33.8,45.7,47.5,48.4,43.9
07-11,42.3,18.1,45.8,,18.1,22.9,32.6,43.7,45.1,45.8,42.3
07-12,40.3,17.9,43.6,,17.9,22.4,31.4,41.6,42.9,43.6,40.3
07-13,38.5,17.6,41.4,,17.6,21.7,30.1,39.6,40.8,41.4,38.5
07-14,37.2,17.3,39.5,,17.3,21.3,29.2,38.1,39.0,39.5,37.2
