date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-04,40.3,36.9,32.7,36.8,13.6,26.5,25.0,35.4,35.1,30.4,32.7,39.4,38.6,21.5,,13.6,22.5,30.0,36.8,39.1,40.3,33.9
11-05,44.1,39.3,15.7,39.0,14.9,33.2,20.2,35.7,30.2,27.4,29.5,41.7,37.0,32.1,,14.9,17.1,29.3,37.2,41.0,44.1,32.6
11-06,39.9,41.0,14.9,37.3,27.7,37.1,17.4,35.2,24.0,20.6,31.4,43.1,43.3,28.0,,14.9,18.4,27.3,37.6,42.4,43.3,33.3
11-07,35.2,36.8,13.3,39.0,33.1,37.6,24.3,34.7,16.1,20.1,31.2,34.8,38.9,36.2,,13.3,17.3,30.5,36.3,38.5,39.0,34.7
11-08,25.6,30.9,9.3,39.7,33.7,33.6,31.0,35.2,25.5,16.4,35.6,20.0,32.7,33.7,,9.3,17.5,25.6,33.7,35.5,39.7,31.9
11-09,31.5,17.2,15.6,31.4,31.7,41.7,30.3,36.7,35.5,21.2,34.8,13.6,33.1,20.6,,13.6,16.1,21.1,33.3,36.3,41.7,31.4
11-10,37.0,14.4,22.8,11.7,31.5,24.0,23.5,35.6,32.4,26.5,36.4,9.9,27.9,7.9,,7.9,10.4,22.0,31.6,36.2,37.0,25.2
11-11,39.5,14.3,27.0,8.4,34.2,14.6,19.8,36.0,26.3,14.0,24.6,12.9,31.2,11.4,,8.4,11.8,14.2,27.4,35.5,39.5,22.2
11-12,34.6,19.0,28.4,20.1,31.9,-0.2,14.6,36.1,33.1,10.4,30.5,15.2,36.0,19.4,,-0.2,11.7,18.7,32.0,35.6,36.1,24.3
11-13,16.7,22.2,27.4,23.2,35.2,18.4,21.2,35.3,38.6,23.6,35.3,27.0,36.3,13.7,,13.7,17.2,22.1,35.2,36.0,38.6,25.3
11-14,11.7,25.7,28.8,25.8,31.0,26.7,29.5,38.8,34.5,28.8,32.1,14.6,40.6,15.4,,11.7,14.8,25.8,31.1,37.5,40.6,28.8
11-15,14.4,25.6,25.2,26.2,23.4,14.2,29.7,43.7,33.1,28.0,36.0,31.0,41.8,9.0,,9.0,14.3,25.0,31.2,40.1,43.7,27.1
11-16,22.7,27.3,19.6,33.8,22.5,11.0,22.9,38.7,39.0,29.3,32.2,36.0,34.5,17.5,,11.0,18.1,22.7,33.9,37.9,39.0,28.3
11-17,27.1,23.2,28.8,31.6,22.7,19.0,21.7,17.8,24.8,23.9,38.8,41.9,16.8,17.6,,16.8,17.7,21.5,27.3,36.6,41.9,23.5
11-18,30.2,39.2,29.6,31.2,29.3,27.6,27.0,17.9,16.0,17.6,35.2,38.8,28.9,7.9,,7.9,16.5,26.1,30.3,37.8,39.2,29.1
11-19,20.9,35.2,17.0,30.2,30.2,28.4,32.3,38.6,24.4,21.8,35.9,27.2,32.7,13.7,,13.7,18.2,24.1,32.3,35.7,38.6,29.3
11-20,32.3,26.4,26.3,35.1,28.1,27.1,22.6,38.2,34.7,23.7,30.7,21.6,25.0,20.7,,20.7,21.9,24.9,30.9,35.0,38.2,26.8
11-21,20.4,17.2,22.9,36.6,17.4,23.4,20.4,32.2,36.1,28.5,24.4,17.6,22.7,18.7,,17.2,17.5,20.2,24.8,35.0,36.6,22.8
11-22,18.5,12.1,22.4,25.7,14.8,28.3,25.6,24.6,39.6,28.2,21.5,25.3,32.6,21.4,,12.1,15.9,21.5,26.0,31.3,39.6,25.0
11-23,11.4,15.2,35.7,28.9,22.2,15.4,29.0,24.3,39.3,29.0,22.9,27.6,30.9,20.7,,11.4,15.2,22.0,29.0,34.3,39.3,25.9
11-24,21.7,-5.3,31.6,32.2,25.7,15.3,31.0,18.0,35.1,19.6,28.7,14.1,16.4,17.5,,-5.3,14.4,17.4,28.9,32.0,35.1,20.7
11-25,27.5,9.6,22.6,28.8,24.9,30.3,26.2,30.0,34.3,10.0,19.0,18.8,24.7,25.2,,9.6,12.6,22.3,27.6,30.2,34.3,25.0
11-26,31.2,24.8,21.8,23.0,25.2,34.3,5.0,30.0,43.1,19.9,8.0,12.2,32.9,23.9,,5.0,9.2,21.6,30.1,33.9,43.1,24.3
11-27,34.5,28.0,32.3,27.5,27.3,38.8,6.7,21.2,36.0,28.5,16.6,18.0,31.5,19.0,,6.7,17.0,21.0,31.5,35.5,38.8,27.7
11-28,22.5,15.5,32.5,34.3,30.6,38.5,7.3,15.9,29.1,24.4,25.2,25.5,34.7,16.6,,7.3,15.6,21.9,30.8,34.6,38.5,25.3
11-29,18.0,7.3,26.8,32.4,25.1,36.2,4.2,11.3,27.5,22.3,23.9,17.2,35.5,4.6,,4.2,5.4,16.6,26.9,34.6,36.2,23.1
11-30,24.0,22.0,24.6,33.5,21.0,29.8,9.4,8.0,28.0,24.1,8.2,27.8,35.0,25.6,,8.0,8.6,21.9,27.8,32.4,35.0,24.4
12-01,25.3,29.7,9.1,33.3,32.0,26.8,15.8,10.5,27.3,14.9,18.9,15.1,37.2,27.7,,9.1,11.8,15.7,27.9,32.9,37.2,26.1
12-02,7.7,31.2,16.9,33.1,33.7,30.7,22.8,3.2,33.4,9.6,26.3,6.7,34.1,10.0,,3.2,7.0,9.9,31.4,33.6,34.1,24.6
12-03,-3.3,34.7,8.4,17.1,13.3,30.6,29.8,12.1,28.8,4.6,25.2,16.5,31.0,21.7,,-3.3,5.7,13.2,28.9,30.9,34.7,19.4
12-04,19.1,30.1,5.7,29.7,-7.3,27.9,28.8,28.8,10.3,1.9,28.9,23.5,33.3,31.5,,-7.3,3.1,18.2,29.0,31.1,33.3,28.3
12-05,10.8,27.2,-4.4,36.4,-16.3,29.0,16.4,8.1,18.0,20.3,29.1,23.1,35.6,22.2,,-16.3,-0.6,15.9,27.4,33.7,36.4,21.2
12-06,-3.5,27.4,20.1,27.0,-9.3,28.9,31.0,2.7,10.9,17.1,26.0,20.2,29.8,6.6,,-9.3,-1.6,10.5,27.0,29.6,31.0,20.2
12-07,9.2,23.4,24.4,24.2,6.5,24.8,32.2,-3.7,20.1,17.1,30.3,21.6,28.2,12.6,,-3.7,7.3,16.6,24.5,29.7,32.2,22.5
12-08,1.8,28.8,22.6,15.6,-0.6,26.8,34.1,14.4,27.1,14.8,25.8,22.8,25.6,15.2,,-0.6,5.6,15.1,25.9,28.3,34.1,22.7
12-09,-2.0,29.3,21.6,4.3,1.8,27.8,37.8,29.3,28.7,13.9,20.0,26.6,21.3,14.6,,-2.0,2.5,14.6,27.9,29.3,37.8,21.5
12-10,3.7,24.8,19.9,17.7,15.6,32.0,31.3,32.2,28.3,24.6,20.5,21.2,5.9,23.4,,3.7,8.8,19.7,25.2,31.8,32.2,22.3
12-11,16.0,23.3,20.0,21.4,12.3,38.1,16.2,22.6,30.5,21.1,21.5,11.6,14.7,24.1,,11.6,13.0,16.2,22.7,28.6,38.1,21.2
12-12,21.6,34.4,20.7,24.7,21.4,36.1,6.9,21.4,32.9,20.5,28.7,6.9,29.6,16.4,,6.9,9.8,20.6,28.8,34.0,36.1,21.5
12-13,20.7,36.4,17.2,24.8,19.9,27.4,24.2,23.2,30.8,16.8,23.2,14.4,29.5,14.2,,14.2,15.1,19.7,25.1,30.4,36.4,23.2
12-14,13.0,34.2,15.6,25.3,25.6,17.1,17.8,27.6,19.8,24.9,15.6,16.4,29.1,10.4,,10.4,13.8,16.3,25.4,28.7,34.2,18.8
12-15,21.2,12.6,11.4,17.7,33.9,12.2,11.7,39.1,29.7,29.0,1.8,17.3,10.6,7.9,,1.8,8.7,11.6,22.0,32.6,39.1,15.0
12-16,29.8,-0.4,15.6,13.0,33.3,23.1,9.1,25.7,25.3,30.6,4.0,20.1,14.7,5.4,,-0.4,4.4,12.6,25.4,30.4,33.3,17.9
12-17,24.3,6.1,24.3,24.9,30.1,16.6,12.1,2.2,18.2,29.0,12.6,24.5,7.2,12.7,,2.2,6.4,12.6,24.3,27.8,30.1,17.4
12-18,13.3,26.3,26.4,12.4,33.9,12.6,25.1,3.2,28.6,28.4,22.4,14.9,14.4,7.6,,3.2,9.0,13.2,26.3,28.5,33.9,18.6
12-19,23.8,30.3,16.7,0.7,27.2,17.5,29.6,23.3,29.8,25.2,16.1,23.0,24.2,15.1,,0.7,15.4,17.4,25.4,29.8,30.3,23.5
12-20,32.7,20.8,20.1,16.4,14.2,20.9,21.6,33.1,27.2,27.8,21.2,34.6,26.4,18.9,,14.2,17.2,20.8,27.3,33.0,34.6,21.4
