date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-10,19.9,37.8,35.0,29.0,43.0,39.7,30.5,42.0,17.2,32.7,18.4,,17.2,18.4,29.0,37.8,42.0,43.0,32.7
11-11,13.7,39.8,33.3,23.5,40.8,36.0,21.7,35.1,24.1,33.6,18.2,,13.7,18.2,23.5,35.1,39.8,40.8,33.3
11-12,22.5,39.8,27.0,26.0,39.4,39.3,17.3,33.7,24.6,37.4,24.4,,17.3,22.5,24.6,37.4,39.4,39.8,27.0
11-13,27.9,38.0,29.3,29.4,39.1,42.1,26.9,39.0,30.5,39.8,25.7,,25.7,26.9,29.3,39.0,39.8,42.1,30.5
11-14,31.0,34.7,30.8,31.5,42.6,39.8,33.2,39.5,24.8,42.0,20.2,,20.2,24.8,31.0,39.5,42.0,42.6,33.2
11-15,33.1,31.1,27.0,31.9,46.1,38.8,35.9,41.0,32.5,44.1,16.6,,16.6,27.0,31.9,38.8,44.1,46.1,33.1
11-16,35.9,28.9,15.2,26.4,43.1,40.6,36.1,38.5,38.2,40.2,19.5,,15.2,19.5,28.9,38.5,40.6,43.1,36.1
11-17,36.2,31.2,20.0,25.3,23.6,35.1,34.2,39.7,41.7,30.6,23.2,,20.0,23.2,25.3,35.1,39.7,41.7,31.2
11-18,34.6,32.3,25.7,30.1,22.2,23.4,26.9,41.6,44.1,33.3,19.7,,19.7,22.2,25.7,33.3,41.6,44.1,30.1
11-19,34.2,34.5,29.5,32.8,35.6,31.2,30.7,40.1,39.0,37.1,21.3,,21.3,29.5,31.2,35.6,39.0,40.1,34.2
11-20,35.8,32.4,30.1,32.4,39.5,36.9,31.9,35.6,37.5,33.1,26.4,,26.4,30.1,32.4,35.8,37.5,39.5,33.1
11-21,38.4,29.6,30.0,26.2,33.6,40.3,33.2,30.5,35.7,30.1,29.4,,26.2,29.4,30.0,33.6,38.4,40.3,30.5
