date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-30,29.1,34.9,37.5,43.8,33.8,34.9,37.4,40.1,25.0,39.5,35.1,42.7,34.2,27.7,10.0,38.8,40.8,35.1,,10.0,26.9,34.3,38.6,41.4,43.8,35.1
10-31,31.9,30.3,33.7,41.8,36.1,33.0,38.9,40.5,31.1,40.4,38.5,36.2,36.8,27.3,26.1,41.2,39.7,36.7,,26.1,29.4,33.1,38.9,40.7,41.8,36.5
11-01,36.4,26.3,34.6,42.2,37.4,34.3,28.8,39.6,32.9,37.6,41.8,35.4,41.3,34.7,27.7,42.4,38.0,34.7,,26.3,28.4,34.6,38.0,41.9,42.4,35.9
11-02,37.4,34.5,32.5,36.0,37.5,41.7,20.6,37.0,34.1,31.0,39.6,32.3,39.8,37.7,30.6,44.9,35.6,30.7,,20.6,30.7,32.7,37.5,40.4,44.9,35.8
11-03,36.3,35.6,37.0,32.9,41.3,39.9,25.0,36.3,24.5,26.2,33.7,35.8,36.4,30.3,36.5,44.3,35.7,21.9,,21.9,24.8,33.0,36.4,40.3,44.3,35.7
11-04,30.4,32.9,39.1,28.0,40.8,40.6,29.8,38.0,18.0,30.8,27.0,39.5,34.5,32.0,36.3,43.0,40.6,25.6,,18.0,26.6,30.4,39.0,40.6,43.0,33.7
11-05,25.3,34.2,38.9,17.6,40.6,42.4,20.3,41.7,19.9,36.1,23.4,39.4,31.7,28.7,35.3,42.7,40.3,30.9,,17.6,20.2,28.9,39.3,41.9,42.7,34.7
11-06,35.5,41.2,38.8,20.4,39.6,40.5,19.3,40.5,28.4,40.1,22.1,38.7,30.9,23.0,34.4,40.7,38.7,27.7,,19.3,21.6,28.7,39.5,40.5,41.2,37.1
11-07,35.6,44.6,40.0,33.3,35.8,36.5,19.7,40.8,32.6,39.9,26.8,37.9,22.5,21.9,33.9,34.8,37.9,35.6,,19.7,22.3,33.3,37.8,40.3,44.6,35.6
11-08,35.1,42.3,40.1,34.3,31.2,30.4,17.9,39.0,36.1,38.5,27.2,39.1,28.8,19.2,38.7,21.4,35.6,35.6,,17.9,20.7,30.5,38.2,39.4,42.3,35.3
11-09,40.0,29.8,40.3,30.3,31.2,18.7,22.3,30.9,37.0,42.3,28.7,41.0,32.7,24.9,40.4,18.8,32.7,24.4,,18.7,21.2,28.8,36.6,40.6,42.3,31.1
11-10,40.3,24.1,39.4,30.0,35.7,18.3,28.7,15.2,36.3,28.1,25.5,41.2,34.3,25.7,39.0,16.0,29.3,14.9,,14.9,15.7,25.5,35.6,39.6,41.2,29.0
11-11,34.3,25.9,33.7,28.8,37.3,17.5,29.6,11.6,37.5,23.7,21.6,39.6,30.1,17.1,29.5,18.2,33.3,16.6,,11.6,16.9,21.9,32.9,37.4,39.6,29.2
11-12,29.2,20.3,33.2,35.2,34.2,22.3,28.4,21.0,36.2,12.2,22.0,38.9,32.6,14.5,33.3,17.5,38.0,22.0,,12.2,16.6,22.0,33.3,36.8,38.9,28.8
11-13,27.3,26.3,38.9,36.9,22.7,22.7,28.1,25.9,37.6,19.7,27.7,37.0,36.8,26.9,36.5,26.0,38.4,21.7,,19.7,22.4,26.0,36.7,37.8,38.9,27.5
11-14,24.2,21.7,30.4,30.1,16.3,28.6,28.3,29.1,31.6,28.7,29.6,40.0,35.0,32.4,34.8,18.0,40.8,17.6,,16.3,17.9,28.3,31.5,36.5,40.8,29.3
11-15,14.9,22.4,34.9,34.8,18.0,28.0,24.8,27.7,27.3,17.2,27.0,40.7,33.0,33.2,37.9,30.0,42.0,14.2,,14.2,16.5,25.0,33.2,38.8,42.0,27.9
11-16,27.1,32.3,36.8,38.6,25.6,27.6,22.9,30.4,23.8,14.4,25.2,36.7,33.9,32.9,33.3,36.6,36.0,20.8,,14.4,22.3,25.8,33.8,36.7,38.6,31.3
11-17,25.8,31.3,39.6,40.5,30.8,23.4,29.2,31.6,25.5,20.3,27.0,21.7,26.5,28.1,37.5,35.3,25.2,22.6,,20.3,22.3,25.5,31.2,38.1,40.5,27.5
11-18,31.6,29.4,40.1,40.1,30.6,30.0,30.4,31.0,29.4,26.6,28.4,18.6,19.0,23.1,39.7,37.4,30.4,14.0,,14.0,18.9,28.5,31.0,39.8,40.1,30.2
11-19,29.1,30.7,40.6,36.7,27.6,29.6,21.9,29.6,31.3,29.3,31.7,29.9,27.5,27.5,36.4,32.0,33.5,19.4,,19.4,25.8,29.1,31.7,36.5,40.6,29.8
11-20,32.1,35.9,27.7,31.1,27.8,27.3,26.0,30.8,30.7,29.8,25.9,33.5,34.4,29.2,32.1,28.8,28.3,26.5,,25.9,26.3,27.8,31.1,33.8,35.9,29.5
11-21,34.0,34.1,16.0,31.5,22.6,21.0,27.0,33.4,24.5,27.7,21.8,31.3,38.5,30.4,28.0,26.9,28.6,28.0,,16.0,21.6,26.9,31.2,34.0,38.5,28.0
11-22,33.8,33.2,19.4,31.3,21.9,15.1,25.9,31.6,20.8,28.0,29.8,28.0,40.6,26.4,22.8,26.3,35.0,28.6,,15.1,20.4,25.9,31.1,34.2,40.6,28.0
11-23,31.7,28.3,21.3,28.9,15.8,15.3,28.5,32.5,25.2,18.5,32.0,24.5,41.3,28.4,25.2,28.1,30.9,23.9,,15.3,17.7,24.6,28.9,32.2,41.3,28.2
11-24,30.6,22.3,23.1,29.9,20.7,-3.4,29.3,34.6,27.6,16.8,28.3,19.0,40.0,21.3,30.1,21.5,19.8,24.4,,-3.4,18.3,21.3,29.2,31.8,40.0,23.8
11-25,31.4,24.0,28.8,32.7,29.8,6.4,24.5,31.3,28.1,29.3,24.8,21.5,38.6,13.3,22.8,24.1,28.2,33.4,,6.4,19.0,24.1,29.8,32.9,38.6,28.2
11-26,20.8,24.4,25.9,32.8,32.6,17.5,22.5,25.4,28.3,34.0,13.5,25.2,40.0,23.2,11.1,19.0,35.9,28.5,,11.1,16.3,22.5,28.5,34.5,40.0,25.3
11-27,10.6,21.6,23.9,31.2,31.2,19.0,31.5,30.5,29.8,37.1,13.6,22.6,34.7,31.6,16.2,21.6,34.8,24.8,,10.6,15.4,21.7,31.2,34.7,37.1,27.3
11-28,10.0,8.4,13.9,29.4,28.0,16.7,32.5,31.0,28.5,35.6,11.2,19.1,27.1,29.3,27.0,28.7,37.2,22.5,,8.4,10.8,19.5,29.2,33.5,37.2,27.6
11-29,19.9,-1.8,25.3,32.4,24.4,10.6,30.6,31.6,27.4,35.4,10.3,14.7,30.1,24.8,24.0,23.4,39.3,10.0,,-1.8,10.2,20.3,29.8,33.3,39.3,24.6
11-30,14.9,14.6,24.0,33.2,28.5,17.8,30.3,32.7,25.8,32.2,12.6,13.6,30.6,24.4,12.6,25.5,37.0,20.6,,12.6,13.3,18.1,30.1,32.9,37.0,25.0
12-01,25.8,15.0,22.0,37.8,26.7,29.7,20.4,32.7,31.2,28.8,19.6,15.1,32.2,16.7,17.4,18.1,40.4,22.6,,15.0,16.2,19.7,29.6,34.2,40.4,24.2
12-02,26.8,4.2,15.5,33.0,11.3,30.4,19.6,31.0,31.9,32.3,24.7,10.2,31.6,15.8,26.5,13.1,39.8,15.5,,4.2,11.0,15.6,30.9,32.5,39.8,25.6
12-03,11.8,13.2,28.8,23.7,2.7,32.3,12.9,20.9,21.9,30.4,27.3,17.5,27.2,6.4,28.7,24.4,37.1,23.5,,2.7,10.2,17.9,27.3,30.9,37.1,23.6
12-04,5.8,24.2,38.0,20.7,14.1,31.4,9.5,31.2,-0.5,31.0,27.0,25.8,13.6,5.3,29.6,30.1,36.5,30.1,,-0.5,5.6,14.7,30.1,32.9,38.0,26.4
12-05,13.5,29.8,32.3,27.2,12.3,29.0,1.7,33.5,-7.6,29.8,19.0,13.0,18.0,18.6,30.3,29.9,35.4,24.6,,-7.6,9.1,18.0,29.8,32.6,35.4,25.9
12-06,10.8,28.9,28.1,35.3,5.1,26.1,16.5,28.7,-4.1,30.7,25.6,10.1,15.6,22.3,26.7,29.5,30.2,16.1,,-4.1,8.6,16.1,28.6,30.4,35.3,25.8
12-07,-5.6,27.3,26.4,34.2,8.3,25.4,24.9,24.6,5.7,28.6,31.8,1.9,24.7,23.4,28.0,31.0,30.6,18.9,,-5.6,4.6,23.6,28.0,31.3,34.2,25.2
12-08,7.9,27.0,22.4,24.1,4.2,29.3,24.9,18.2,1.5,30.5,34.2,13.1,29.9,22.5,27.2,33.9,29.3,16.1,,1.5,6.8,18.6,29.1,31.5,34.2,24.5
12-09,22.6,24.3,16.2,19.0,0.8,32.4,22.7,7.2,2.8,32.2,36.7,28.7,29.7,19.2,21.9,33.2,26.1,17.5,,0.8,5.9,19.1,28.4,32.6,36.7,22.7
12-10,24.6,20.9,13.4,31.8,7.7,27.4,21.6,20.2,15.0,32.1,29.9,30.7,30.6,24.9,21.6,27.7,9.2,21.0,,7.7,12.1,20.9,27.7,31.1,32.1,23.1
12-11,25.0,22.2,12.8,27.8,14.5,25.4,21.3,21.9,16.2,30.8,21.6,23.4,35.9,25.2,24.7,17.7,15.1,22.8,,12.8,14.9,21.3,25.0,28.7,35.9,22.5
12-12,23.4,27.1,11.7,26.8,19.7,34.2,19.7,21.4,23.4,33.1,15.4,21.6,35.0,20.6,29.2,12.4,21.6,17.8,,11.7,14.5,19.8,26.4,33.4,35.0,21.6
12-13,19.5,31.6,10.7,17.7,21.4,34.7,21.3,23.6,22.0,27.9,22.5,23.3,32.7,18.0,25.0,16.0,24.2,16.6,,10.7,16.4,19.7,24.1,31.9,34.7,22.3
12-14,10.8,35.1,5.6,5.2,16.5,33.3,17.9,25.7,25.1,19.0,18.2,29.4,23.8,24.9,19.0,17.2,28.4,15.2,,5.2,9.2,17.3,25.1,30.6,35.1,19.0
12-15,12.4,32.3,10.1,6.4,18.6,18.5,15.7,21.6,34.9,15.4,14.7,35.2,30.5,28.0,8.6,17.0,12.6,10.8,,6.4,9.7,12.9,21.3,33.1,35.2,16.3
12-16,12.4,18.7,16.0,9.5,28.2,8.6,17.7,18.6,33.8,22.1,12.0,24.7,28.3,27.6,5.6,22.7,16.0,7.2,,5.6,8.2,12.7,22.7,28.2,33.8,18.1
12-17,14.4,12.7,18.3,7.9,25.6,12.8,26.2,23.9,32.3,21.7,14.4,5.5,21.7,28.5,12.6,22.0,13.5,14.7,,5.5,11.2,13.6,22.0,26.9,32.3,16.5
12-18,18.6,7.6,20.4,16.3,17.5,24.7,28.1,17.3,31.9,17.9,22.1,3.3,29.6,30.3,18.3,19.0,17.5,16.7,,3.3,13.7,17.5,21.9,29.8,31.9,18.5
12-19,27.7,16.4,23.8,11.7,22.2,29.2,22.2,5.5,26.2,20.3,21.8,16.8,29.2,27.5,19.0,25.0,23.6,18.1,,5.5,15.0,19.1,24.9,28.1,29.2,22.2
12-20,31.3,19.7,22.4,6.4,28.0,24.0,20.7,12.0,16.9,24.7,23.3,28.3,26.0,27.5,22.5,33.8,26.2,21.6,,6.4,15.4,21.6,26.1,29.2,33.8,23.6
12-21,33.6,20.7,10.1,15.4,23.4,24.7,17.3,16.7,19.5,30.3,21.3,26.3,17.2,30.1,28.4,33.0,27.0,22.4,,10.1,16.3,19.6,26.9,31.1,33.6,22.9
12-22,36.0,21.4,13.6,16.7,20.8,28.4,12.5,19.6,19.8,24.0,22.9,23.4,22.6,16.6,28.0,20.8,28.8,14.1,,12.5,13.9,19.6,23.4,28.5,36.0,21.1
12-23,30.9,18.8,22.6,6.4,17.6,24.5,22.7,22.8,28.1,14.5,13.0,21.3,20.8,23.1,27.0,13.2,27.7,21.1,,6.4,13.1,19.0,23.1,27.8,30.9,22.0
