date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-10,16.4,38.1,30.5,25.5,42.6,38.5,29.0,39.0,16.0,31.0,16.1,,16.0,16.1,25.5,38.1,39.0,42.6,30.5
11-11,11.0,40.4,30.1,18.6,41.0,32.8,17.4,32.5,19.7,32.3,15.8,,11.0,15.8,18.6,32.5,40.4,41.0,30.1
11-12,22.2,40.8,23.5,23.5,39.8,36.7,16.1,35.3,21.8,36.8,22.5,,16.1,21.8,22.5,36.7,39.8,40.8,23.5
11-13,27.9,39.1,30.6,28.8,38.0,41.2,26.1,36.8,31.2,38.1,21.1,,21.1,26.1,28.8,38.0,39.1,41.2,31.2
11-14,32.0,34.0,30.6,30.9,43.0,38.0,33.0,39.8,21.2,40.6,17.2,,17.2,21.2,30.9,38.0,40.6,43.0,33.0
11-15,33.2,28.6,22.5,30.0,48.6,38.5,34.4,40.9,34.7,45.3,13.1,,13.1,22.5,30.0,38.5,45.3,48.6,34.4
11-16,35.1,25.9,10.8,22.9,40.2,41.9,34.4,34.7,39.8,38.9,17.9,,10.8,17.9,25.9,38.9,40.2,41.9,34.7
11-17,35.4,29.9,18.1,19.5,17.0,31.2,30.8,35.6,42.4,26.2,22.3,,17.0,18.1,22.3,31.2,35.6,42.4,29.9
11-18,33.8,32.5,24.0,27.1,18.9,21.6,24.6,39.3,44.3,34.0,17.3,,17.3,18.9,24.0,33.8,39.3,44.3,27.1
11-19,32.8,32.9,30.8,32.5,34.4,33.0,29.2,41.3,35.8,37.3,19.9,,19.9,29.2,32.5,34.4,37.3,41.3,32.9
11-20,35.1,31.1,30.4,27.9,39.5,38.4,32.0,33.9,32.6,29.0,25.6,,25.6,27.9,30.4,33.9,38.4,39.5,32.0
11-21,38.3,30.1,30.1,24.0,32.1,39.3,33.5,28.9,30.0,27.6,28.6,,24.0,27.6,28.9,32.1,38.3,39.3,30.1
11-22,31.4,27.1,30.7,31.0,25.7,41.3,29.6,25.7,31.5,36.5,29.1,,25.7,25.7,29.1,31.4,36.5,41.3,30.7
11-23,36.1,29.4,18.1,35.0,26.3,44.3,31.5,25.7,29.5,35.0,24.5,,18.1,24.5,26.3,35.0,36.1,44.3,29.5
11-24,37.5,27.5,16.8,32.4,21.3,43.6,22.8,29.9,20.3,19.1,23.4,,16.8,19.1,21.3,29.9,37.5,43.6,23.4
11-25,34.6,27.0,27.0,25.9,26.9,42.5,16.3,23.3,28.1,28.1,33.3,,16.3,23.3,26.9,28.1,34.6,42.5,27.0
11-26,30.8,31.0,33.1,16.1,28.6,46.2,26.3,12.0,16.2,35.1,27.9,,12.0,16.1,26.3,31.0,35.1,46.2,28.6
11-27,33.8,31.6,40.4,15.6,22.9,39.0,35.6,20.6,18.2,34.2,25.5,,15.6,18.2,22.9,34.2,39.0,40.4,31.6
11-28,35.5,29.7,41.2,12.5,18.8,29.0,31.6,28.5,28.2,37.6,26.1,,12.5,18.8,28.2,31.6,37.6,41.2,29.0
11-29,35.3,28.1,38.4,9.6,15.6,33.0,29.6,23.4,26.7,39.6,10.3,,9.6,10.3,23.4,33.0,38.4,39.6,28.1
11-30,35.7,28.1,35.1,11.4,14.0,35.9,25.7,14.2,29.1,35.8,23.4,,11.4,14.0,23.4,35.1,35.8,35.9,28.1
12-01,35.6,30.4,31.2,17.2,17.1,35.1,19.4,21.5,19.9,38.3,30.2,,17.1,17.2,19.9,31.2,35.6,38.3,30.2
12-02,34.8,36.2,34.2,26.9,10.7,37.1,16.5,32.3,13.6,40.1,20.7,,10.7,13.6,20.7,34.8,37.1,40.1,32.3
12-03,26.4,23.8,33.8,31.8,14.8,31.3,8.9,31.0,24.2,37.4,28.4,,8.9,14.8,24.2,31.3,33.8,37.4,28.4
12-04,35.5,1.3,34.6,32.0,28.5,14.3,10.9,33.0,31.3,36.0,34.3,,1.3,10.9,28.5,34.3,35.5,36.0,32.0
12-05,38.1,-4.1,33.1,23.6,20.4,17.9,23.7,28.8,32.3,34.1,28.7,,-4.1,17.9,23.6,32.3,34.1,38.1,28.7
12-06,32.7,3.1,32.7,32.2,16.9,18.4,26.3,27.9,31.3,31.2,19.2,,3.1,16.9,19.2,31.3,32.7,32.7,27.9
12-07,27.0,11.2,31.7,35.9,7.3,20.5,27.6,33.1,31.4,29.5,21.2,,7.3,11.2,21.2,31.4,33.1,35.9,27.6
12-08,24.0,0.8,33.2,35.0,23.0,28.7,27.5,28.9,34.8,28.7,19.4,,0.8,19.4,24.0,28.9,34.8,35.0,28.7
12-09,10.6,1.7,33.3,40.2,33.8,31.5,24.2,22.7,34.3,27.4,21.1,,1.7,10.6,22.7,33.3,34.3,40.2,27.4
12-10,18.3,16.8,34.0,36.8,36.4,31.6,28.8,22.4,27.6,8.8,25.9,,8.8,16.8,22.4,31.6,36.4,36.8,27.6
12-11,23.7,19.7,34.0,23.1,28.7,36.5,26.8,25.6,18.5,16.3,26.8,,16.3,18.5,23.1,26.8,34.0,36.5,25.6
12-12,27.3,26.5,34.6,18.0,27.5,36.6,22.0,30.9,14.7,26.4,16.6,,14.7,16.6,22.0,27.5,34.6,36.6,26.5
12-13,27.5,21.1,26.3,26.5,28.1,33.6,18.1,29.4,16.9,28.5,15.1,,15.1,16.9,21.1,28.1,29.4,33.6,26.5
12-14,27.4,20.0,17.2,17.7,35.8,25.0,29.3,22.7,17.9,30.8,14.6,,14.6,17.2,17.9,27.4,30.8,35.8,22.7
12-15,21.1,29.9,19.0,14.2,38.4,33.6,32.6,12.3,15.1,14.1,13.1,,12.3,13.1,14.2,29.9,33.6,38.4,19.0
12-16,19.5,31.2,25.3,13.1,28.4,27.3,32.6,9.6,21.7,20.0,9.1,,9.1,9.6,19.5,27.3,31.2,32.6,21.7
12-17,27.0,34.8,23.3,16.7,4.5,19.2,31.0,16.6,25.3,14.4,16.5,,4.5,14.4,16.6,25.3,31.0,34.8,19.2
12-18,20.4,35.6,21.8,27.9,4.8,27.2,28.6,22.8,19.4,19.7,19.4,,4.8,19.4,19.7,27.2,28.6,35.6,21.8
12-19,5.8,28.0,24.0,27.9,21.9,32.0,28.4,20.4,21.2,27.3,19.4,,5.8,19.4,21.2,27.9,28.4,32.0,24.0
12-20,17.3,17.1,27.8,23.5,31.1,30.0,32.3,27.0,28.6,29.5,25.7,,17.1,17.3,25.7,29.5,31.1,32.3,27.8
12-21,25.1,18.3,31.5,25.7,28.0,12.4,32.6,34.1,33.8,29.8,24.9,,12.4,18.3,25.1,31.5,33.8,34.1,28.0
12-22,28.6,20.0,26.0,25.8,27.0,20.3,19.7,33.9,25.7,34.3,21.5,,19.7,20.0,21.5,27.0,33.9,34.3,25.8
12-23,27.3,26.5,16.7,15.0,25.6,25.3,28.1,30.4,11.1,33.4,25.5,,11.1,15.0,25.3,27.3,30.4,33.4,25.6
12-24,19.3,23.7,25.8,11.8,27.4,25.6,26.8,26.7,21.8,28.2,28.5,,11.8,19.3,23.7,26.8,28.2,28.5,25.8
12-25,13.1,23.6,16.4,11.4,14.0,29.4,25.7,21.7,28.4,26.3,30.5,,11.4,13.1,16.4,26.3,29.4,30.5,23.6
12-26,17.0,29.0,11.3,5.2,9.8,28.8,17.9,16.5,29.7,19.0,36.4,,5.2,9.8,16.5,28.8,29.7,36.4,17.9
12-27,14.5,31.9,9.4,11.6,24.9,32.4,11.1,17.9,20.5,18.8,33.7,,9.4,11.1,14.5,24.9,32.4,33.7,18.8
12-28,10.4,27.0,18.0,14.5,26.2,33.4,6.1,8.4,20.8,14.8,23.2,,6.1,8.4,14.5,23.2,27.0,33.4,18.0
12-29,12.5,18.0,10.7,9.6,26.8,38.9,12.6,11.8,15.6,15.9,19.0,,9.6,10.7,12.5,18.0,26.8,38.9,15.6
12-30,14.6,25.9,6.5,10.6,29.8,40.4,22.0,18.5,18.3,23.2,27.2,,6.5,10.6,18.3,25.9,29.8,40.4,22.0
12-31,6.2,31.6,10.9,5.6,22.5,30.3,8.5,18.0,22.1,17.3,32.7,,5.6,6.2,10.9,22.5,31.6,32.7,18.0
01-01,9.1,26.4,15.4,11.3,23.5,29.8,1.6,25.6,17.9,3.2,30.5,,1.6,3.2,11.3,25.6,29.8,30.5,17.9
01-02,11.9,30.6,19.1,22.9,23.7,26.8,15.9,19.1,22.5,19.0,19.2,,11.9,15.9,19.1,22.9,26.8,30.6,19.2
01-03,15.3,32.8,20.5,30.3,22.6,32.0,27.4,24.0,24.5,26.2,18.1,,15.3,18.1,22.6,27.4,32.0,32.8,24.5
01-04,22.4,15.3,25.1,27.5,28.2,33.4,32.5,30.0,29.4,27.7,22.1,,15.3,22.1,25.1,29.4,32.5,33.4,27.7
01-05,24.1,9.5,32.5,26.3,15.6,34.3,29.9,24.0,22.1,30.5,24.5,,9.5,15.6,24.0,29.9,32.5,34.3,24.5
01-06,23.3,23.4,35.9,26.5,5.9,32.2,24.7,20.3,26.2,32.9,25.2,,5.9,20.3,23.4,26.5,32.9,35.9,25.2
01-07,23.8,30.3,38.2,20.7,21.6,28.0,25.4,27.1,23.9,34.6,22.2,,20.7,21.6,23.8,28.0,34.6,38.2,25.4
01-08,24.2,25.1,35.6,18.4,34.4,32.3,28.0,24.5,23.8,22.1,26.2,,18.4,22.1,24.2,28.0,34.4,35.6,25.1
01-09,29.0,22.4,32.6,15.8,32.8,33.8,31.2,19.0,18.3,19.1,29.0,,15.8,18.3,19.1,31.2,32.8,33.8,29.0
01-10,24.6,25.2,32.2,14.0,28.7,28.1,29.2,12.4,15.9,27.1,30.8,,12.4,14.0,24.6,28.7,30.8,32.2,27.1
01-11,4.6,33.0,29.8,17.2,27.5,24.5,21.7,21.3,19.5,27.6,20.8,,4.6,17.2,20.8,27.5,29.8,33.0,21.7
01-12,0.2,20.0,27.7,23.4,25.1,28.1,18.9,17.1,28.2,31.7,25.6,,0.2,17.1,20.0,27.7,28.2,31.7,25.1
01-13,-6.8,22.4,24.5,28.9,26.0,27.1,18.3,21.5,34.8,37.1,32.4,,-6.8,18.3,22.4,28.9,34.8,37.1,26.0
01-14,-8.3,24.2,22.4,20.0,23.9,30.9,20.6,23.6,23.8,25.3,28.9,,-8.3,20.0,22.4,24.2,28.9,30.9,23.8
01-15,8.1,26.5,28.8,20.2,24.3,30.2,27.3,22.4,29.6,29.2,25.0,,8.1,20.2,24.3,28.8,29.6,30.2,26.5
01-16,20.7,26.8,32.4,22.3,17.5,28.5,27.8,28.9,27.8,30.8,23.1,,17.5,20.7,23.1,28.5,30.8,32.4,27.8
01-17,25.0,28.8,28.5,26.0,21.0,29.8,31.1,17.4,28.9,31.1,19.9,,17.4,19.9,25.0,28.9,31.1,31.1,28.5
01-18,25.4,29.1,34.4,28.4,27.1,36.9,20.3,20.2,21.5,27.6,14.5,,14.5,20.2,21.5,28.4,34.4,36.9,27.1
01-19,27.0,31.7,32.6,25.1,25.0,36.6,25.4,25.4,19.7,22.3,15.2,,15.2,19.7,25.0,27.0,32.6,36.6,25.4
01-20,26.0,29.9,24.8,20.8,22.8,21.8,32.6,30.6,25.8,22.0,13.6,,13.6,20.8,22.0,26.0,30.6,32.6,24.8
01-21,29.2,29.7,16.2,22.9,20.4,12.3,22.2,28.6,27.6,22.6,14.8,,12.3,14.8,20.4,27.6,29.2,29.7,22.6
01-22,34.6,26.3,18.2,32.2,20.2,16.1,11.9,27.9,27.7,20.8,12.8,,11.9,12.8,18.2,27.7,32.2,34.6,20.8
01-23,36.0,20.9,22.2,32.1,22.8,20.3,18.8,26.6,20.5,24.4,14.3,,14.3,18.8,20.5,24.4,32.1,36.0,22.2
01-24,33.5,26.6,26.4,21.9,14.3,27.5,21.2,27.8,17.1,24.9,13.1,,13.1,14.3,21.2,26.6,27.8,33.5,24.9
01-25,32.8,29.4,36.2,16.1,10.8,26.7,20.4,27.7,17.2,19.7,14.0,,10.8,14.0,17.2,27.7,32.8,36.2,20.4
01-26,30.3,27.7,39.0,17.7,9.3,15.9,21.9,32.9,14.7,17.1,15.7,,9.3,14.7,15.9,27.7,32.9,39.0,17.7
01-27,28.1,26.9,35.1,26.8,9.9,21.4,27.7,23.7,15.5,15.4,24.7,,9.9,15.4,21.4,26.9,28.1,35.1,24.7
01-28,12.5,23.9,31.5,32.4,20.2,28.2,23.1,23.0,26.8,22.9,20.1,,12.5,20.1,22.9,26.8,31.5,32.4,23.1
01-29,11.2,32.7,30.9,33.3,29.6,34.6,22.7,22.1,25.2,29.7,21.4,,11.2,21.4,22.7,30.9,33.3,34.6,29.6
01-30,20.9,24.8,30.8,27.2,31.4,38.8,24.2,19.8,19.3,28.8,10.3,,10.3,19.3,20.9,28.8,31.4,38.8,24.8
01-31,23.4,18.7,28.2,15.7,34.5,36.7,27.6,25.2,23.0,27.8,9.0,,9.0,15.7,23.0,27.8,34.5,36.7,25.2
02-01,23.5,11.9,26.6,12.4,36.5,34.0,29.0,34.4,31.1,10.7,19.1,,10.7,11.9,19.1,31.1,34.4,36.5,26.6
02-02,26.3,10.7,34.1,6.9,30.7,33.6,31.5,39.2,36.2,4.8,25.0,,4.8,6.9,25.0,33.6,36.2,39.2,30.7
