date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-10,9.9,31.6,23.2,22.5,35.9,31.5,25.6,35.2,12.9,26.8,8.7,,8.7,9.9,22.5,31.5,35.2,35.9,25.6
11-11,6.5,33.8,18.7,18.5,36.0,25.2,12.8,24.3,15.3,30.4,10.0,,6.5,10.0,15.3,25.2,33.8,36.0,18.7
11-12,19.8,31.6,1.5,15.3,36.4,31.5,7.5,32.7,16.4,34.7,19.7,,1.5,7.5,16.4,31.6,34.7,36.4,19.8
11-13,21.6,35.0,21.5,22.5,35.4,36.5,22.0,33.6,27.6,36.6,13.0,,13.0,21.5,22.0,35.0,36.5,36.6,27.6
11-14,28.9,29.9,29.6,27.7,41.8,33.7,27.8,30.7,15.5,40.7,13.6,,13.6,15.5,27.8,30.7,40.7,41.8,29.6
11-15,24.4,23.0,10.9,29.8,47.8,33.4,27.0,37.0,33.6,43.2,5.8,,5.8,10.9,24.4,33.6,43.2,47.8,29.8
11-16,33.7,22.2,6.5,22.5,37.8,38.1,29.9,29.8,36.8,34.2,16.6,,6.5,16.6,22.5,34.2,37.8,38.1,29.9
11-17,31.6,24.1,13.8,20.2,17.4,23.8,23.7,35.9,43.0,17.6,18.9,,13.8,17.4,18.9,24.1,35.9,43.0,23.7
11-18,30.7,31.4,22.9,25.4,16.7,13.3,14.3,36.9,39.3,29.5,8.1,,8.1,13.3,16.7,30.7,36.9,39.3,25.4
11-19,29.8,31.7,29.0,31.6,37.6,25.7,20.4,37.2,27.2,34.8,12.6,,12.6,20.4,27.2,31.7,37.2,37.6,29.8
11-20,33.3,28.0,26.4,20.0,38.8,37.3,23.2,29.7,18.9,23.5,19.6,,18.9,19.6,23.2,29.7,37.3,38.8,26.4
11-21,38.0,16.1,23.1,17.3,31.9,36.5,28.5,22.0,17.5,20.4,19.2,,16.1,17.3,19.2,28.5,36.5,38.0,22.0
11-22,27.9,17.4,28.7,24.4,22.2,39.3,28.6,20.4,24.4,32.1,20.8,,17.4,20.4,22.2,28.6,32.1,39.3,24.4
11-23,28.5,21.9,15.8,28.8,23.6,42.4,29.3,22.7,26.5,31.2,21.3,,15.8,21.3,22.7,28.8,31.2,42.4,26.5
11-24,33.6,22.6,14.2,31.5,16.5,37.1,19.1,30.0,13.5,14.5,17.4,,13.5,14.2,16.5,30.0,33.6,37.1,19.1
11-25,27.9,22.9,28.8,25.7,29.8,37.7,6.9,21.9,20.4,23.0,26.2,,6.9,20.4,22.9,27.9,29.8,37.7,25.7
11-26,22.7,22.8,33.4,1.2,31.2,44.0,18.5,7.9,10.9,33.4,26.3,,1.2,7.9,18.5,31.2,33.4,44.0,22.8
11-27,30.2,26.3,40.7,2.6,20.8,35.2,32.4,18.5,15.5,31.0,21.4,,2.6,15.5,20.8,31.0,35.2,40.7,26.3
11-28,34.0,26.9,40.4,4.9,16.4,27.0,29.0,23.7,22.1,34.4,19.7,,4.9,16.4,22.1,29.0,34.4,40.4,26.9
11-29,31.6,24.2,35.5,2.3,10.9,28.6,22.1,23.2,15.5,36.2,7.4,,2.3,7.4,15.5,28.6,35.5,36.2,23.2
11-30,34.5,22.0,29.5,9.0,10.7,26.2,23.1,9.3,27.4,33.2,28.1,,9.0,9.3,22.0,28.1,33.2,34.5,26.2
12-01,32.7,32.0,28.5,13.4,11.6,29.5,13.8,21.0,13.9,35.8,29.2,,11.6,13.4,13.9,29.5,32.7,35.8,28.5
12-02,34.7,33.0,32.4,23.0,1.9,32.9,8.0,28.8,7.2,34.2,10.7,,1.9,7.2,10.7,32.9,34.2,34.7,28.8
12-03,16.2,14.0,30.6,28.8,13.9,27.8,4.5,25.6,16.0,30.8,22.3,,4.5,13.9,16.0,27.8,30.6,30.8,22.3
12-04,31.5,-8.9,27.0,29.0,28.6,8.3,1.1,29.5,22.2,33.5,31.5,,-8.9,1.1,22.2,29.5,31.5,33.5,28.6
12-05,36.0,-13.6,28.7,14.4,7.5,13.4,21.3,27.1,22.5,33.5,21.1,,-13.6,7.5,14.4,27.1,33.5,36.0,21.3
12-06,27.2,-7.9,28.1,32.0,5.4,6.8,16.3,23.6,20.6,29.1,7.1,,-7.9,5.4,7.1,27.2,29.1,32.0,20.6
12-07,22.9,7.1,24.5,35.5,-5.0,17.4,16.6,29.9,21.6,28.2,12.4,,-5.0,7.1,16.6,24.5,29.9,35.5,21.6
12-08,14.8,-2.1,26.1,34.1,13.7,22.3,16.6,24.6,23.1,26.4,14.8,,-2.1,13.7,14.8,24.6,26.4,34.1,22.3
12-09,4.3,2.0,28.0,39.6,31.5,22.3,13.7,19.3,27.2,21.4,17.8,,2.0,4.3,17.8,27.2,31.5,39.6,21.4
12-10,17.3,17.8,30.3,31.4,32.2,23.6,24.8,20.8,20.8,5.6,25.9,,5.6,17.3,20.8,25.9,31.4,32.2,23.6
12-11,22.2,12.0,38.8,15.2,22.6,28.8,24.1,23.3,11.0,19.5,25.4,,11.0,12.0,19.5,24.1,28.8,38.8,22.6
12-12,26.2,20.8,37.0,5.3,20.9,29.8,19.0,28.8,7.0,30.6,16.2,,5.3,7.0,19.0,28.8,30.6,37.0,20.9
12-13,25.7,19.8,27.0,25.3,23.1,29.0,13.6,22.8,14.6,31.8,13.9,,13.6,13.9,19.8,25.7,29.0,31.8,23.1
12-14,24.0,24.7,16.2,17.2,29.5,17.9,24.2,15.3,17.2,29.3,12.3,,12.3,15.3,17.2,24.2,29.3,29.5,17.9
12-15,15.4,32.0,10.7,11.9,39.8,29.8,27.8,3.3,15.4,10.9,7.9,,3.3,7.9,10.9,27.8,32.0,39.8,15.4
12-16,14.1,30.6,22.9,9.8,25.8,25.2,29.8,2.4,19.5,18.0,4.5,,2.4,4.5,14.1,25.2,29.8,30.6,19.5
12-17,25.5,28.8,14.5,14.2,3.0,16.5,29.7,10.1,26.3,8.6,13.0,,3.0,8.6,13.0,25.5,28.8,29.7,14.5
12-18,12.4,34.2,10.8,28.6,1.4,28.5,29.1,22.8,15.4,14.4,11.3,,1.4,10.8,12.4,28.5,29.1,34.2,15.4
12-19,-1.1,26.5,19.3,30.8,24.3,29.3,24.4,15.9,23.2,23.7,18.7,,-1.1,15.9,19.3,24.4,29.3,30.8,23.7
12-20,15.9,15.5,24.8,19.9,35.8,27.1,26.4,21.0,33.2,27.3,23.4,,15.5,15.9,21.0,27.1,33.2,35.8,24.8
12-21,27.3,16.2,30.4,21.5,22.2,9.1,29.0,30.6,33.3,27.0,21.1,,9.1,16.2,21.5,29.0,30.6,33.3,27.0
12-22,26.7,17.7,20.4,20.8,20.8,19.8,12.6,37.6,21.9,29.6,12.9,,12.6,12.9,19.8,21.9,29.6,37.6,20.8
12-23,21.5,27.4,10.8,10.8,21.7,18.9,21.6,31.5,6.3,31.5,25.1,,6.3,10.8,18.9,25.1,31.5,31.5,21.6
12-24,17.6,18.6,26.9,9.0,26.7,20.8,20.2,25.8,16.7,25.2,27.5,,9.0,16.7,18.6,25.8,26.9,27.5,20.8
12-25,8.9,18.9,14.6,4.4,15.4,24.6,23.3,14.8,21.0,22.2,32.4,,4.4,8.9,14.8,22.2,24.6,32.4,18.9
12-26,15.0,26.5,3.8,-6.2,3.5,25.2,11.2,6.0,26.4,14.2,33.4,,-6.2,3.5,6.0,25.2,26.5,33.4,14.2
12-27,7.7,25.0,7.8,3.7,23.0,29.8,4.7,11.9,12.3,13.6,36.0,,3.7,4.7,7.8,23.0,29.8,36.0,12.3
12-28,4.5,22.5,13.0,8.3,19.8,33.4,-3.3,0.5,10.9,4.6,19.0,,-3.3,0.5,4.6,19.0,22.5,33.4,10.9
12-29,11.0,16.6,-4.4,4.6,22.6,38.4,16.1,7.2,8.4,5.9,11.0,,-4.4,4.6,7.2,16.1,22.6,38.4,11.0
12-30,7.2,26.9,-15.0,-1.1,29.5,36.7,17.6,8.8,18.0,17.9,22.2,,-15.0,-1.1,8.8,22.2,29.5,36.7,17.9
12-31,0.2,29.3,-5.3,-6.3,18.4,19.8,-5.7,19.2,19.7,8.2,27.0,,-6.3,-5.7,0.2,19.7,27.0,29.3,18.4
01-01,8.6,21.5,10.4,5.8,17.1,25.6,-6.0,25.3,9.3,-1.1,24.1,,-6.0,-1.1,8.6,21.5,25.3,25.6,10.4
01-02,4.0,25.6,21.3,21.3,14.7,16.6,14.5,17.2,20.7,17.0,14.6,,4.0,14.5,14.7,20.7,21.3,25.6,17.0
