date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-31,35.9,37.0,45.3,36.5,34.4,41.6,43.8,30.1,47.3,40.3,42.1,41.2,29.2,32.6,42.3,42.9,37.4,,29.2,31.6,36.4,42.2,44.4,47.3,40.3
11-01,33.6,37.4,46.5,40.9,37.6,30.6,42.5,34.5,39.5,45.3,35.5,42.6,33.6,34.1,44.4,41.7,39.2,,30.6,33.6,35.3,41.8,44.7,46.5,39.2
11-02,37.9,35.2,38.2,42.2,45.8,24.3,38.7,39.8,28.7,43.5,35.4,41.4,40.4,36.4,46.7,39.7,31.8,,24.3,30.5,36.2,40.6,44.4,46.7,38.7
11-03,39.0,38.4,36.6,44.3,46.6,33.4,38.0,31.5,23.4,34.6,41.6,39.7,33.2,39.8,45.0,39.1,21.3,,21.3,28.3,34.4,39.7,44.6,46.6,38.4
11-04,35.4,41.1,30.2,44.8,45.9,34.2,40.4,22.9,30.5,25.4,41.7,39.5,37.6,38.7,44.3,44.0,23.2,,22.9,24.5,33.5,41.2,44.5,45.9,38.7
11-05,35.6,41.7,18.6,45.5,45.6,20.0,42.3,19.3,37.3,23.1,40.7,36.6,36.2,37.8,45.7,44.2,36.4,,18.6,19.7,36.1,41.8,45.6,45.7,37.3
11-06,41.7,42.4,23.8,43.6,42.0,20.8,43.7,29.8,41.9,23.4,40.5,35.3,32.7,38.0,47.0,45.8,37.3,,20.8,23.6,34.8,42.1,44.5,47.0,40.5
11-07,47.5,44.0,33.3,41.1,40.1,21.4,44.0,37.8,42.5,29.0,41.3,30.4,32.2,38.5,34.1,43.3,39.1,,21.4,29.8,33.9,41.6,44.0,47.5,39.1
11-08,47.5,43.4,36.6,34.9,31.3,19.5,41.4,40.0,41.2,32.8,42.1,35.9,22.8,39.0,21.1,40.3,36.0,,19.5,22.1,34.5,40.5,42.6,47.5,36.6
11-09,36.3,43.4,31.2,36.7,19.1,24.7,31.5,39.1,43.6,35.2,41.7,40.7,28.4,42.1,16.9,36.9,23.0,,16.9,21.4,30.6,39.4,42.6,43.6,36.3
11-10,30.1,42.1,27.8,41.6,23.2,30.0,15.6,39.4,37.1,25.6,42.0,40.3,31.9,41.3,18.7,34.2,16.0,,15.6,17.6,27.4,39.6,41.7,42.1,31.9
11-11,31.7,38.2,29.0,43.3,21.0,32.6,12.3,40.2,37.8,21.4,40.7,35.5,18.1,35.7,25.1,35.5,18.2,,12.3,18.2,24.4,36.2,40.4,43.3,32.6
11-12,23.9,35.4,33.9,38.4,24.8,32.2,23.7,41.2,33.0,26.9,40.1,39.7,19.6,37.6,26.2,38.4,24.7,,19.6,23.8,25.9,37.7,39.9,41.2,33.0
11-13,32.7,40.3,39.7,27.3,24.3,30.9,28.9,39.7,34.9,30.4,39.0,42.6,28.4,40.3,32.8,40.1,20.1,,20.1,26.1,30.1,39.7,40.3,42.6,32.8
11-14,28.5,36.3,32.4,19.6,27.6,30.7,33.3,35.8,33.7,31.8,44.3,39.3,33.4,42.4,26.0,42.8,18.3,,18.3,23.5,30.3,35.9,42.6,44.3,33.3
11-15,31.7,40.2,37.2,17.1,29.7,30.2,35.5,31.2,27.6,30.9,49.4,40.2,35.8,42.0,37.5,46.0,15.4,,15.4,23.4,30.7,38.1,43.6,49.4,35.5
11-16,40.3,40.5,41.8,29.0,31.7,26.9,35.6,30.5,13.9,20.9,41.5,41.4,36.1,36.8,41.7,41.0,19.0,,13.9,20.1,30.2,40.6,41.6,41.8,36.1
11-17,40.0,41.9,43.4,32.9,29.2,33.9,35.5,32.6,22.3,22.4,17.2,32.9,34.0,40.0,43.8,30.7,25.1,,17.2,22.3,30.4,36.4,42.5,43.8,32.9
11-18,36.3,43.4,41.2,33.3,38.4,34.7,33.8,34.7,27.0,30.2,24.2,25.9,26.7,42.6,43.9,36.1,20.3,,20.3,25.2,29.5,36.7,42.9,43.9,34.7
11-19,37.6,45.1,38.9,29.5,37.1,28.8,33.4,34.6,33.0,34.7,38.4,34.6,31.3,41.5,36.9,38.5,21.5,,21.5,29.2,33.4,37.8,40.0,45.1,34.7
11-20,40.6,33.6,37.4,33.7,31.9,30.7,36.7,31.5,32.2,31.0,40.1,39.8,32.4,33.0,35.8,31.7,26.5,,26.5,30.9,31.9,36.0,39.9,40.6,33.0
11-21,41.5,20.1,35.8,28.6,22.3,29.3,38.9,31.0,31.0,28.1,32.3,40.1,34.3,26.5,34.8,30.4,29.4,,20.1,24.8,29.2,34.4,39.4,41.5,31.0
11-22,40.2,24.5,36.9,29.7,16.8,31.7,34.5,27.3,33.1,31.8,26.6,42.3,30.7,24.5,35.3,37.3,29.3,,16.8,24.5,28.9,34.6,38.4,42.3,31.7
11-23,35.2,19.5,33.8,19.8,19.8,36.3,36.8,28.1,19.4,36.0,27.5,45.3,33.0,26.2,30.7,36.0,26.1,,19.4,19.7,26.2,35.4,36.5,45.3,30.7
11-24,30.9,26.9,32.9,26.4,6.2,33.2,38.3,27.1,19.5,34.9,23.6,45.5,27.1,30.7,21.7,21.2,24.0,,6.2,20.5,23.9,31.3,36.3,45.5,27.1
11-25,29.3,32.5,36.6,31.7,8.3,29.7,36.6,27.7,30.6,26.2,29.0,45.0,21.0,24.4,30.6,30.1,33.6,,8.3,23.1,28.7,31.8,36.6,45.0,30.1
11-26,27.5,29.7,33.9,36.0,24.5,29.2,33.1,31.9,36.0,17.8,31.0,47.3,29.0,13.7,17.9,36.1,29.3,,13.7,17.9,28.7,33.3,36.0,47.3,29.7
11-27,25.1,30.9,30.9,35.6,27.3,38.3,34.8,30.0,40.9,15.5,22.5,39.1,36.8,23.5,20.1,36.8,27.6,,15.5,21.5,26.8,35.9,38.6,40.9,30.9
11-28,15.5,19.4,28.4,29.6,16.0,40.2,37.6,28.3,41.7,12.1,19.3,31.2,33.6,28.3,30.3,39.3,28.2,,12.1,15.8,26.5,31.6,39.6,41.7,28.4
11-29,2.3,34.8,31.0,26.7,9.3,35.7,35.2,27.4,38.0,9.8,15.2,35.4,30.4,21.1,29.5,40.6,15.8,,2.3,9.6,20.1,34.9,36.6,40.6,29.5
11-30,18.7,32.5,34.3,29.6,21.1,32.8,36.2,27.4,34.8,15.6,16.2,37.7,25.8,14.3,30.9,38.4,27.4,,14.3,15.9,24.9,33.1,36.8,38.4,29.6
12-01,23.8,25.0,39.6,29.2,32.8,23.0,35.1,31.5,31.9,20.8,19.3,37.6,20.6,23.9,24.2,39.6,31.3,,19.3,20.7,23.9,32.1,38.4,39.6,29.2
12-02,12.1,20.2,36.7,21.3,35.9,22.8,35.5,37.4,34.6,28.2,14.4,38.9,15.6,34.9,17.4,40.2,24.5,,12.1,15.1,21.0,35.6,38.0,40.2,28.2
12-03,21.3,34.8,27.8,10.3,38.0,13.7,31.4,27.7,35.3,33.5,19.1,33.2,8.4,33.5,25.6,37.6,31.3,,8.4,12.4,24.7,33.5,36.2,38.0,31.3
12-04,29.5,41.0,24.9,21.9,35.2,11.9,37.4,2.7,34.9,32.9,31.2,15.6,16.2,32.6,33.1,36.7,34.4,,2.7,14.1,24.3,34.5,37.0,41.0,32.6
12-05,32.3,38.2,26.6,22.5,34.5,7.9,39.9,-1.9,32.2,26.0,27.6,20.8,26.5,28.9,32.8,36.0,30.0,,-1.9,15.7,26.4,32.4,36.9,39.9,28.9
12-06,31.7,33.4,36.6,11.7,32.1,18.3,34.7,6.5,32.7,34.4,23.3,22.7,27.2,29.3,32.1,34.8,24.2,,6.5,15.7,24.0,32.8,34.8,36.6,31.7
12-07,32.4,29.2,35.8,21.1,28.4,28.1,29.1,12.6,32.4,37.0,11.2,23.1,28.3,34.1,33.1,30.7,22.9,,11.2,17.7,27.1,32.4,34.8,37.0,29.1
12-08,31.6,21.7,24.9,9.0,35.5,24.7,29.0,1.5,33.7,37.2,27.5,30.8,26.7,29.8,35.8,29.8,19.2,,1.5,15.1,24.9,30.9,35.6,37.2,29.0
12-09,30.1,17.2,19.2,7.9,35.6,25.4,14.7,4.1,33.1,41.4,35.4,33.4,26.4,22.5,35.0,27.8,23.4,,4.1,12.0,21.9,33.1,35.5,41.4,26.4
