date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-31,26.6,32.0,41.2,32.6,32.0,35.9,39.5,28.4,42.6,37.7,34.1,34.7,24.8,26.7,36.3,36.7,32.4,,24.8,26.6,32.0,36.4,40.2,42.6,34.1
11-01,23.2,31.5,42.8,35.4,32.7,25.5,39.9,29.6,39.5,40.8,32.3,39.9,32.4,22.5,36.5,35.8,37.0,,22.5,24.6,32.2,37.5,40.3,42.8,35.4
11-02,32.6,29.9,36.3,34.3,40.8,16.7,33.8,34.6,28.9,39.8,29.1,39.2,36.4,28.4,38.6,33.6,28.1,,16.7,28.3,29.8,36.3,39.4,40.8,33.8
11-03,34.2,34.3,31.8,37.0,37.5,29.2,31.8,22.3,21.8,34.7,32.6,37.5,28.2,34.6,40.2,31.6,16.8,,16.8,22.1,31.1,34.6,37.5,40.2,32.6
11-04,30.9,38.2,28.4,38.6,38.6,32.9,36.5,14.1,26.4,25.5,36.1,34.7,29.2,32.8,39.2,38.6,19.6,,14.1,23.1,29.1,36.9,38.6,39.2,32.9
11-05,31.2,38.0,16.0,41.4,40.0,17.7,38.3,14.9,33.8,20.3,36.9,30.9,27.0,30.6,40.8,38.2,29.5,,14.9,17.0,29.0,38.1,40.3,41.4,31.2
11-06,39.1,35.9,17.6,38.7,39.8,16.3,36.7,26.3,38.0,18.0,36.0,25.8,21.0,31.3,42.7,42.0,27.7,,16.3,17.8,26.2,38.1,40.7,42.7,35.9
11-07,42.6,37.5,32.7,35.1,36.4,15.8,37.8,32.6,37.4,23.2,35.4,16.5,20.3,30.7,35.0,39.0,36.0,,15.8,18.8,32.2,36.6,38.3,42.6,35.1
11-08,40.9,37.9,33.8,27.8,31.2,13.3,39.0,34.5,34.4,27.9,36.5,25.0,15.3,34.4,19.9,33.1,33.9,,13.3,18.0,27.9,34.4,38.3,40.9,33.8
11-09,28.1,38.4,30.9,30.1,17.9,18.5,30.2,33.3,41.1,30.8,37.9,33.7,20.9,36.4,14.3,33.4,22.4,,14.3,18.2,27.0,33.4,38.1,41.1,30.8
11-10,22.9,38.3,28.9,35.7,16.3,24.6,12.2,32.3,24.5,23.7,37.5,32.4,25.6,35.6,13.6,27.8,10.1,,10.1,13.0,23.5,32.4,36.4,38.3,25.6
11-11,28.1,34.2,27.2,38.3,16.1,27.4,7.4,34.6,17.7,18.8,36.9,26.1,14.2,26.0,14.8,31.0,10.8,,7.4,12.8,17.4,28.6,35.5,38.3,26.1
11-12,19.6,31.7,32.2,34.6,19.7,27.6,19.4,33.3,4.1,17.0,36.4,31.8,10.4,31.2,14.2,34.8,18.4,,4.1,12.7,19.2,31.8,34.7,36.4,27.6
11-13,27.0,37.3,36.9,18.9,21.7,27.5,23.2,34.8,20.5,23.1,35.2,36.7,23.4,34.0,25.5,35.8,14.7,,14.7,19.8,23.1,34.9,36.8,37.3,27.0
11-14,20.8,26.2,26.5,13.7,25.9,27.3,27.3,30.6,26.8,27.8,39.3,33.8,29.1,31.6,15.7,39.1,14.6,,13.7,15.3,26.2,29.4,35.9,39.3,27.3
11-15,22.1,33.5,34.2,15.0,26.1,23.5,25.1,24.4,13.7,28.1,44.0,32.9,28.3,36.4,29.8,42.0,7.6,,7.6,14.5,24.2,33.0,38.6,44.0,28.1
11-16,31.1,36.1,39.6,23.6,26.1,20.1,31.9,22.2,7.2,23.3,37.5,37.3,29.6,31.0,35.2,34.1,16.7,,7.2,18.8,23.5,34.4,37.4,39.6,31.0
11-17,28.8,37.4,39.4,28.0,22.2,28.8,31.9,23.0,15.2,21.5,18.3,25.2,24.7,35.5,40.3,19.0,17.3,,15.2,17.9,22.0,29.4,38.2,40.3,25.2
11-18,26.3,38.7,39.0,29.5,34.6,29.0,31.2,28.7,22.5,26.2,17.6,15.2,17.4,36.1,38.6,29.5,9.5,,9.5,16.5,25.5,31.9,38.6,39.0,29.0
11-19,29.5,40.6,35.5,24.1,33.3,17.3,29.1,30.5,27.7,30.0,34.8,24.6,22.7,35.6,28.0,33.7,14.0,,14.0,20.6,27.1,33.4,35.5,40.6,29.5
11-20,34.8,24.3,31.0,30.0,27.5,24.8,32.7,28.4,27.2,21.7,37.0,34.3,24.9,30.9,21.5,25.3,20.5,,20.5,21.6,24.9,30.9,34.5,37.0,27.5
11-21,36.9,10.8,28.6,22.1,18.6,25.0,35.7,19.4,24.2,17.6,32.1,36.5,28.5,24.9,18.9,22.4,20.6,,10.8,18.2,20.4,28.5,36.0,36.9,24.2
11-22,35.4,15.6,29.3,19.3,13.0,23.6,27.7,19.6,28.3,25.9,24.8,39.3,27.0,21.6,24.5,32.0,21.9,,13.0,17.8,21.8,27.8,33.3,39.3,24.8
11-23,27.9,15.9,25.8,13.1,16.0,33.0,29.2,24.6,16.6,28.4,24.4,40.0,27.4,23.2,26.5,30.2,21.2,,13.1,15.9,22.8,28.0,31.3,40.0,25.8
11-24,19.8,24.4,26.9,21.7,-5.0,31.3,32.4,25.4,15.1,30.0,17.1,37.0,19.9,28.2,15.5,16.4,19.5,,-5.0,15.3,19.0,27.1,31.8,37.0,21.7
11-25,23.1,29.5,29.6,28.5,6.7,23.0,28.8,24.0,29.2,25.9,25.6,35.4,10.7,20.2,20.5,24.2,27.3,,6.7,16.4,23.1,28.6,29.5,35.4,25.6
11-26,22.8,25.7,31.6,30.8,22.3,20.5,22.4,25.1,33.1,5.2,28.9,41.6,20.1,8.7,13.0,32.6,24.7,,5.2,11.2,21.9,29.3,32.8,41.6,24.7
11-27,22.2,24.7,30.2,32.3,23.8,31.1,27.0,27.6,38.0,6.3,21.4,35.3,30.7,17.7,17.5,31.5,20.2,,6.3,17.6,22.0,30.8,33.5,38.0,27.0
11-28,7.8,11.4,27.7,24.7,15.7,33.5,32.9,28.0,37.2,7.1,16.5,27.4,27.9,25.1,24.1,34.1,18.8,,7.1,10.0,18.4,27.9,33.8,37.2,25.1
