date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-30,22.9,30.8,33.1,39.1,30.5,31.0,34.2,35.9,17.7,36.0,29.4,39.4,32.8,22.1,9.6,34.6,35.3,30.4,,9.6,20.8,30.4,34.6,36.9,39.4,31.9
10-31,25.8,25.3,29.4,37.3,33.3,27.7,34.8,35.8,25.0,36.7,34.1,32.5,33.4,23.0,30.2,36.4,35.2,33.3,,23.0,25.2,29.5,34.7,36.5,37.3,33.3
11-01,31.8,21.5,29.4,39.0,33.7,30.4,24.0,35.1,28.1,33.6,37.6,31.0,37.3,29.5,24.4,38.5,33.9,30.4,,21.5,24.3,29.6,33.9,37.9,39.0,31.4
11-02,34.0,31.4,27.5,31.7,34.5,40.4,15.4,32.1,31.1,25.8,35.4,28.1,35.7,33.0,31.5,40.5,31.0,25.8,,15.4,25.8,31.0,33.9,37.1,40.5,31.6
11-03,31.9,31.8,32.7,27.7,37.8,37.6,22.6,31.5,19.5,19.9,29.7,31.9,31.9,24.7,32.7,39.4,31.2,16.0,,16.0,19.8,27.9,31.9,37.7,39.4,31.6
11-04,26.5,28.1,35.2,23.8,37.0,38.3,26.4,35.1,11.2,26.7,21.6,35.2,29.9,27.3,31.4,37.8,37.4,19.9,,11.2,21.1,26.5,35.1,37.5,38.3,29.0
11-05,22.0,28.9,35.1,11.4,36.6,38.3,15.2,38.7,12.9,33.1,17.2,35.4,27.2,23.3,31.4,38.5,36.4,27.3,,11.4,14.5,23.7,35.4,38.4,38.7,30.2
11-06,32.3,35.1,35.3,16.5,36.0,36.0,13.7,36.7,23.2,37.9,16.2,34.9,25.8,17.0,31.0,37.0,36.1,24.1,,13.7,16.4,24.3,36.0,36.8,37.9,33.6
11-07,32.4,40.5,35.4,31.0,31.5,32.1,13.3,36.8,29.2,35.2,25.0,34.4,17.6,16.0,30.4,30.4,35.7,30.5,,13.3,17.1,30.4,34.2,36.0,40.5,31.2
11-08,31.8,39.8,35.6,30.1,26.5,26.1,11.8,34.7,32.4,35.8,23.5,36.0,27.7,14.7,34.8,16.0,31.9,29.7,,11.8,15.6,26.6,34.5,35.9,39.8,31.0
