date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-30,29.6,35.3,37.9,43.9,31.9,34.8,37.0,40.8,26.3,40.7,35.1,44.0,34.9,29.1,10.6,38.9,40.9,33.7,,10.6,28.3,33.8,38.8,41.8,44.0,35.2
10-31,32.5,30.8,34.0,42.5,35.5,34.1,38.8,41.4,31.4,41.4,38.9,35.8,36.8,27.3,26.4,39.8,39.4,35.4,,26.4,29.8,34.0,38.9,41.4,42.5,35.6
11-01,36.8,26.8,34.6,43.2,37.2,35.3,28.5,39.4,32.5,38.5,41.4,35.4,42.1,34.7,27.8,42.1,38.2,35.1,,26.8,28.3,34.7,38.4,42.1,43.2,36.1
11-02,37.6,34.6,32.7,36.6,36.8,43.5,20.8,37.2,33.0,31.6,40.1,33.2,40.3,38.1,30.7,44.8,34.9,29.1,,20.8,30.2,33.0,37.5,41.3,44.8,35.7
11-03,36.4,35.3,36.7,33.4,40.0,41.1,25.2,36.1,24.4,27.0,35.2,36.6,36.8,31.0,37.3,44.9,34.6,20.4,,20.4,24.9,33.5,36.7,40.3,44.9,35.7
11-04,30.7,33.3,39.2,28.7,40.5,40.9,31.2,39.1,18.4,31.2,28.2,40.2,34.9,32.0,36.5,42.9,40.5,21.9,,18.4,26.3,31.2,39.2,40.6,42.9,34.1
11-05,25.6,34.2,39.1,19.0,40.6,42.1,19.8,42.4,19.9,36.4,23.9,40.6,32.3,30.0,35.2,43.5,39.7,29.8,,19.0,19.9,29.9,39.7,42.2,43.5,34.7
11-06,34.6,42.0,38.3,21.1,38.9,40.9,19.8,40.5,28.8,40.0,22.6,39.1,30.8,24.4,36.0,41.0,39.2,26.8,,19.8,22.2,29.0,39.2,40.9,42.0,37.1
11-07,35.5,44.0,39.7,33.0,35.0,37.1,20.9,40.2,32.4,40.7,26.1,38.9,21.8,23.9,35.0,34.0,37.5,35.1,,20.9,23.3,33.1,37.5,40.4,44.0,35.0
11-08,35.3,41.1,39.8,33.9,31.6,31.1,19.2,39.6,36.2,38.2,28.0,40.1,27.6,20.9,38.9,21.1,34.8,34.6,,19.2,21.1,31.1,38.0,39.9,41.1,34.7
11-09,39.6,29.7,39.8,31.2,31.6,19.0,23.8,31.2,36.9,42.5,29.7,41.6,32.4,25.2,40.3,17.8,32.2,23.6,,17.8,22.2,29.7,36.4,40.7,42.5,31.4
11-10,40.7,23.8,39.2,30.7,35.2,19.5,28.0,16.4,36.1,28.5,26.0,42.1,34.0,26.2,39.2,16.0,28.5,14.4,,14.4,16.3,26.0,35.1,39.7,42.1,28.5
