date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-29,28.8,41.4,43.9,50.2,52.3,25.9,45.5,42.6,48.2,31.5,46.9,39.2,50.7,48.2,49.3,27.9,44.4,46.2,39.9,,25.9,28.6,40.5,47.7,50.3,52.3,44.4
10-30,31.5,40.8,43.0,48.9,51.6,35.2,41.4,44.6,48.6,30.9,48.6,40.5,52.5,49.5,39.6,19.8,45.5,48.0,40.3,,19.8,31.4,40.4,48.3,49.9,52.5,43.0
10-31,30.0,39.4,42.4,44.1,50.4,41.5,39.9,46.0,48.0,34.9,52.7,46.0,48.2,48.6,35.2,30.6,46.8,47.8,41.7,,30.0,34.0,40.6,47.4,48.9,52.7,44.1
11-01,26.8,43.0,38.3,43.5,50.7,46.2,43.5,39.9,45.9,39.4,45.7,48.2,41.2,45.9,39.7,38.7,48.0,47.1,44.1,,26.8,38.6,40.4,45.9,48.1,50.7,43.5
11-02,32.2,46.6,41.0,41.2,45.1,47.5,48.2,30.9,45.0,40.8,34.9,47.3,41.5,45.1,45.7,40.3,48.9,46.8,38.7,,30.9,34.3,40.9,46.2,47.6,48.9,45.0
11-03,36.9,46.0,44.1,41.0,42.8,48.2,49.5,35.6,43.9,38.8,31.6,41.5,44.4,45.0,42.1,43.9,49.1,44.2,29.1,,29.1,34.8,41.2,44.3,48.4,49.5,43.9
11-04,38.7,42.3,41.9,45.0,37.4,48.2,49.6,40.5,45.7,28.8,35.6,31.3,45.9,45.3,41.5,44.8,49.3,46.4,28.6,,28.6,30.8,39.4,45.5,48.4,49.6,42.3
11-05,41.5,41.4,39.9,46.8,26.1,49.3,49.3,28.6,48.0,26.8,41.0,28.9,45.9,43.3,43.3,43.5,49.1,47.3,37.2,,26.1,28.2,40.4,46.4,49.1,49.3,43.3
11-06,43.2,44.2,46.0,47.7,30.2,48.0,46.0,27.5,48.4,34.0,44.4,30.4,45.9,41.5,40.1,43.0,52.2,47.7,41.5,,27.5,30.3,41.5,46.0,48.1,52.2,44.2
11-07,40.6,43.5,50.2,48.9,37.4,46.6,45.0,27.9,48.0,39.6,46.9,32.0,45.9,40.3,38.1,43.2,40.5,45.7,44.2,,27.9,36.3,40.4,45.8,48.2,50.2,43.5
11-08,37.4,44.2,51.6,48.4,40.6,41.5,36.9,26.1,45.0,44.1,45.7,36.1,45.9,34.9,31.5,42.6,25.7,44.8,42.1,,25.7,30.4,37.1,44.6,46.4,51.6,42.1
11-09,33.8,45.5,43.2,47.1,36.3,41.0,27.9,27.9,36.7,44.1,45.7,39.6,46.0,42.6,30.9,44.8,22.6,41.0,28.2,,22.6,27.9,34.8,43.7,45.8,47.1,41.0
11-10,37.0,47.1,34.9,46.8,32.9,46.2,27.7,31.8,22.3,43.7,44.4,31.5,45.3,43.5,36.7,45.0,22.3,40.8,21.7,,21.7,22.3,32.3,44.1,46.3,47.1,37.0
11-11,37.0,40.8,35.2,43.0,34.9,48.4,28.4,34.7,18.7,43.9,43.3,29.3,45.0,41.5,27.5,43.3,30.9,41.7,20.7,,18.7,26.1,32.4,42.5,44.1,48.4,37.0
11-12,33.1,40.5,31.1,40.8,40.5,46.0,31.3,37.0,26.6,43.9,41.0,32.2,44.6,41.9,27.5,40.3,31.3,42.8,26.2,,26.2,27.3,31.6,40.9,44.0,46.0,40.3
11-13,34.5,41.0,37.9,45.0,45.5,34.3,31.6,36.3,33.1,44.4,40.5,34.7,44.1,45.1,31.3,44.2,36.5,43.5,25.7,,25.7,31.6,34.6,43.8,45.0,45.5,37.9
11-14,34.9,42.4,36.9,41.7,39.6,27.7,33.8,36.1,36.9,40.3,38.7,35.6,47.1,43.5,36.3,45.5,34.9,45.1,24.8,,24.8,32.6,35.8,41.1,45.2,47.1,36.9
11-15,36.0,30.6,33.8,42.4,39.6,22.8,37.8,37.4,39.2,37.6,36.9,36.0,51.3,42.3,39.0,46.9,40.6,48.6,22.8,,22.8,29.0,36.3,40.2,47.3,51.3,37.8
11-16,38.3,34.2,43.7,45.1,43.5,30.9,38.1,34.0,39.0,36.3,19.4,27.7,46.8,44.6,39.4,41.7,43.5,45.3,24.1,,19.4,27.0,35.0,43.5,45.2,46.8,39.0
11-17,38.7,36.3,44.6,46.8,46.8,35.2,35.2,37.0,40.3,38.7,26.2,28.6,27.0,41.7,38.8,44.1,46.4,35.8,27.3,,26.2,27.2,35.5,41.1,46.5,46.8,38.7
11-18,36.3,36.3,41.5,46.9,45.3,37.2,39.6,38.7,38.7,38.3,30.9,34.7,28.4,30.0,32.7,46.4,48.9,38.3,27.3,,27.3,29.7,35.3,39.2,46.5,48.9,38.3
