date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-10,15.6,37.4,29.2,24.3,42.7,37.5,27.5,38.2,15.2,30.2,16.0,,15.2,15.6,24.3,37.4,38.2,42.7,29.2
11-11,11.1,39.9,29.7,17.6,40.2,31.9,17.2,32.4,18.4,31.8,14.9,,11.1,14.9,17.6,31.9,39.9,40.2,29.7
11-12,20.8,39.6,22.5,22.8,39.1,33.4,16.5,33.8,20.7,36.9,17.3,,16.5,17.3,20.8,33.8,39.1,39.6,22.8
11-13,27.3,37.3,28.6,28.4,37.8,38.8,27.3,36.8,28.3,38.3,20.3,,20.3,27.3,28.3,37.3,38.3,38.8,28.6
11-14,30.0,33.8,30.0,27.7,42.4,37.1,33.8,38.0,19.8,41.2,17.2,,17.2,19.8,30.0,37.1,41.2,42.4,33.8
11-15,31.2,28.3,20.5,26.5,44.4,35.2,35.0,38.5,34.6,44.1,13.5,,13.5,20.5,28.3,35.2,44.1,44.4,34.6
11-16,31.6,23.9,10.9,22.4,39.1,40.6,34.5,34.2,37.6,38.4,19.0,,10.9,19.0,23.9,37.6,39.1,40.6,34.2
11-17,33.0,27.3,18.9,18.8,16.7,29.8,28.8,37.3,36.8,25.9,23.1,,16.7,18.8,23.1,29.8,36.8,37.3,27.3
11-18,32.1,29.4,25.0,27.0,16.1,21.8,26.5,38.9,42.2,30.7,16.6,,16.1,16.6,25.0,30.7,38.9,42.2,27.0
11-19,30.9,30.8,29.2,32.6,27.6,30.0,30.3,37.3,34.8,36.2,20.1,,20.1,27.6,30.0,32.6,36.2,37.3,30.8
11-20,31.9,29.4,28.1,27.5,35.8,37.5,31.8,32.4,32.6,28.6,25.9,,25.9,27.5,28.6,32.4,35.8,37.5,31.8
11-21,35.7,28.4,28.1,23.5,30.5,39.1,31.4,29.0,29.1,28.8,28.6,,23.5,28.1,28.6,30.5,35.7,39.1,29.0
11-22,31.6,24.4,28.9,31.3,23.6,41.6,27.1,25.5,27.3,35.7,28.0,,23.6,24.4,27.1,31.3,35.7,41.6,28.0
11-23,35.5,27.7,17.4,32.4,23.8,43.8,29.9,26.3,27.9,33.3,23.4,,17.4,23.4,26.3,32.4,35.5,43.8,27.9
11-24,35.9,27.0,16.9,29.1,19.6,42.8,21.6,30.2,19.7,18.4,24.8,,16.9,18.4,19.7,29.1,35.9,42.8,24.8
11-25,32.9,27.0,25.5,23.7,19.8,41.9,15.3,22.3,24.4,29.6,33.1,,15.3,19.8,23.7,29.6,33.1,41.9,25.5
11-26,30.3,30.7,32.3,14.5,24.1,42.2,25.8,9.9,15.5,36.1,27.5,,9.9,14.5,24.1,30.7,36.1,42.2,27.5
11-27,31.6,28.0,39.2,15.4,21.9,36.5,33.5,17.9,20.3,35.3,25.1,,15.4,17.9,21.9,33.5,36.5,39.2,28.0
11-28,32.0,26.9,39.7,11.5,18.0,27.7,30.4,27.2,29.8,38.3,24.4,,11.5,18.0,26.9,30.4,38.3,39.7,27.7
11-29,33.4,26.2,38.2,8.2,15.4,32.1,27.9,22.5,26.3,40.5,8.9,,8.2,8.9,22.5,32.1,38.2,40.5,26.3
11-30,33.0,26.9,33.9,11.7,12.1,34.3,24.9,12.9,27.2,38.3,16.6,,11.7,12.1,16.6,33.0,34.3,38.3,26.9
