date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-31,35.0,36.7,43.9,37.6,33.6,39.4,41.5,29.0,42.9,38.7,41.1,38.7,27.7,32.6,40.7,40.5,36.0,,27.7,31.2,35.8,40.5,42.1,43.9,38.7
11-01,31.6,36.4,45.1,40.9,37.6,29.1,41.0,32.6,39.4,44.1,35.1,42.4,31.3,31.5,41.3,39.9,35.6,,29.1,31.4,34.6,40.9,43.1,45.1,37.6
11-02,36.5,34.6,37.2,40.3,45.9,20.5,37.4,35.5,29.5,42.0,32.7,41.0,37.9,34.4,44.0,37.7,31.6,,20.5,30.8,34.6,38.4,42.8,45.9,37.2
11-03,37.3,38.7,34.3,43.5,44.3,26.5,36.8,27.5,22.7,35.2,38.1,39.1,31.0,38.6,43.4,37.1,22.4,,22.4,25.0,33.6,38.6,43.4,44.3,37.1
11-04,34.2,41.4,29.2,41.8,44.7,32.8,40.7,19.1,30.3,25.1,40.3,37.5,34.5,37.2,43.1,41.5,22.9,,19.1,24.2,32.3,40.9,42.3,44.7,37.2
11-05,35.4,40.8,17.3,43.4,44.4,18.7,42.8,18.2,38.1,21.8,38.6,34.9,32.1,37.3,42.7,42.2,34.6,,17.3,18.5,34.1,41.1,43.0,44.4,37.3
11-06,42.8,41.2,23.7,43.8,40.5,20.5,42.2,28.2,41.2,21.4,39.1,33.9,27.8,35.7,43.4,43.1,35.0,,20.5,22.8,32.8,41.4,43.2,43.8,39.1
11-07,47.5,42.4,36.1,41.4,38.6,21.9,41.4,34.8,40.9,24.9,39.1,25.3,27.6,36.1,35.6,43.2,39.1,,21.9,25.2,35.4,41.0,42.8,47.5,38.6
11-08,47.2,42.6,35.7,33.9,31.8,20.1,40.8,38.3,40.1,27.9,39.3,31.6,21.1,38.2,20.6,38.1,36.1,,20.1,20.9,31.8,38.5,41.5,47.2,36.1
11-09,34.6,41.1,29.9,34.4,17.1,21.8,32.3,38.1,44.0,32.6,40.1,35.0,26.7,41.6,17.2,34.4,23.3,,17.1,20.0,29.3,35.6,41.3,44.0,34.4
11-10,27.4,40.9,28.2,38.2,20.8,27.5,15.3,37.1,31.3,24.9,40.7,38.3,29.5,40.6,17.1,31.2,15.9,,15.3,16.6,26.9,37.3,40.7,40.9,29.5
