date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-31,25.4,33.0,45.0,34.3,33.6,38.5,43.7,29.4,46.5,38.9,33.9,33.6,25.1,26.1,38.8,40.2,35.3,,25.1,25.8,33.4,38.8,44.2,46.5,34.3
11-01,24.9,32.2,45.1,36.8,33.3,25.3,41.7,31.6,40.8,42.5,32.9,41.1,32.7,24.6,41.5,38.7,39.9,,24.6,25.1,32.6,40.9,42.0,45.1,36.8
11-02,35.4,30.4,36.0,36.7,39.8,18.4,35.0,38.4,29.0,42.6,31.9,40.8,36.7,30.9,44.9,34.8,27.1,,18.4,28.2,31.7,37.0,41.6,44.9,35.4
11-03,34.3,33.9,32.8,39.2,40.1,31.9,34.8,22.6,23.8,35.3,37.2,38.0,29.2,35.0,45.7,34.7,18.4,,18.4,23.4,32.6,35.7,39.6,45.7,34.7
11-04,31.3,38.7,26.9,43.9,42.2,33.8,37.4,16.3,29.5,25.8,40.4,34.4,30.0,33.1,43.0,42.3,20.2,,16.3,23.6,29.9,39.0,42.6,43.9,33.8
11-05,32.2,38.3,16.2,45.6,43.3,17.7,38.2,17.3,35.5,22.1,40.8,30.9,28.6,33.6,44.7,40.9,29.7,,16.2,17.5,29.4,38.8,43.8,45.6,33.6
11-06,38.6,38.6,16.0,40.4,43.4,19.7,39.7,28.4,42.3,21.0,39.5,25.9,23.8,35.0,46.6,44.6,28.5,,16.0,20.4,27.9,39.8,43.9,46.6,38.6
11-07,43.8,39.3,29.5,35.7,39.1,19.6,41.9,36.3,38.7,26.5,39.1,18.2,22.7,34.4,36.7,37.7,38.0,,18.2,21.5,33.4,38.8,40.3,43.8,36.7
11-08,43.2,40.6,32.1,29.7,30.7,16.2,42.3,36.8,37.5,32.1,41.4,29.4,17.2,37.3,22.2,34.4,35.3,,16.2,20.2,30.5,37.4,41.7,43.2,34.4
11-09,26.9,41.9,33.0,33.3,17.6,22.3,28.2,36.7,42.5,32.7,42.3,36.9,23.7,40.0,16.6,34.3,24.5,,16.6,20.4,26.4,36.7,42.1,42.5,33.0
11-10,23.1,39.8,29.4,38.7,20.6,29.5,15.1,36.4,26.0,23.7,42.3,35.6,26.3,37.0,17.1,28.9,14.2,,14.2,16.3,23.6,35.8,39.1,42.3,28.9
11-11,28.1,33.0,27.1,42.5,19.4,31.9,9.7,38.1,19.2,19.6,41.0,29.1,17.3,29.9,19.1,31.7,12.7,,9.7,15.5,19.4,31.7,39.3,42.5,28.1
11-12,19.0,31.8,32.4,32.9,22.2,27.0,20.1,39.2,6.9,22.0,40.1,35.0,14.7,34.9,17.6,36.2,22.3,,6.9,16.5,21.6,33.3,37.4,40.1,27.0
11-13,26.7,35.4,33.6,17.9,22.8,26.6,26.3,37.8,23.0,27.3,36.8,39.9,25.9,34.9,27.5,37.3,18.2,,17.9,20.9,26.2,35.0,37.5,39.9,27.3
11-14,20.3,26.4,23.0,16.8,26.2,27.3,29.9,33.3,29.2,33.4,41.2,35.0,32.4,36.6,18.0,39.8,15.1,,15.1,17.5,25.5,33.3,37.9,41.2,29.2
11-15,22.1,37.7,29.5,13.7,28.7,23.0,29.7,25.7,14.4,32.0,46.9,37.5,31.4,40.3,30.3,43.9,10.0,,10.0,14.1,25.2,33.1,41.7,46.9,29.7
11-16,31.3,37.5,36.5,24.8,27.6,20.3,34.2,23.5,5.7,24.3,37.2,38.7,32.3,31.3,38.0,33.9,16.8,,5.7,18.9,24.7,34.6,37.7,38.7,31.3
11-17,31.1,37.9,40.0,32.6,24.6,32.3,34.3,25.5,14.2,19.9,19.1,25.2,26.4,35.0,43.0,20.5,18.6,,14.2,18.9,23.8,33.0,38.7,43.0,26.4
11-18,28.0,41.1,41.3,32.5,36.8,29.2,33.2,32.4,21.9,26.4,20.6,17.0,19.8,37.3,39.7,33.4,11.8,,11.8,18.7,25.5,34.1,40.3,41.3,32.4
11-19,34.7,41.9,36.9,25.9,36.2,18.8,32.8,32.7,28.8,30.9,37.4,27.7,25.7,39.9,28.0,34.7,17.1,,17.1,22.9,28.0,35.0,38.4,41.9,32.7
11-20,38.8,22.4,32.0,34.1,27.7,26.8,35.8,31.9,28.3,22.0,39.8,34.4,30.4,31.2,24.6,27.2,22.8,,22.0,22.6,27.1,32.5,37.0,39.8,30.4
11-21,39.5,11.6,27.1,23.2,19.7,27.3,37.4,22.2,28.6,18.5,33.4,37.4,34.7,24.6,23.3,24.9,24.9,,11.6,19.2,23.3,29.6,37.4,39.5,24.9
11-22,37.8,19.4,32.2,21.3,16.3,27.9,28.2,19.5,28.9,27.2,26.4,39.9,29.9,23.5,27.6,36.1,27.3,,16.3,19.5,25.8,29.1,36.8,39.9,27.6
11-23,25.7,18.4,26.4,14.4,16.3,35.6,33.2,23.3,18.9,33.9,26.4,42.4,29.2,26.1,27.4,32.5,22.9,,14.4,17.6,23.2,29.9,34.6,42.4,26.4
11-24,21.1,22.9,31.6,20.7,-5.4,33.9,35.6,25.7,16.4,32.6,20.5,38.5,21.6,29.5,18.4,18.8,20.8,,-5.4,17.6,20.6,29.9,34.6,38.5,21.6
11-25,23.9,28.3,34.1,28.1,2.7,22.8,30.6,25.4,27.3,26.8,29.3,38.0,14.6,21.6,25.4,26.0,32.2,,2.7,18.8,25.1,28.5,32.9,38.0,26.8
11-26,25.0,25.8,35.6,35.0,22.0,19.4,25.9,28.7,32.4,7.8,31.2,45.6,21.5,9.2,15.0,34.0,25.8,,7.8,12.7,21.9,31.5,35.2,45.6,25.8
11-27,21.8,23.5,30.9,35.0,25.3,32.0,32.7,32.6,37.8,5.9,23.5,36.2,32.7,19.2,18.5,32.8,23.0,,5.9,18.9,23.4,32.7,35.4,37.8,30.9
11-28,7.6,12.1,26.5,27.8,16.5,34.0,36.7,31.8,39.2,9.0,19.0,27.7,30.5,24.6,25.7,36.3,20.2,,7.6,10.9,20.0,30.7,36.5,39.2,26.5
11-29,-2.4,22.8,28.6,22.5,8.7,30.2,35.4,29.0,37.0,6.8,14.8,29.1,27.0,23.9,22.7,37.9,8.9,,-2.4,8.0,21.0,29.0,36.0,37.9,23.9
11-30,12.2,27.2,31.2,28.0,15.7,27.5,35.7,26.9,29.8,9.6,13.3,31.7,25.2,12.6,28.5,32.7,26.1,,9.6,12.5,23.3,28.7,32.1,35.7,27.2
12-01,13.1,20.5,32.8,24.7,29.7,18.3,35.8,31.7,29.7,13.7,16.6,31.6,17.8,21.6,16.4,36.9,29.2,,13.1,15.3,18.2,30.1,34.0,36.9,24.7
12-02,4.3,17.3,31.1,11.9,34.0,19.0,34.4,32.1,32.9,24.3,9.6,35.2,13.7,31.6,13.5,39.4,13.0,,4.3,11.0,13.6,32.3,34.7,39.4,24.3
12-03,13.9,34.3,24.0,2.0,31.8,10.6,19.5,14.4,32.3,32.3,15.9,29.6,10.0,29.3,22.8,35.7,24.3,,2.0,10.4,15.6,30.0,33.1,35.7,24.0
12-04,24.7,37.7,19.6,16.7,32.1,9.0,31.8,-3.4,32.7,29.8,25.2,12.3,7.2,31.8,29.3,36.2,32.7,,-3.4,8.3,19.0,31.9,34.1,37.7,29.3
12-05,27.3,30.5,19.8,12.3,30.5,-0.4,34.8,-8.5,32.1,21.5,10.3,13.8,22.9,28.9,30.2,32.8,21.5,,-8.5,6.0,18.6,30.2,32.4,34.8,22.9
12-06,24.5,27.3,32.7,2.1,28.9,12.7,30.2,-2.6,32.3,31.5,9.1,11.7,23.8,27.9,29.5,28.2,14.6,,-2.6,6.3,14.2,29.0,31.8,32.7,27.3
12-07,28.7,26.4,32.3,8.1,25.9,22.4,23.2,7.5,30.4,34.6,2.0,17.1,25.8,32.1,29.8,28.8,17.6,,2.0,7.9,21.4,29.0,32.2,34.6,25.9
12-08,33.1,18.2,21.3,0.9,30.9,21.4,16.9,-0.0,32.2,34.7,15.5,24.4,23.2,28.4,32.0,29.1,17.0,,-0.0,9.6,17.9,29.5,32.6,34.7,23.2
12-09,29.3,15.9,14.4,-0.8,32.0,20.2,6.0,-2.3,33.5,37.8,30.5,26.6,20.0,20.7,33.8,23.9,19.5,,-2.3,3.3,18.8,29.6,33.6,37.8,20.7
12-10,25.7,14.2,26.5,6.6,27.1,23.1,17.8,14.5,34.6,32.3,30.4,28.3,28.8,20.1,26.4,9.4,26.8,,6.6,12.3,19.6,27.3,31.2,34.6,26.4
12-11,19.9,8.2,26.1,17.9,24.6,25.3,23.1,16.5,38.2,19.4,22.4,34.1,22.6,26.1,15.7,17.3,27.9,,8.2,16.2,19.1,25.4,30.4,38.2,22.6
12-12,25.8,11.9,29.2,24.5,33.7,21.9,26.6,24.4,38.4,14.7,19.5,34.6,19.3,29.4,10.9,29.5,18.5,,10.9,13.6,19.5,29.3,34.1,38.4,24.5
12-13,30.6,11.9,16.0,23.7,35.2,21.5,27.0,19.1,28.0,26.1,21.0,29.6,15.0,25.1,16.9,31.9,16.3,,11.9,15.6,18.6,27.2,31.1,35.2,23.7
12-14,33.9,6.4,5.5,17.8,34.0,17.2,27.5,21.6,20.1,19.2,29.1,22.9,28.7,19.7,18.5,31.3,14.4,,5.5,11.2,18.3,27.7,32.3,34.0,20.1
12-15,30.9,12.4,8.2,22.8,15.3,15.8,21.4,28.0,17.8,13.8,36.7,31.2,30.5,8.8,15.1,12.2,11.8,,8.2,10.6,13.5,23.8,31.0,36.7,15.8
12-16,13.1,23.1,9.3,31.3,5.5,17.1,18.7,29.1,25.7,12.9,25.9,25.8,33.3,6.5,21.6,18.9,7.5,,5.5,7.1,13.0,25.8,30.0,33.3,18.9
12-17,10.2,23.2,8.5,26.1,13.4,26.6,24.3,31.7,22.5,14.1,3.4,18.1,31.8,13.3,26.6,13.4,12.1,,3.4,9.5,13.4,24.6,28.7,31.8,18.1
12-18,7.2,23.7,15.8,19.5,28.5,28.9,14.4,35.0,20.6,28.4,0.3,27.2,30.0,25.0,19.1,16.7,16.9,,0.3,11.5,16.8,27.5,29.4,35.0,20.6
12-19,14.4,25.3,11.3,23.1,32.2,19.7,2.0,26.9,24.8,30.6,20.2,30.8,24.8,20.6,19.9,26.6,17.4,,2.0,13.2,19.9,25.5,30.6,32.2,23.1
12-20,14.2,23.9,5.4,32.4,22.3,20.2,18.3,14.9,27.7,23.9,32.5,27.7,29.0,25.3,30.1,28.6,23.3,,5.4,14.6,21.9,27.9,31.0,32.5,23.9
12-21,19.7,8.6,19.9,27.3,24.5,16.2,27.1,18.0,30.7,23.8,23.5,12.3,29.6,34.4,35.3,27.7,22.6,,8.6,14.6,19.8,27.4,32.2,35.3,23.8
12-22,20.5,8.5,19.1,24.4,26.2,9.3,28.1,20.5,23.5,22.6,22.3,18.3,14.1,37.3,23.2,30.9,10.3,,8.5,9.9,18.9,23.7,29.2,37.3,22.3
12-23,19.0,18.7,8.1,15.7,26.4,14.8,24.6,27.6,13.7,13.6,24.5,19.6,24.2,32.1,8.9,31.5,24.0,,8.1,11.7,15.6,24.5,29.1,32.1,19.6
12-24,16.5,23.4,11.5,7.1,21.3,21.1,19.8,20.3,25.7,11.3,28.1,18.2,24.7,28.4,19.0,26.4,27.6,,7.1,11.4,18.9,24.9,27.8,28.4,21.1
12-25,29.3,6.5,19.6,10.3,28.2,29.8,13.7,18.1,17.0,9.8,13.6,26.2,24.7,20.5,27.6,24.5,31.5,,6.5,10.1,16.4,26.4,29.5,31.5,20.5
12-26,33.1,7.2,4.9,10.6,25.0,24.4,16.7,24.5,8.5,2.0,6.8,23.6,14.3,14.5,27.5,15.7,35.5,,2.0,6.1,10.2,24.4,29.8,35.5,15.7
12-27,27.5,0.2,9.3,15.9,17.3,23.5,12.6,28.8,8.2,8.5,22.3,27.4,8.8,13.6,17.8,14.9,33.5,,0.2,8.4,12.0,22.6,28.1,33.5,15.9
12-28,22.0,6.2,26.3,15.9,20.1,32.7,8.9,24.5,14.2,12.9,18.6,30.9,2.5,5.0,15.0,8.7,20.9,,2.5,5.7,12.1,21.1,28.1,32.7,15.9
12-29,17.5,13.7,31.4,18.1,21.1,32.3,13.2,15.7,5.0,7.2,23.7,36.1,13.7,11.0,11.0,12.7,15.8,,5.0,9.5,13.1,18.7,31.7,36.1,15.7
12-30,22.0,14.6,25.4,16.2,4.6,36.9,11.6,24.7,-6.3,4.9,28.0,35.4,17.7,13.5,16.8,20.5,25.0,,-6.3,4.8,14.4,24.8,31.0,36.9,17.7
12-31,25.0,3.0,27.0,16.5,-5.8,15.1,4.8,29.6,2.8,0.0,17.9,23.2,3.3,18.7,21.6,12.0,28.8,,-5.8,1.7,4.5,22.0,27.8,29.6,16.5
01-01,19.1,12.2,28.0,28.5,-0.2,25.9,9.6,22.9,14.1,7.0,21.4,24.7,-0.0,25.2,16.0,-0.8,26.1,,-0.8,-0.1,11.7,24.8,26.9,28.5,19.1
01-02,24.1,28.9,28.9,22.0,16.1,34.5,8.3,26.2,19.9,20.2,15.6,21.2,14.2,19.5,20.4,17.5,20.0,,8.3,15.0,19.1,22.5,28.9,34.5,20.2
01-03,33.1,30.7,2.9,17.4,12.8,32.2,14.5,29.3,18.3,28.8,18.0,28.7,24.9,23.7,24.0,26.1,17.3,,2.9,13.8,17.9,28.7,31.3,33.1,24.0
01-04,22.4,29.3,-1.1,24.3,10.6,31.8,19.6,11.9,25.5,29.8,24.5,30.4,30.6,27.5,27.2,24.4,18.0,,-1.1,11.4,21.8,27.8,30.5,31.8,24.5
01-05,8.5,19.4,14.5,29.3,17.7,34.0,22.1,6.4,32.9,27.2,3.2,32.5,31.6,19.8,19.2,27.7,26.2,,3.2,7.7,18.9,28.0,32.6,34.0,22.1
01-06,10.3,15.5,20.4,26.3,22.4,27.7,26.7,17.3,34.0,26.8,1.6,30.8,22.9,21.5,23.8,31.8,25.9,,1.6,13.4,21.3,26.7,31.2,34.0,23.8
01-07,13.1,8.8,28.9,11.7,26.5,18.8,23.2,25.5,35.5,23.9,20.0,25.9,23.8,29.1,21.3,32.6,23.5,,8.8,12.5,21.0,26.1,30.5,35.5,23.8
01-08,25.0,16.4,30.9,20.3,24.3,16.6,23.8,24.4,33.2,19.3,33.2,34.2,28.7,23.6,18.7,18.2,26.2,,16.4,17.5,20.1,26.7,33.2,34.2,24.3
01-09,29.3,15.5,16.5,27.5,4.9,25.4,30.0,19.4,29.6,14.2,29.5,34.6,32.4,17.0,13.8,16.1,27.9,,4.9,14.1,16.4,29.4,31.0,34.6,25.4
01-10,31.0,17.2,16.3,25.5,0.1,26.4,25.3,23.0,31.8,11.6,25.2,26.1,29.2,12.0,13.4,26.1,30.0,,0.1,11.8,17.1,26.2,30.4,31.8,25.3
01-11,16.2,20.1,23.2,29.2,8.2,11.1,5.1,31.1,29.4,13.4,24.7,24.8,21.1,19.9,19.6,23.8,20.2,,5.1,9.9,18.9,24.0,29.3,31.1,20.2
01-12,2.5,18.0,25.1,33.7,24.9,12.4,-3.8,18.4,28.6,19.6,20.5,25.6,16.7,15.2,28.6,29.2,23.8,,-3.8,8.5,17.8,25.2,28.8,33.7,20.5
01-13,-4.9,17.3,23.6,28.1,29.2,22.3,-10.7,23.9,23.0,27.1,23.0,24.8,15.8,18.7,30.7,34.0,34.3,,-10.7,7.5,21.6,27.3,32.0,34.3,23.6
01-14,-6.3,19.6,22.7,22.7,28.3,31.5,-7.2,22.5,19.7,18.6,20.5,26.9,17.2,18.2,19.0,22.8,30.3,,-7.2,7.8,18.9,22.7,29.1,31.5,20.5
01-15,2.5,11.5,23.0,24.8,28.4,32.3,10.8,22.1,27.2,18.7,17.3,24.8,26.2,16.7,26.9,26.7,24.9,,2.5,11.2,18.4,26.3,27.7,32.3,24.8
01-16,13.9,-4.7,26.8,32.6,32.8,9.9,17.8,22.0,30.3,22.1,13.0,24.1,27.2,28.4,26.7,29.4,21.6,,-4.7,11.8,20.9,27.5,31.2,32.8,24.1
01-17,11.9,5.6,27.1,30.2,30.7,7.2,23.0,23.9,25.6,24.7,20.5,28.4,28.8,16.6,30.3,29.5,19.4,,5.6,10.1,20.3,28.5,30.3,30.7,24.7
01-18,8.9,10.0,29.7,26.8,25.3,24.4,23.6,25.7,34.9,27.6,27.9,36.7,19.5,16.6,18.7,25.3,13.7,,8.9,12.2,19.3,27.0,31.8,36.7,25.3
01-19,19.1,16.6,33.3,23.7,19.4,31.8,23.6,28.8,29.7,22.5,25.6,32.8,24.5,21.9,16.4,18.6,14.1,,14.1,16.5,19.3,26.3,32.2,33.3,23.6
