date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-10,14.9,36.5,30.2,24.7,40.2,38.2,29.4,40.6,16.2,30.4,15.4,,14.9,15.4,24.7,36.5,40.2,40.6,30.2
11-11,10.8,39.0,32.5,19.0,38.2,32.7,16.7,32.4,20.5,32.7,17.4,,10.8,16.7,19.0,32.7,38.2,39.0,32.4
11-12,22.0,38.5,25.9,23.0,38.8,35.0,16.5,35.2,21.8,37.1,19.6,,16.5,19.6,22.0,35.2,38.5,38.8,25.9
11-13,28.3,38.0,31.5,26.4,38.3,40.0,26.7,37.6,30.7,39.0,19.4,,19.4,26.4,28.3,38.0,39.0,40.0,31.5
11-14,32.0,34.3,30.0,28.8,44.5,37.5,32.4,39.6,20.5,42.1,17.5,,17.5,20.5,30.0,37.5,42.1,44.5,32.4
11-15,32.4,28.5,22.3,27.9,48.1,37.0,34.5,40.3,34.6,44.7,12.7,,12.7,22.3,28.5,37.0,44.7,48.1,34.5
11-16,33.6,25.6,14.7,22.2,39.3,40.8,35.7,35.4,39.0,38.1,20.1,,14.7,20.1,25.6,38.1,39.3,40.8,35.4
11-17,34.2,29.5,21.6,20.5,15.9,30.1,31.8,39.0,40.2,26.3,24.1,,15.9,20.5,24.1,31.8,39.0,40.2,29.5
11-18,32.8,30.6,26.6,28.5,16.3,22.0,24.4,40.5,43.3,31.9,17.3,,16.3,17.3,24.4,31.9,40.5,43.3,28.5
11-19,31.0,32.0,30.6,33.6,30.7,33.0,29.8,40.6,35.2,36.1,18.9,,18.9,29.8,30.7,33.6,36.1,40.6,32.0
11-20,32.5,29.8,30.1,28.2,37.5,38.5,29.5,32.2,31.9,28.5,26.4,,26.4,28.2,29.5,32.2,37.5,38.5,30.1
11-21,36.4,29.0,28.6,25.2,30.5,38.9,30.9,27.1,30.0,27.4,28.3,,25.2,27.1,28.3,30.5,36.4,38.9,29.0
11-22,32.2,24.5,30.7,31.1,25.2,41.2,28.5,24.1,28.5,35.4,27.7,,24.1,24.5,27.7,31.1,35.4,41.2,28.5
11-23,34.5,26.7,17.1,33.1,25.2,43.9,30.6,23.3,28.6,34.7,24.4,,17.1,23.3,25.2,33.1,34.7,43.9,28.6
11-24,37.6,26.5,17.2,31.2,19.6,43.5,22.0,30.0,19.5,18.1,22.9,,17.2,18.1,19.6,30.0,37.6,43.5,22.9
11-25,34.6,28.3,28.8,24.6,25.1,43.3,14.9,22.9,27.0,27.5,32.5,,14.9,22.9,25.1,28.8,34.6,43.3,27.5
11-26,31.9,29.5,34.0,15.1,26.1,44.7,26.3,10.8,14.9,34.9,28.2,,10.8,14.9,26.1,31.9,34.9,44.7,28.2
11-27,32.9,29.4,39.8,14.0,21.4,37.6,35.4,17.6,18.9,34.9,26.4,,14.0,17.6,21.4,34.9,37.6,39.8,29.4
11-28,34.2,26.5,40.2,10.3,17.4,28.5,31.5,27.3,30.1,37.1,25.7,,10.3,17.4,26.5,31.5,37.1,40.2,28.5
11-29,34.3,25.0,37.2,7.9,14.2,32.7,28.2,21.7,25.0,39.3,9.3,,7.9,9.3,21.7,32.7,37.2,39.3,25.0
11-30,34.0,27.0,33.9,12.2,13.6,35.7,24.4,12.7,27.3,38.4,20.4,,12.2,12.7,20.4,33.9,35.7,38.4,27.0
12-01,34.3,30.7,30.3,20.1,16.7,34.9,18.7,19.7,19.8,39.6,28.5,,16.7,18.7,19.8,30.7,34.9,39.6,28.5
12-02,32.8,35.4,33.0,27.7,10.5,35.8,14.8,32.2,11.5,38.8,20.7,,10.5,11.5,20.7,33.0,35.8,38.8,32.2
12-03,26.7,24.6,32.1,30.6,17.8,30.3,7.1,31.3,23.8,36.1,26.8,,7.1,17.8,24.6,30.6,32.1,36.1,26.8
12-04,35.2,0.2,33.6,31.0,30.5,12.8,9.4,31.2,31.1,35.8,32.4,,0.2,9.4,30.5,32.4,35.2,35.8,31.1
12-05,37.9,-4.8,30.6,22.3,21.6,18.6,20.3,27.4,29.2,34.5,28.3,,-4.8,18.6,21.6,29.2,34.5,37.9,27.4
12-06,32.3,2.4,31.6,30.0,17.5,21.1,24.7,25.6,28.1,31.6,17.8,,2.4,17.5,21.1,30.0,31.6,32.3,25.6
12-07,26.7,8.7,29.6,35.7,6.0,24.5,25.6,30.5,29.0,28.0,20.5,,6.0,8.7,24.5,29.0,30.5,35.7,26.7
12-08,24.4,-0.0,30.1,35.6,21.4,32.7,26.7,27.8,32.7,27.9,17.2,,-0.0,17.2,24.4,30.1,32.7,35.6,27.8
12-09,10.2,4.1,31.0,40.6,33.3,30.7,24.1,21.3,32.1,26.5,19.4,,4.1,10.2,21.3,31.0,33.3,40.6,26.5
12-10,20.0,19.0,31.6,37.6,35.5,31.2,26.7,24.1,28.1,7.3,22.6,,7.3,19.0,22.6,31.2,35.5,37.6,26.7
12-11,23.3,19.4,31.3,22.9,28.3,35.1,28.2,25.0,17.3,14.5,23.5,,14.5,17.3,22.9,28.2,31.3,35.1,23.5
12-12,26.4,27.1,32.1,16.6,27.2,35.2,21.6,30.5,13.8,23.8,15.1,,13.8,15.1,21.6,27.2,32.1,35.2,26.4
12-13,25.3,22.1,25.3,27.6,28.2,34.8,20.5,28.8,14.5,26.2,13.4,,13.4,14.5,22.1,27.6,28.8,34.8,25.3
12-14,25.7,24.9,15.6,16.0,35.9,26.8,28.5,22.4,16.0,28.8,14.5,,14.5,15.6,16.0,26.8,28.8,35.9,24.9
12-15,19.9,32.8,17.6,12.8,37.6,35.5,32.6,11.3,16.1,13.5,12.3,,11.3,12.3,13.5,32.6,35.5,37.6,17.6
12-16,18.5,32.7,21.7,11.8,27.7,27.3,30.6,8.5,22.2,19.3,9.6,,8.5,9.6,18.5,27.3,30.6,32.7,21.7
12-17,26.1,35.7,21.7,16.9,4.5,20.8,30.3,18.0,22.6,13.8,18.7,,4.5,13.8,18.0,22.6,30.3,35.7,20.8
12-18,20.9,35.5,19.8,27.3,6.2,29.7,28.8,21.4,18.7,20.2,19.1,,6.2,18.7,19.8,27.3,29.7,35.5,20.9
12-19,5.1,27.1,23.7,26.7,22.3,32.5,29.1,20.1,23.2,28.3,20.7,,5.1,20.1,22.3,27.1,29.1,32.5,23.7
12-20,15.9,17.8,27.6,21.9,31.9,29.8,33.1,27.0,30.0,30.4,25.8,,15.9,17.8,25.8,30.0,31.9,33.1,27.6
12-21,22.7,18.8,31.3,24.9,28.3,12.8,32.5,32.7,33.4,29.9,24.9,,12.8,18.8,24.9,31.3,32.7,33.4,28.3
12-22,27.7,19.6,25.2,21.9,26.1,24.0,19.4,31.9,25.1,34.7,22.2,,19.4,19.6,22.2,26.1,31.9,34.7,25.1
12-23,25.3,27.0,17.2,12.8,23.4,25.3,27.4,27.9,12.9,33.0,26.2,,12.8,12.9,23.4,27.0,27.9,33.0,25.3
12-24,17.8,24.5,26.7,10.0,25.8,27.5,25.9,23.7,24.6,27.5,30.1,,10.0,17.8,24.5,26.7,27.5,30.1,25.8
12-25,11.2,28.2,14.9,8.3,12.8,29.4,23.2,20.4,28.0,24.3,32.2,,8.3,11.2,14.9,28.0,29.4,32.2,23.2
12-26,14.8,31.9,9.5,7.2,7.4,30.1,17.8,12.9,29.7,17.7,37.9,,7.2,7.4,12.9,29.7,31.9,37.9,17.7
12-27,12.9,32.5,9.3,10.0,24.9,33.6,11.1,18.0,19.5,17.5,32.9,,9.3,10.0,12.9,24.9,32.9,33.6,18.0
12-28,8.6,27.5,18.3,11.5,26.8,34.6,5.1,7.0,18.6,13.9,22.2,,5.1,7.0,11.5,22.2,27.5,34.6,18.3
12-29,10.5,21.3,9.2,10.6,27.0,40.2,19.3,12.7,16.3,14.8,17.1,,9.2,10.5,12.7,19.3,27.0,40.2,16.3
12-30,13.0,28.0,5.2,10.6,29.0,40.8,23.7,17.2,22.0,21.7,26.9,,5.2,10.6,17.2,26.9,29.0,40.8,22.0
12-31,7.0,31.9,9.9,2.6,23.4,32.2,6.4,20.0,21.7,16.2,32.2,,2.6,6.4,9.9,23.4,32.2,32.2,20.0
01-01,12.6,27.5,15.4,8.1,23.5,31.4,2.9,26.8,17.5,4.9,29.7,,2.9,4.9,12.6,26.8,29.7,31.4,17.5
01-02,16.9,32.0,19.9,21.0,22.5,28.6,21.4,18.4,24.3,20.2,19.3,,16.9,18.4,19.9,22.5,28.6,32.0,21.0
01-03,13.5,33.3,22.6,27.6,21.7,31.6,30.9,25.6,24.7,25.9,16.7,,13.5,16.7,22.6,27.6,31.6,33.3,25.6
01-04,25.3,15.0,27.0,24.8,27.6,33.9,32.9,30.2,28.1,26.8,19.6,,15.0,19.6,25.3,28.1,32.9,33.9,27.0
01-05,26.5,11.2,33.7,23.5,16.2,34.0,28.3,24.1,21.9,29.4,21.6,,11.2,16.2,21.9,28.3,33.7,34.0,24.1
01-06,20.2,27.6,36.7,24.3,5.2,31.5,23.0,21.0,26.9,33.1,23.9,,5.2,20.2,23.0,27.6,33.1,36.7,24.3
01-07,24.3,30.6,36.7,18.6,18.6,27.4,24.7,26.1,24.1,34.7,19.9,,18.6,18.6,24.1,27.4,34.7,36.7,24.7
01-08,25.1,24.9,36.0,16.9,34.4,30.1,25.9,23.7,22.0,21.3,24.4,,16.9,21.3,23.7,25.9,34.4,36.0,24.9
01-09,26.7,22.1,31.0,14.2,32.0,32.4,28.6,17.7,17.8,17.7,26.7,,14.2,17.7,17.8,28.6,32.0,32.4,26.7
01-10,22.5,24.7,31.7,12.7,27.7,27.5,28.2,13.2,15.4,25.4,29.2,,12.7,13.2,22.5,27.7,29.2,31.7,25.4
01-11,2.4,33.0,29.2,21.0,26.7,24.3,20.5,20.7,19.5,29.6,19.2,,2.4,19.2,20.5,26.7,29.6,33.0,21.0
01-12,-1.7,18.7,25.4,25.4,23.5,28.0,16.2,16.2,29.2,33.2,24.3,,-1.7,16.2,18.7,25.4,29.2,33.2,24.3
01-13,-8.7,22.8,23.1,28.3,24.2,29.4,15.3,19.9,35.0,37.2,30.1,,-8.7,15.3,22.8,29.4,35.0,37.2,24.2
01-14,-5.9,27.7,22.0,19.1,23.4,31.4,18.6,23.5,25.6,26.1,26.8,,-5.9,18.6,22.0,26.1,27.7,31.4,23.5
01-15,16.6,31.5,28.5,19.2,26.1,31.6,24.8,21.6,34.4,30.4,23.7,,16.6,19.2,23.7,30.4,31.6,34.4,26.1
01-16,29.1,30.7,33.6,22.4,19.0,27.8,26.9,27.0,28.9,31.8,21.5,,19.0,21.5,26.9,29.1,31.8,33.6,27.8
01-17,25.2,32.8,29.4,26.0,19.6,30.0,29.2,16.0,31.1,31.0,17.8,,16.0,17.8,25.2,30.0,31.1,32.8,29.2
01-18,25.2,30.0,34.7,27.6,26.4,36.3,19.5,20.4,21.8,28.3,13.9,,13.9,19.5,21.8,28.3,34.7,36.3,26.4
01-19,28.0,32.7,33.1,24.0,22.6,36.8,26.4,24.0,16.8,22.6,13.1,,13.1,16.8,22.6,28.0,33.1,36.8,24.0
01-20,28.1,29.5,24.5,20.4,21.1,22.4,32.4,27.1,25.3,24.6,13.0,,13.0,20.4,22.4,27.1,29.5,32.4,24.6
01-21,30.8,29.6,17.1,25.2,19.3,11.2,21.4,27.4,27.5,22.0,18.1,,11.2,17.1,19.3,27.4,29.6,30.8,22.0
01-22,36.4,26.6,19.4,31.5,17.9,18.1,12.5,27.0,26.5,19.5,13.8,,12.5,13.8,18.1,26.6,31.5,36.4,19.5
01-23,36.1,17.8,24.3,32.4,21.0,20.5,20.7,25.9,19.0,28.1,16.6,,16.6,17.8,20.5,25.9,32.4,36.1,21.0
01-24,33.1,26.8,29.5,20.7,12.4,26.1,20.2,27.9,15.6,27.9,15.3,,12.4,15.3,20.2,27.9,29.5,33.1,26.1
01-25,31.8,31.5,39.4,14.8,8.4,26.0,21.4,27.9,15.2,18.4,13.2,,8.4,13.2,15.2,27.9,31.8,39.4,21.4
01-26,28.6,30.4,37.5,22.3,7.0,15.0,26.3,32.8,12.7,18.9,16.2,,7.0,12.7,16.2,28.6,32.8,37.5,22.3
01-27,26.9,27.7,33.0,30.6,13.2,21.7,31.3,23.0,12.7,15.8,24.9,,12.7,13.2,21.7,27.7,31.3,33.0,24.9
01-28,11.3,25.4,30.7,33.7,26.8,28.9,23.5,24.3,22.2,22.3,19.5,,11.3,19.5,22.3,26.8,30.7,33.7,24.3
01-29,10.2,33.2,28.6,33.7,31.1,35.2,23.7,21.4,21.9,27.8,20.5,,10.2,20.5,21.9,31.1,33.7,35.2,27.8
01-30,20.7,25.6,28.9,26.9,33.1,39.7,25.4,22.6,18.1,28.8,12.3,,12.3,18.1,22.6,28.8,33.1,39.7,25.6
01-31,22.5,16.6,28.0,14.1,35.4,36.3,28.0,30.9,21.1,28.4,11.1,,11.1,14.1,21.1,28.4,35.4,36.3,28.0
02-01,25.1,9.4,28.0,11.2,36.6,34.2,27.9,38.1,29.0,10.9,20.2,,9.4,10.9,20.2,29.0,36.6,38.1,27.9
02-02,28.1,9.4,33.8,4.8,29.7,34.3,29.2,38.8,34.9,4.1,24.8,,4.1,4.8,24.8,33.8,34.9,38.8,29.2
02-03,29.1,15.9,34.7,8.3,29.8,33.7,26.9,9.0,27.4,7.6,28.8,,7.6,8.3,15.9,29.1,33.7,34.7,27.4
02-04,27.6,10.8,36.2,15.3,31.2,33.2,25.7,2.3,15.6,19.2,29.2,,2.3,10.8,15.6,29.2,33.2,36.2,25.7
02-05,33.4,11.5,37.5,20.0,31.9,32.1,21.1,12.0,20.9,24.8,25.9,,11.5,12.0,20.9,31.9,33.4,37.5,24.8
02-06,25.3,19.5,39.3,26.8,30.8,22.7,8.5,26.2,25.8,22.6,17.6,,8.5,17.6,22.6,26.2,30.8,39.3,25.3
02-07,21.2,22.2,39.6,30.0,32.9,28.8,5.1,29.8,30.3,29.2,21.2,,5.1,21.2,22.2,30.0,32.9,39.6,29.2
02-08,20.1,29.2,36.9,37.6,36.1,36.0,13.2,30.1,32.0,31.9,23.7,,13.2,20.1,29.2,36.0,36.9,37.6,31.9
02-09,12.6,31.7,37.5,37.4,42.3,36.2,16.6,16.9,29.6,29.2,15.2,,12.6,15.2,16.9,36.2,37.5,42.3,29.6
02-10,10.9,27.1,29.2,37.1,39.1,21.6,17.5,14.8,27.3,34.0,26.4,,10.9,14.8,21.6,29.2,37.1,39.1,27.1
02-11,7.6,22.3,26.7,38.5,29.7,18.0,11.1,17.1,29.6,32.0,25.7,,7.6,11.1,18.0,29.6,32.0,38.5,25.7
02-12,15.4,30.4,35.8,40.0,28.6,21.7,22.0,19.8,28.6,29.1,25.8,,15.4,19.8,22.0,29.1,35.8,40.0,28.6
02-13,22.1,34.8,38.0,35.4,29.3,24.5,29.8,25.2,25.4,33.1,27.2,,22.1,24.5,25.4,33.1,35.4,38.0,29.3
02-14,21.4,36.7,41.2,31.1,28.2,29.2,29.7,30.7,16.6,34.4,12.6,,12.6,16.6,28.2,31.1,36.7,41.2,29.7
02-15,24.5,40.6,32.7,31.9,30.0,16.3,26.3,28.5,19.6,29.6,7.8,,7.8,16.3,24.5,30.0,32.7,40.6,28.5
02-16,31.6,35.1,22.2,35.8,33.3,19.9,13.1,30.7,18.3,23.2,12.4,,12.4,13.1,19.9,31.6,35.1,35.8,23.2
02-17,25.9,33.4,23.8,37.3,30.3,30.8,9.0,21.1,12.7,18.1,22.5,,9.0,12.7,21.1,30.3,33.4,37.3,23.8
02-18,17.6,33.8,34.0,30.0,30.0,33.7,7.6,16.6,13.3,23.2,25.3,,7.6,13.3,17.6,30.0,33.8,34.0,25.3
02-19,21.6,23.7,36.9,30.7,31.0,14.2,4.5,19.2,26.2,27.8,25.8,,4.5,14.2,21.6,27.8,31.0,36.9,25.8
02-20,21.4,16.9,29.5,32.2,31.9,3.6,7.0,17.7,21.4,32.4,28.6,,3.6,7.0,17.7,29.5,32.2,32.4,21.4
02-21,15.2,26.2,20.9,30.0,36.7,7.0,10.2,27.0,17.3,25.3,28.9,,7.0,10.2,17.3,27.0,30.0,36.7,25.3
02-22,12.4,27.8,17.2,22.9,27.9,10.9,9.9,29.1,28.3,16.9,12.6,,9.9,10.9,12.6,27.8,28.3,29.1,17.2
02-23,15.0,32.1,18.7,17.7,11.6,10.5,12.5,28.5,28.4,14.0,9.6,,9.6,10.5,12.5,18.7,28.5,32.1,15.0
02-24,10.8,33.9,24.9,27.6,7.9,9.5,18.0,19.1,19.9,10.5,16.5,,7.9,9.5,10.8,19.9,27.6,33.9,18.0
02-25,20.4,35.4,28.1,34.7,10.3,13.9,26.4,13.5,15.7,7.8,26.3,,7.8,10.3,13.9,26.4,34.7,35.4,20.4
02-26,10.6,34.0,21.5,34.9,15.0,21.3,29.4,25.6,21.8,12.0,22.3,,10.6,12.0,21.3,25.6,34.0,34.9,21.8
02-27,12.4,29.7,19.2,38.7,19.8,21.4,29.6,28.9,8.5,21.8,21.1,,8.5,12.4,19.8,28.9,29.7,38.7,21.4
02-28,22.5,28.8,21.2,34.1,13.8,20.7,31.1,31.1,11.0,31.4,15.3,,11.0,13.8,20.7,31.1,31.4,34.1,22.5
02-29,,,,34.6,,,,32.7,,,,,11.0,13.8,20.7,31.1,31.4,34.1,22.5
03-01,30.0,28.2,22.6,37.0,17.6,22.5,31.4,28.5,23.4,33.6,17.2,,17.2,17.6,22.6,30.0,33.6,37.0,28.2
