date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-10,15.2,35.5,29.9,24.0,40.4,36.6,27.4,37.7,14.7,30.0,15.4,,14.7,15.2,24.0,35.5,37.7,40.4,29.9
11-11,10.4,38.1,30.7,17.3,38.1,31.1,16.5,31.3,18.5,31.8,15.2,,10.4,15.2,17.3,31.3,38.1,38.1,30.7
11-12,20.9,37.3,23.9,20.9,38.0,33.0,15.1,33.0,20.3,35.9,17.8,,15.1,17.8,20.9,33.0,37.3,38.0,23.9
11-13,27.6,36.5,28.8,25.4,37.3,38.4,25.7,35.8,28.6,37.3,18.7,,18.7,25.4,27.6,36.5,37.3,38.4,28.8
11-14,30.0,33.0,30.3,26.4,41.9,36.5,31.6,37.4,19.7,40.4,16.8,,16.8,19.7,30.0,36.5,40.4,41.9,31.6
11-15,30.2,28.1,21.1,25.7,44.1,35.0,33.8,37.6,35.1,43.4,13.0,,13.0,21.1,28.1,35.1,43.4,44.1,33.8
11-16,32.1,24.8,11.2,21.9,38.9,40.3,33.9,33.8,37.2,37.6,18.1,,11.2,18.1,24.8,37.2,38.9,40.3,33.8
11-17,33.4,28.5,17.8,19.6,16.2,29.9,29.3,37.3,36.7,25.5,22.6,,16.2,17.8,22.6,29.9,36.7,37.3,28.5
11-18,32.3,28.7,24.4,27.5,15.1,19.8,24.9,38.7,41.9,30.5,15.7,,15.1,15.7,24.4,30.5,38.7,41.9,27.5
11-19,30.3,31.0,29.0,32.9,29.5,29.5,28.4,37.2,34.7,35.3,18.0,,18.0,28.4,29.5,32.9,35.3,37.2,30.3
11-20,31.0,29.3,28.0,27.1,35.7,36.9,29.0,31.9,31.6,27.5,24.4,,24.4,27.1,28.0,31.6,35.7,36.9,29.3
11-21,35.5,28.9,26.6,22.1,30.5,38.9,29.6,27.9,28.7,25.5,25.8,,22.1,25.5,26.6,29.6,35.5,38.9,28.7
11-22,31.2,24.8,29.6,28.4,23.6,40.6,27.2,24.8,26.7,32.4,26.0,,23.6,24.8,26.0,29.6,32.4,40.6,27.2
11-23,33.8,27.4,17.3,31.0,24.2,42.5,30.6,24.0,27.5,32.4,23.4,,17.3,23.4,24.2,31.0,33.8,42.5,27.5
11-24,35.9,26.6,16.3,28.3,18.3,43.2,21.5,29.3,19.1,17.4,23.9,,16.3,17.4,19.1,28.3,35.9,43.2,23.9
11-25,33.1,26.6,26.8,23.3,19.9,41.4,13.3,22.2,24.3,27.0,32.5,,13.3,19.9,23.3,27.0,33.1,41.4,26.6
11-26,29.0,28.6,32.3,14.3,23.4,41.6,24.1,9.4,14.7,33.8,27.1,,9.4,14.3,23.4,29.0,33.8,41.6,27.1
11-27,30.7,26.8,38.5,14.9,21.5,36.3,33.4,17.0,18.8,33.5,25.2,,14.9,17.0,21.5,33.4,36.3,38.5,26.8
