date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-31,39.6,41.7,48.2,42.3,38.7,47.1,49.6,32.9,48.9,43.2,44.6,45.5,31.3,36.3,48.9,45.9,41.5,,31.3,35.0,41.1,46.1,48.9,49.6,43.2
11-01,38.8,42.8,49.5,48.9,41.2,35.6,45.3,38.8,39.9,48.4,37.9,43.5,35.2,40.6,49.5,44.2,41.5,,35.2,37.0,39.7,44.5,49.1,49.5,41.5
11-02,40.6,39.6,41.5,49.6,50.0,26.2,44.2,40.6,30.4,44.6,38.5,41.9,43.9,40.8,49.6,43.9,33.6,,26.2,32.3,40.4,44.0,49.6,50.0,41.5
11-03,42.1,43.3,40.6,51.4,51.3,32.4,45.0,35.6,25.7,34.7,43.7,40.8,36.3,46.6,47.8,42.8,23.4,,23.4,29.7,36.2,44.0,49.2,51.4,42.1
11-04,38.8,47.5,32.5,48.9,50.5,36.3,45.1,26.2,34.9,26.8,41.9,40.8,41.7,45.5,50.0,47.8,25.9,,25.9,26.6,36.0,45.9,49.4,50.5,41.7
11-05,39.0,47.5,20.8,48.9,50.9,23.5,47.5,23.5,41.9,25.7,42.3,37.9,41.7,44.6,49.5,48.2,40.3,,20.8,23.5,38.8,47.5,49.1,50.9,41.9
11-06,45.3,48.2,25.3,46.8,45.3,22.5,49.5,36.1,46.6,27.0,45.0,37.6,39.7,44.1,46.9,47.5,39.7,,22.5,26.3,39.3,46.6,47.8,49.5,45.0
11-07,52.7,50.2,35.2,44.4,41.7,22.5,49.1,38.8,48.0,28.8,45.5,36.5,39.6,44.4,34.7,45.5,39.9,,22.5,32.3,38.4,45.5,49.5,52.7,41.7
11-08,50.7,48.7,39.9,39.6,32.2,22.8,42.4,43.3,45.7,34.7,46.2,39.2,26.2,45.3,21.0,43.7,37.0,,21.0,24.9,36.6,44.0,47.2,50.7,39.9
11-09,39.9,46.8,31.3,41.5,22.8,28.9,31.8,44.4,48.2,36.5,46.4,42.8,31.5,47.1,18.7,39.2,24.1,,18.7,23.6,31.4,43.1,46.9,48.2,39.2
11-10,31.6,45.5,30.2,45.3,26.8,33.1,17.6,45.1,42.4,26.6,46.0,42.8,36.5,47.3,23.2,37.8,19.2,,17.6,21.6,29.5,43.3,45.7,47.3,36.5
11-11,32.2,40.1,31.5,45.1,22.6,32.9,16.5,46.6,41.9,26.6,45.3,41.5,21.2,40.5,31.3,38.5,22.6,,16.5,22.1,30.3,40.7,45.2,46.6,32.9
11-12,27.0,38.1,35.8,40.6,30.6,32.9,29.5,46.2,39.7,33.6,43.5,42.4,22.6,41.0,31.3,42.8,26.6,,22.6,26.8,31.1,40.7,43.1,46.2,35.8
11-13,34.5,45.0,43.7,30.7,27.7,32.9,34.7,42.6,37.0,36.0,44.6,45.0,31.1,46.9,34.5,46.2,23.0,,23.0,29.5,34.2,43.9,45.5,46.9,36.0
11-14,31.1,41.0,34.2,22.5,28.4,34.2,39.7,40.1,35.6,36.1,49.3,43.5,36.7,45.3,30.7,48.9,21.4,,21.4,26.0,33.5,40.3,46.8,49.3,36.1
11-15,34.7,43.9,40.1,20.7,32.2,34.7,39.6,35.4,32.5,33.1,52.0,43.9,41.4,45.1,42.4,50.2,19.2,,19.2,27.6,34.4,42.7,47.2,52.0,39.6
11-16,45.7,45.0,46.6,33.3,36.7,31.1,37.0,32.9,16.3,21.6,43.7,41.9,42.1,41.2,45.9,44.8,22.8,,16.3,22.3,33.2,43.9,45.8,46.6,41.2
11-17,45.5,46.4,49.5,36.7,33.8,37.4,36.9,36.3,26.2,22.8,19.8,35.2,39.6,44.2,45.1,35.4,30.7,,19.8,24.9,35.0,40.5,45.9,49.5,36.7
11-18,41.9,48.0,46.2,37.8,39.9,34.9,35.8,38.3,32.9,34.2,26.1,30.2,30.9,48.4,45.3,38.3,25.7,,25.7,28.5,33.9,40.3,46.9,48.4,37.8
11-19,39.7,46.9,45.5,35.8,37.2,32.0,36.9,36.5,37.4,40.5,37.8,39.4,37.9,41.4,41.9,40.8,25.7,,25.7,34.3,37.1,40.5,43.3,46.9,37.9
11-20,42.6,39.6,42.3,37.0,32.5,32.0,39.6,33.3,36.3,35.4,40.3,43.3,36.0,33.4,41.9,35.6,34.0,,32.0,33.0,35.1,39.7,42.4,43.3,36.3
11-21,43.5,23.0,42.1,32.5,23.9,31.3,41.4,32.9,34.9,33.8,32.9,44.8,36.7,27.5,41.4,33.3,37.2,,23.0,26.1,32.8,38.0,42.7,44.8,33.8
11-22,40.6,25.5,41.0,34.0,19.2,35.8,39.6,28.2,35.2,38.3,29.7,47.8,31.8,26.8,38.1,39.2,35.6,,19.2,26.3,31.4,38.5,40.8,47.8,35.6
11-23,38.3,20.8,39.0,23.9,21.0,36.9,41.9,27.9,22.5,39.6,30.2,50.5,35.2,30.7,34.0,38.5,30.6,,20.8,21.9,29.7,38.3,40.5,50.5,34.0
11-24,36.7,28.9,37.0,30.6,13.5,35.1,44.8,28.8,23.5,36.7,27.7,50.5,32.0,38.3,24.8,24.6,27.0,,13.5,24.2,27.5,36.7,40.9,50.5,30.6
11-25,32.7,37.4,38.5,36.1,15.1,33.3,42.4,28.8,33.8,28.4,30.6,50.4,25.2,27.0,32.7,31.5,38.1,,15.1,26.2,30.2,36.4,40.1,50.4,32.7
11-26,30.2,34.3,32.9,39.9,29.8,32.4,38.8,34.0,41.4,21.7,30.9,50.2,32.9,16.3,21.0,40.1,34.5,,16.3,21.5,30.8,35.4,40.6,50.2,32.9
11-27,26.2,33.4,32.0,38.8,29.8,45.1,39.4,30.9,48.0,18.0,23.2,40.3,39.9,24.4,23.7,42.4,31.5,,18.0,23.5,29.1,39.5,43.5,48.0,32.0
11-28,19.2,23.9,29.1,30.0,17.6,46.6,40.3,29.7,44.2,17.1,21.2,33.1,34.9,29.3,36.9,45.1,28.9,,17.1,18.6,27.9,35.3,44.6,46.6,29.7
11-29,4.5,37.4,31.3,28.2,10.9,40.8,36.7,32.0,39.7,14.4,17.1,39.7,30.7,20.8,34.0,46.9,22.8,,4.5,13.0,22.4,36.8,40.2,46.9,31.3
11-30,22.8,33.3,35.8,34.5,28.2,36.0,36.5,32.9,36.5,21.6,22.1,42.3,27.0,18.0,34.5,44.4,29.7,,18.0,21.9,28.0,35.8,38.8,44.4,33.3
12-01,29.3,26.1,45.7,34.7,38.3,23.7,35.6,37.4,35.4,27.7,24.6,41.5,24.4,25.7,27.5,45.7,31.1,,23.7,24.5,27.2,36.0,43.2,45.7,31.1
12-02,15.1,22.6,39.0,25.9,40.5,23.2,36.1,39.0,37.4,35.4,17.1,41.5,17.8,37.2,20.1,45.1,29.8,,15.1,17.5,23.1,37.7,40.9,45.1,35.4
12-03,24.1,41.7,32.4,13.8,40.1,15.3,36.0,29.8,36.1,35.8,23.7,35.2,15.6,37.4,29.7,42.4,33.6,,13.8,15.5,28.5,36.0,40.7,42.4,33.6
12-04,34.9,49.1,29.3,24.6,39.2,13.6,40.3,7.2,36.1,34.7,36.7,17.8,16.2,32.5,38.1,41.4,35.8,,7.2,15.2,28.4,37.0,40.7,49.1,34.9
12-05,38.8,43.3,31.8,25.3,38.1,9.5,42.1,6.8,33.4,29.8,34.2,23.0,26.2,30.4,38.3,41.2,32.2,,6.8,17.6,29.1,38.2,41.5,43.3,32.2
12-06,37.0,36.0,41.4,16.2,33.4,21.0,36.5,11.7,34.0,35.6,27.5,26.8,29.3,30.2,38.1,39.9,28.9,,11.7,19.1,28.7,36.1,38.8,41.4,33.4
12-07,36.3,30.0,37.9,22.6,32.5,32.4,32.7,13.6,36.5,41.7,17.6,25.2,29.1,33.4,37.9,32.7,25.5,,13.6,20.6,28.4,34.0,37.9,41.7,32.5
