date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-31,25.5,30.0,41.4,32.3,31.1,36.0,39.0,27.1,43.3,36.3,31.6,33.9,21.9,26.7,35.8,36.6,31.5,,21.9,26.2,30.9,36.1,40.0,43.3,32.3
11-01,23.2,30.1,43.1,34.7,31.5,23.7,39.2,27.6,38.6,40.6,30.8,38.9,29.9,21.1,37.3,36.2,37.0,,21.1,23.5,30.1,37.5,39.8,43.1,34.7
11-02,33.7,28.6,36.2,34.2,37.8,16.2,32.1,36.1,26.6,39.0,27.9,39.2,33.7,28.5,39.2,31.8,25.4,,16.2,26.1,28.6,36.2,39.1,39.2,33.7
11-03,33.4,34.0,32.0,37.9,37.0,32.4,30.7,20.4,19.0,32.7,32.7,36.4,25.7,34.2,39.7,29.8,13.9,,13.9,19.8,30.5,34.0,37.3,39.7,32.7
11-04,29.7,37.1,25.9,40.0,39.5,32.0,34.5,12.1,24.9,23.5,35.5,33.4,27.9,31.5,37.3,39.0,18.3,,12.1,21.4,27.5,35.8,39.2,40.0,32.0
11-05,30.1,36.9,13.2,42.8,39.8,14.9,35.5,14.0,33.3,17.9,35.7,29.5,24.6,29.4,41.2,39.3,28.2,,13.2,14.5,27.5,35.9,40.4,42.8,30.1
11-06,37.2,35.6,13.3,37.5,39.4,16.0,35.6,25.1,38.8,15.6,35.6,23.2,18.1,29.2,42.8,42.6,27.1,,13.3,15.8,24.7,37.3,40.7,42.8,35.6
11-07,43.9,37.4,29.9,32.5,36.0,13.8,38.1,33.9,35.6,24.3,34.6,13.2,19.0,28.9,33.9,38.0,35.1,,13.2,17.0,29.7,35.7,38.0,43.9,33.9
11-08,43.8,38.6,32.0,26.9,29.5,12.4,39.0,35.2,34.3,29.3,36.6,25.5,12.1,33.3,18.0,31.5,32.4,,12.1,15.7,28.8,34.5,38.7,43.8,32.0
11-09,25.0,39.5,30.4,29.0,14.0,18.8,28.2,33.8,40.9,30.7,37.8,34.3,20.0,36.7,11.1,33.1,20.4,,11.1,16.9,24.1,33.9,38.4,40.9,30.4
11-10,22.1,38.1,27.7,37.4,16.2,28.5,9.6,31.5,22.0,21.6,36.4,32.8,23.7,34.7,13.0,25.0,8.3,,8.3,11.6,21.9,31.7,36.8,38.1,25.0
11-11,29.8,32.9,25.6,39.3,15.6,30.1,4.8,33.1,17.6,16.3,36.5,25.2,11.9,24.6,15.4,28.5,9.6,,4.8,11.0,16.2,29.8,34.5,39.3,25.2
11-12,18.1,31.0,30.6,31.8,19.5,27.5,19.8,32.5,5.2,16.9,36.0,32.4,8.1,32.1,15.4,33.0,19.6,,5.2,12.5,19.2,31.9,32.7,36.0,27.5
11-13,27.9,36.3,32.2,15.4,19.8,24.5,22.6,33.9,23.4,23.1,34.1,37.3,21.6,31.8,27.7,34.4,12.9,,12.9,18.1,23.0,32.5,35.2,37.3,27.7
11-14,18.3,24.5,22.4,12.7,23.3,25.8,29.9,29.2,27.2,27.1,40.1,33.1,27.6,31.2,14.6,38.2,12.1,,12.1,13.9,23.1,29.4,35.1,40.1,27.1
11-15,21.8,36.2,29.5,11.5,24.5,21.3,24.7,22.8,10.2,27.2,46.7,33.8,26.8,37.5,31.2,42.4,4.0,,4.0,11.0,22.6,31.7,39.5,46.7,26.8
11-16,32.0,36.8,35.5,23.4,24.5,20.8,31.9,21.1,3.1,21.5,36.1,36.7,28.9,28.3,36.1,31.8,14.9,,3.1,18.4,23.1,32.7,36.4,36.8,28.9
11-17,28.9,36.9,37.8,27.3,22.3,32.0,31.2,22.2,10.6,18.4,15.7,22.9,23.3,34.1,41.5,18.4,17.1,,10.6,16.5,21.5,31.4,37.3,41.5,23.3
11-18,25.0,41.3,39.4,29.0,36.7,28.0,30.7,30.0,18.4,23.4,17.0,14.1,13.8,36.5,37.9,31.5,9.2,,9.2,13.9,22.4,32.5,38.5,41.3,29.0
11-19,31.3,41.9,34.3,22.9,35.8,14.8,29.3,30.3,26.8,29.3,36.9,25.2,20.7,37.3,25.7,33.5,13.9,,13.9,18.3,25.6,33.7,37.0,41.9,29.3
11-20,38.0,22.1,31.8,32.8,26.4,24.3,34.2,27.4,25.6,18.3,37.5,34.3,24.1,29.4,18.8,22.9,19.0,,18.3,18.9,23.9,32.0,35.6,38.0,26.4
11-21,39.3,8.0,28.6,21.5,16.9,24.5,36.8,17.5,24.0,15.4,31.4,34.7,29.0,22.9,18.1,20.4,20.2,,8.0,16.3,19.8,28.7,35.5,39.3,22.9
11-22,36.9,15.7,31.5,20.4,12.4,25.6,26.9,18.0,28.0,24.8,21.6,37.6,27.7,19.5,26.1,32.5,22.3,,12.4,17.1,21.4,27.8,34.2,37.6,25.6
11-23,24.8,12.7,25.2,11.4,14.8,36.2,29.8,23.9,14.6,29.3,23.1,40.9,27.0,23.0,26.1,30.4,19.9,,11.4,13.9,22.4,27.5,32.8,40.9,24.8
11-24,18.7,20.9,28.4,19.0,-7.2,34.2,34.2,22.9,12.5,30.4,16.3,36.1,17.8,29.2,13.3,13.3,17.2,,-7.2,13.0,17.0,28.6,34.2,36.1,19.0
11-25,21.5,27.3,30.5,24.8,6.4,21.1,28.5,21.1,25.8,24.3,27.6,37.0,8.4,19.9,22.6,22.0,25.8,,6.4,15.3,21.4,26.1,29.3,37.0,24.3
11-26,22.1,24.4,31.2,30.8,23.1,19.2,23.1,22.6,30.4,1.7,29.4,44.0,18.0,6.6,10.0,31.9,23.7,,1.7,8.6,21.5,29.6,31.5,44.0,23.1
11-27,21.1,24.5,28.9,33.3,26.5,32.4,31.3,27.0,38.2,3.9,19.3,34.0,31.9,17.4,16.9,30.1,20.4,,3.9,17.2,21.0,31.5,33.5,38.2,27.0
11-28,5.3,9.4,24.7,23.6,13.8,34.0,33.4,26.5,38.6,5.2,15.1,26.2,28.5,23.5,21.7,33.0,18.4,,5.2,7.8,17.7,26.9,33.6,38.6,23.6
11-29,-5.8,25.2,26.9,19.0,5.9,29.7,32.1,24.5,34.0,1.9,10.0,28.6,23.8,22.0,16.2,35.9,7.4,,-5.8,4.3,15.0,27.2,32.9,35.9,23.8
11-30,14.2,26.9,28.7,25.8,17.7,26.2,33.6,22.7,29.0,6.6,9.7,29.8,21.7,8.7,27.3,31.8,26.9,,6.6,9.3,20.9,27.6,30.6,33.6,26.2
12-01,12.4,19.8,31.2,23.6,29.1,11.1,33.4,29.5,28.2,10.5,11.7,29.9,13.4,21.9,12.7,35.4,27.7,,10.5,11.5,13.3,29.2,32.1,35.4,23.6
12-02,-0.1,19.7,30.4,7.0,34.3,16.2,33.7,30.4,31.9,22.4,2.3,33.4,8.5,30.6,7.2,34.9,10.8,,-0.1,5.1,10.4,30.9,33.9,34.9,22.4
12-03,12.8,37.8,21.6,-3.0,32.8,8.2,16.6,13.1,30.0,28.8,11.5,26.4,4.4,25.4,16.1,31.2,23.7,,-3.0,6.7,13.0,26.8,31.9,37.8,21.6
12-04,24.6,37.6,17.0,17.1,31.3,4.8,31.3,-7.7,27.9,28.2,25.6,7.4,1.8,29.5,22.7,32.9,31.7,,-7.7,3.6,17.0,29.8,32.2,37.6,25.6
12-05,28.1,30.4,20.5,11.8,27.1,-4.2,34.8,-12.3,28.0,15.0,6.0,11.6,22.0,26.1,23.6,31.0,18.9,,-12.3,1.9,14.4,27.3,30.6,34.8,22.0
12-06,25.2,25.2,33.4,-2.4,27.2,16.2,26.5,-6.2,27.7,31.2,7.2,5.7,17.5,24.5,21.9,26.7,9.0,,-6.2,2.4,14.7,26.5,29.1,33.4,24.5
12-07,25.5,25.5,32.6,10.0,23.8,22.6,20.7,7.5,25.0,34.6,-4.2,14.3,17.5,30.5,23.1,26.5,12.9,,-4.2,9.0,16.8,25.5,31.4,34.6,23.1
12-08,29.1,15.6,19.7,0.1,30.2,20.8,13.2,-3.4,27.1,32.3,14.5,19.0,17.9,24.5,24.9,26.8,14.1,,-3.4,8.0,15.4,25.3,29.6,32.3,19.7
12-09,28.5,12.9,14.6,-3.1,29.8,19.8,3.0,-0.9,28.9,37.6,29.4,20.5,14.5,17.5,28.1,21.0,18.0,,-3.1,1.5,14.6,28.2,29.6,37.6,19.8
12-10,24.3,10.9,28.8,8.8,25.0,20.2,15.3,15.2,30.3,30.9,30.1,22.7,25.8,19.1,21.3,4.6,25.5,,4.6,10.1,18.3,25.5,30.2,30.9,22.7
12-11,18.2,7.2,23.7,17.6,21.1,21.4,19.6,14.0,37.7,14.8,19.9,28.3,25.8,23.6,11.7,18.7,24.5,,7.2,13.1,18.1,23.6,26.8,37.7,19.9
12-12,24.3,13.5,29.6,24.1,32.4,18.3,24.0,22.2,36.4,6.3,18.5,28.9,18.0,27.4,6.5,30.6,14.8,,6.3,10.7,18.2,27.7,31.3,36.4,24.0
12-13,30.4,10.1,15.9,21.3,35.4,15.5,23.9,18.1,26.0,25.6,20.8,27.1,11.9,21.9,15.6,30.6,12.4,,10.1,12.2,15.8,25.7,30.5,35.4,21.3
12-14,33.6,3.7,1.5,14.9,35.2,15.0,23.9,21.6,15.7,15.7,28.5,15.9,24.2,15.0,16.7,28.3,10.6,,1.5,7.8,15.0,24.0,30.5,35.2,15.9
12-15,33.4,11.6,5.3,22.7,12.6,13.1,15.9,29.3,11.6,10.3,37.8,29.1,28.3,3.4,13.3,10.9,6.7,,3.4,6.1,11.4,23.9,31.0,37.8,13.1
12-16,12.3,22.7,6.5,30.7,1.4,15.7,14.8,28.4,23.5,8.5,24.1,24.5,30.1,1.2,18.2,18.4,3.1,,1.2,2.4,11.5,23.6,29.1,30.7,18.2
