date,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
10-30,23.2,31.8,32.5,38.8,30.7,32.8,34.9,37.7,20.1,37.7,32.2,41.5,32.5,25.9,9.0,35.6,36.3,31.8,,9.0,22.3,31.8,35.5,38.0,41.5,32.5
10-31,27.0,25.8,28.8,36.7,34.0,29.9,35.5,37.7,27.0,37.9,36.0,36.0,33.9,26.0,26.9,37.7,36.0,33.4,,25.8,26.6,29.0,36.0,37.7,37.9,33.9
11-01,31.1,21.8,28.4,38.7,35.4,32.3,27.1,36.9,30.2,36.4,39.0,33.9,39.7,32.7,24.2,37.8,35.3,31.7,,21.8,26.2,31.2,36.3,38.8,39.7,33.3
11-02,33.2,31.4,26.9,31.4,35.8,41.7,17.9,34.9,31.1,28.9,37.1,30.3,37.9,35.9,30.5,40.1,32.9,29.1,,17.9,28.3,30.6,35.7,38.6,41.7,32.1
11-03,31.2,31.8,33.2,26.9,39.3,38.4,22.9,33.3,22.4,23.6,32.9,33.3,34.3,28.1,33.7,41.2,32.7,18.9,,18.9,22.8,28.4,33.3,38.7,41.2,32.8
11-04,26.8,27.4,36.1,23.7,37.4,39.0,28.9,37.6,14.3,28.0,25.0,37.1,32.7,29.4,32.7,40.2,37.2,20.8,,14.3,22.9,27.5,37.0,38.0,40.2,31.0
11-05,22.5,28.8,35.3,10.8,38.0,39.3,19.6,40.8,14.5,33.8,21.1,37.4,29.7,27.1,32.1,39.0,37.3,29.4,,10.8,18.0,27.3,37.1,39.1,40.8,30.9
11-06,31.8,35.4,33.9,17.7,37.6,37.6,15.6,37.9,24.6,38.1,19.1,36.7,28.5,20.8,32.5,38.5,36.3,26.1,,15.6,18.7,26.4,36.6,38.0,38.5,33.2
11-07,31.7,41.5,35.7,31.2,34.0,34.0,16.2,37.4,29.7,37.3,25.3,36.5,20.8,18.8,31.8,33.1,38.1,32.4,,16.2,20.2,31.2,35.5,37.6,41.5,32.8
11-08,31.2,39.5,35.4,30.1,28.9,28.6,14.1,36.3,34.8,36.5,25.3,37.2,26.5,18.4,35.7,18.6,33.3,32.3,,14.1,18.6,28.7,35.4,36.7,39.5,31.7
11-09,34.8,25.9,34.7,26.1,28.5,17.4,18.7,29.3,34.2,40.4,26.4,38.9,30.6,22.5,37.8,14.4,30.2,22.0,,14.4,18.3,25.9,33.8,38.1,40.4,28.9
11-10,34.9,19.0,34.9,24.2,32.4,13.7,25.1,11.5,33.3,25.6,24.2,38.7,30.9,24.5,36.6,10.8,28.0,12.9,,10.8,12.4,24.2,32.3,35.4,38.7,25.3
11-11,29.8,22.3,29.8,23.8,35.4,15.1,26.7,9.1,35.7,21.8,20.1,37.4,27.9,15.2,27.0,15.1,31.8,12.3,,9.1,14.3,20.3,29.6,35.5,37.4,25.2
11-12,23.8,14.4,28.7,30.5,33.0,19.9,25.8,20.7,33.8,9.4,18.7,35.8,29.8,13.5,30.9,13.0,35.5,16.3,,9.4,13.3,18.9,30.4,34.3,35.8,24.8
11-13,21.5,22.6,35.0,35.5,21.6,19.4,25.9,23.1,33.9,18.4,25.3,36.0,34.1,25.8,34.0,23.1,35.7,16.9,,16.9,19.1,22.7,34.0,35.6,36.0,25.5
11-14,19.5,17.9,25.7,27.5,13.2,24.9,27.1,27.0,29.8,25.1,27.1,38.8,32.8,30.6,32.4,15.9,38.1,15.6,,13.2,15.8,24.9,29.6,34.4,38.8,27.1
11-15,13.6,21.9,31.6,35.2,17.2,25.3,24.4,25.3,24.0,16.3,24.9,39.5,29.7,30.6,35.7,28.9,38.8,11.4,,11.4,15.5,24.1,30.5,36.7,39.5,25.3
11-16,27.4,28.6,32.8,36.6,24.1,24.7,19.8,28.1,20.8,12.9,23.2,36.3,32.8,31.3,31.9,33.5,33.9,17.5,,12.9,19.1,24.1,32.7,34.6,36.6,28.3
11-17,21.0,25.8,35.6,37.5,28.3,20.3,26.2,30.1,24.2,19.6,25.1,19.9,25.0,25.4,36.0,31.8,26.0,18.3,,18.3,19.8,24.3,28.1,35.7,37.5,25.6
11-18,28.6,22.5,35.1,34.4,28.2,28.1,27.6,29.2,27.3,23.8,26.2,16.5,16.8,21.9,36.7,36.1,25.2,10.8,,10.8,16.7,24.0,28.5,35.4,36.7,27.4
11-19,26.0,25.6,36.3,31.8,25.6,26.9,20.9,27.0,27.8,28.3,30.6,29.5,24.9,26.4,33.6,29.6,29.9,16.2,,16.2,23.7,26.0,29.6,32.4,36.3,27.4
11-20,31.1,30.9,23.9,26.6,25.8,25.5,24.6,28.6,27.6,27.6,25.6,32.9,34.4,26.7,31.2,25.0,28.2,24.0,,23.9,24.4,25.6,28.5,31.7,34.4,27.1
11-21,29.7,29.7,10.0,29.3,21.3,18.6,23.7,31.8,22.1,25.0,20.9,29.7,36.6,28.1,25.8,22.5,25.8,23.4,,10.0,20.2,22.6,29.2,30.4,36.6,25.4
11-22,28.6,28.4,15.7,27.7,19.3,11.0,22.4,30.3,20.8,25.9,28.4,25.7,38.7,23.7,21.9,22.3,29.5,23.5,,11.0,18.3,22.3,28.3,29.7,38.7,24.7
11-23,28.2,23.4,17.8,23.6,13.3,12.8,25.5,30.0,25.8,16.6,28.8,22.0,39.8,26.2,24.7,23.7,29.2,22.0,,12.8,15.6,22.2,26.2,29.4,39.8,24.2
11-24,27.4,16.7,26.1,25.4,24.0,-5.0,25.6,32.4,27.0,15.9,26.2,16.5,36.4,18.9,28.1,18.8,21.9,23.8,,-5.0,16.3,19.2,26.2,29.4,36.4,24.7
11-25,28.0,17.7,27.0,28.5,28.8,6.6,22.5,28.5,27.4,30.0,24.2,18.9,35.7,11.4,20.4,20.8,23.4,28.9,,6.6,15.8,21.0,28.4,29.3,35.7,25.6
11-26,16.5,18.4,22.2,28.0,29.6,18.3,22.6,23.2,27.4,33.8,10.7,23.7,38.5,22.5,9.7,14.9,31.0,24.6,,9.7,13.6,18.8,27.1,31.8,38.5,22.9
11-27,6.1,16.5,19.0,28.6,29.0,16.7,31.1,27.9,27.1,36.6,11.8,20.4,33.7,29.2,14.0,19.1,32.5,20.0,,6.1,13.4,19.0,29.0,32.9,36.6,23.8
11-28,5.3,1.7,7.6,25.1,25.3,15.0,32.1,28.1,26.4,33.5,8.3,16.4,25.7,27.0,24.9,26.5,33.9,19.6,,1.7,6.9,16.7,26.5,32.5,33.9,25.2
11-29,18.6,-5.1,22.4,27.3,23.2,9.6,28.8,29.8,25.5,31.5,6.3,12.1,27.5,21.9,21.3,21.1,36.7,6.5,,-5.1,6.4,18.8,27.1,30.3,36.7,22.1
