date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-10,17.2,39.6,30.1,26.2,43.5,37.7,28.5,39.2,16.7,32.5,16.9,,16.7,16.9,26.2,37.7,39.6,43.5,30.1
11-11,10.9,41.5,29.9,19.3,42.9,33.4,17.6,33.3,19.0,33.9,17.1,,10.9,17.1,19.0,33.4,41.5,42.9,29.9
11-12,23.0,42.6,24.2,25.3,40.5,38.8,17.1,35.8,21.9,37.2,27.0,,17.1,21.9,24.2,37.2,40.5,42.6,27.0
11-13,28.3,40.2,31.9,31.4,37.9,40.1,26.7,37.3,31.6,38.8,22.6,,22.6,26.7,31.4,37.9,40.1,40.2,31.9
11-14,32.6,33.3,30.8,34.2,43.1,36.8,33.9,41.4,22.4,40.2,17.4,,17.4,22.4,32.6,36.8,41.4,43.1,33.9
11-15,35.3,27.7,24.4,32.3,47.8,39.3,34.6,40.8,32.9,44.3,13.6,,13.6,24.4,32.3,39.3,44.3,47.8,34.6
11-16,36.5,26.3,10.6,23.4,38.7,40.9,34.6,35.2,39.9,38.7,17.9,,10.6,17.9,26.3,38.7,39.9,40.9,35.2
11-17,36.8,31.1,18.1,19.6,17.7,32.4,31.6,34.0,43.1,27.1,22.2,,17.7,18.1,22.2,32.4,36.8,43.1,31.1
11-18,34.2,35.3,24.2,28.3,22.4,22.8,24.4,38.8,44.4,35.2,18.7,,18.7,22.4,24.2,35.2,38.8,44.4,28.3
11-19,33.6,33.8,32.4,32.3,37.8,33.2,29.6,41.9,36.1,36.3,21.0,,21.0,29.6,32.4,36.1,37.8,41.9,33.6
11-20,37.5,32.4,31.6,28.5,40.4,38.1,34.1,34.9,32.7,29.9,26.6,,26.6,28.5,31.6,34.9,38.1,40.4,32.7
11-21,37.1,31.4,31.5,25.0,33.1,40.3,35.2,29.8,30.3,28.9,30.4,,25.0,28.9,30.3,33.1,37.1,40.3,31.4
11-22,31.6,28.3,30.6,32.0,27.1,41.4,30.9,26.0,33.5,38.7,30.8,,26.0,27.1,30.6,32.0,38.7,41.4,30.9
11-23,37.1,30.3,19.0,36.0,28.1,44.2,32.1,25.7,29.8,35.4,25.6,,19.0,25.6,28.1,35.4,37.1,44.2,30.3
11-24,36.9,28.0,17.0,32.4,23.6,43.2,23.8,29.2,21.2,20.6,24.2,,17.0,20.6,23.6,29.2,36.9,43.2,24.2
11-25,34.5,26.9,29.1,25.7,31.1,42.5,17.9,23.1,29.2,28.8,33.9,,17.9,23.1,26.9,31.1,34.5,42.5,29.1
11-26,31.6,32.9,35.2,17.3,31.0,45.7,28.0,13.1,17.1,35.5,28.7,,13.1,17.1,28.0,32.9,35.5,45.7,31.0
