date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-07,37.8,16.5,36.7,35.4,36.6,23.1,35.4,14.1,21.4,28.9,36.1,40.1,38.2,,14.1,17.5,26.6,36.6,38.1,40.1,35.4
11-08,32.2,13.6,40.2,37.1,34.0,29.2,37.0,25.7,12.9,31.6,20.4,33.7,35.3,,12.9,15.0,27.8,34.5,37.1,40.2,32.2
11-09,16.4,19.8,29.2,34.2,41.4,32.6,37.8,35.7,18.7,34.9,13.2,33.9,23.7,,13.2,16.9,22.1,34.5,37.4,41.4,32.6
11-10,18.8,25.7,12.2,32.1,24.2,23.6,37.5,34.5,25.8,33.6,17.2,28.0,10.9,,10.9,13.2,21.7,29.6,34.3,37.5,25.7
11-11,16.7,29.9,6.8,33.2,18.2,17.7,37.2,25.8,14.4,27.1,18.4,31.2,7.6,,6.8,8.9,17.3,28.2,32.8,37.2,18.4
11-12,19.8,30.2,18.6,33.3,5.4,17.2,36.7,32.3,9.0,31.6,14.9,34.5,18.5,,5.4,10.1,18.0,31.9,34.3,36.7,19.8
11-13,22.7,28.7,24.0,34.5,24.1,23.3,34.3,38.2,20.4,33.4,26.7,34.6,12.7,,12.7,20.8,23.7,33.8,34.6,38.2,26.7
11-14,26.7,29.8,28.0,31.1,29.8,27.5,38.6,34.7,27.6,31.4,16.5,38.6,12.7,,12.7,18.5,27.6,31.2,37.8,38.6,29.8
11-15,28.1,24.4,24.3,25.0,12.1,28.4,46.8,35.1,26.0,36.6,33.6,43.7,2.4,,2.4,14.6,24.8,34.2,42.3,46.8,28.1
11-16,28.0,20.3,31.9,22.9,-1.1,24.0,38.0,39.2,27.4,29.2,37.4,34.5,13.7,,-1.1,15.0,23.6,32.9,37.9,39.2,28.0
11-17,22.9,34.0,33.3,22.8,8.2,20.1,18.4,25.3,25.0,33.2,42.6,19.3,14.5,,8.2,15.3,19.8,28.5,33.8,42.6,22.9
11-18,38.5,31.0,31.9,28.5,15.7,26.7,18.6,13.6,13.2,36.0,40.0,32.0,9.7,,9.7,13.3,17.4,31.9,38.0,40.0,28.5
11-19,37.8,16.1,29.6,31.8,25.6,31.9,39.1,23.5,19.8,36.3,27.3,35.3,11.4,,11.4,16.8,24.8,33.3,37.5,39.1,29.6
11-20,29.1,22.7,33.4,29.8,25.8,20.5,39.7,36.0,24.2,30.8,19.3,25.5,16.3,,16.3,19.6,23.6,30.2,35.5,39.7,25.8
11-21,19.6,25.7,38.7,20.8,23.2,11.7,33.4,36.3,27.6,23.8,16.3,19.8,18.4,,11.7,16.7,19.7,26.5,35.7,38.7,23.2
11-22,15.9,23.0,28.8,21.0,30.1,21.2,24.9,38.7,30.0,19.8,24.0,30.0,20.0,,15.9,19.8,21.1,29.2,30.1,38.7,24.0
