date,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Min,10%,30%,70%,90%,Max,Median (POR)
11-10,14.1,36.1,28.8,23.6,41.4,37.6,28.3,38.0,13.9,28.6,14.0,,13.9,14.0,23.6,36.1,38.0,41.4,28.6
11-11,8.8,39.1,29.0,16.5,39.6,31.0,15.0,30.6,18.7,30.1,15.2,,8.8,15.0,16.5,30.6,39.1,39.6,29.0
11-12,22.0,39.6,21.8,22.0,38.5,36.0,13.8,34.9,20.5,34.8,21.8,,13.8,20.5,21.8,34.9,38.5,39.6,22.0
11-13,27.4,37.8,29.7,27.3,37.2,40.8,25.1,35.4,30.8,36.7,19.5,,19.5,25.1,27.4,36.7,37.8,40.8,30.8
11-14,32.1,32.5,28.8,29.8,42.4,36.7,31.9,39.1,18.9,39.5,15.3,,15.3,18.9,29.8,36.7,39.5,42.4,32.1
11-15,32.2,26.8,20.0,27.5,49.3,37.7,33.6,40.2,33.9,44.5,12.2,,12.2,20.0,27.5,37.7,44.5,49.3,33.6
11-16,34.1,24.1,9.4,20.5,39.1,40.6,33.4,33.3,39.6,36.6,16.4,,9.4,16.4,24.1,36.6,39.6,40.6,33.4
11-17,34.0,28.7,16.2,17.9,15.2,28.9,29.7,34.6,42.1,24.3,20.6,,15.2,16.2,20.6,29.7,34.6,42.1,28.7
11-18,32.3,30.9,22.9,25.5,16.9,20.5,23.4,38.8,42.4,34.0,15.4,,15.4,16.9,22.9,32.3,38.8,42.4,25.5
11-19,30.9,31.6,30.0,30.7,35.6,34.2,28.5,40.7,33.9,36.1,19.1,,19.1,28.5,30.7,34.2,36.1,40.7,31.6
11-20,33.4,29.5,29.1,25.6,39.2,37.6,31.3,32.2,31.2,26.7,25.3,,25.3,25.6,29.1,32.2,37.6,39.2,31.2
11-21,37.5,28.6,28.9,23.1,30.4,37.8,32.7,26.2,29.2,25.9,27.1,,23.1,25.9,27.1,30.4,37.5,37.8,28.9
11-22,29.7,25.0,29.6,29.8,23.5,40.3,28.3,23.9,31.2,35.6,28.0,,23.5,23.9,28.0,29.8,35.6,40.3,29.6
11-23,35.2,27.4,15.9,34.8,24.4,43.8,29.5,24.0,28.3,33.7,22.9,,15.9,22.9,24.4,33.7,35.2,43.8,28.3
11-24,37.6,25.6,14.5,30.9,19.0,42.0,20.7,29.1,18.2,16.4,22.7,,14.5,16.4,19.0,29.1,37.6,42.0,22.7
11-25,34.0,26.1,25.1,23.2,25.3,41.5,15.2,21.9,28.2,27.3,34.1,,15.2,21.9,25.1,28.2,34.1,41.5,26.1
